count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,strong_reference_cut_psnr,strong_reference_regression_count,strong_count_le_-0.05,strong_per_600,worst_count_le_-0.20,worst_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal,max_outer_worst_per_600,feature_group,action_bank,score_mode,target_intervention,model_type,outer_groups,strict_gate_checks,strict_gate_pass,intervention_rate,mean_alpha,score
2400,1.0,0.018550590674082438,0.015944172541300455,0.020726884206136068,6.155843536059062e-06,0.58375,42.80718994140625,70,167,41.75,1,0.25,0.018372988700866698,0.014439099629720053,0.015568725268046061,1.0,diagnostic_with_trans_gt,shrink,pred_highpos,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.21760416666666665,0.054460176944732666
2400,1.0,0.018866879940032957,0.017049500147501628,0.0207364018758138,5.307719111442566e-06,0.66625,42.80718994140625,81,211,52.75,5,1.25,0.020825910568237304,0.016009560426076253,0.01699260155359904,2.0,deployable_TQAU_action_all,shrink,pred_positive_forced,1.0,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": true, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,1.0,0.2559375,0.054454130013783776
2400,1.0,0.016941739718119304,0.015211652119954427,0.01826283772786458,5.636637409528096e-06,0.5816666666666667,42.80718994140625,71,169,42.25,1,0.25,0.017391193707784018,0.013401833375295004,0.014368577798207601,1.0,FDF_action_stats,shrink,pred_highpos,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.21395833333333333,0.05238089911142985
2400,1.0,0.016934475898742675,0.015211652119954427,0.01827274958292643,5.631620685259501e-06,0.5816666666666667,42.80718994140625,71,169,42.25,1,0.25,0.017374178568522136,0.013383823235829671,0.014350615342458089,1.0,FDF_action_stats,shrink,pred_positive_forced,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.21385416666666668,0.052373635292053224
2400,1.0,0.01848645051320394,0.015991185506184894,0.02059266408284505,6.145959099133809e-06,0.58625,42.80718994140625,70,167,41.75,4,1.0,0.01825773239135742,0.014480384190877278,0.015643112659454346,2.0,deployable_TQAU_action_all,shrink,pred_highpos,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.21833333333333332,0.05079454326629639
2400,1.0,0.0184511137008667,0.0160850461324056,0.020493717193603517,6.144419312477112e-06,0.5858333333333333,42.80718994140625,70,167,41.75,4,1.0,0.018232189814249674,0.01445018450419108,0.015622746944427491,2.0,deployable_TQAU_action_all,shrink,pred_positive_forced,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.2184375,0.05078530343373617
2400,1.0,0.015273159344991048,0.013842906951904297,0.016655858357747397,5.163773894309998e-06,0.5791666666666667,42.80718994140625,56,149,37.25,1,0.25,0.01537506103515625,0.01176711638768514,0.012604637940724691,1.0,T_pred,shrink,pred_positive_forced,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.21322916666666666,0.04990294615427653
2400,1.0,0.01526152769724528,0.013842906951904297,0.016671009063720703,5.1644444465637205e-06,0.57875,42.80718994140625,56,149,37.25,1,0.25,0.015365831057230632,0.01176754395167033,0.012599802811940512,1.0,T_pred,shrink,pred_highpos,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.21322916666666666,0.04987048117319742
2400,1.0,0.01728039900461833,0.014606075286865234,0.019538192749023436,5.628963311513265e-06,0.5229166666666667,42.80718994140625,59,142,35.5,1,0.25,0.016666191418965658,0.013199624220530191,0.014208784103393554,1.0,diagnostic_with_trans_gt,shrink,pred_positive_forced,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.19291666666666665,0.049479269981384286
2400,1.0,0.017269460360209148,0.01461245854695638,0.019582284291585286,5.627498030662536e-06,0.5229166666666667,42.80718994140625,59,142,35.5,1,0.25,0.016666270891825357,0.01318758249282837,0.014201294581095378,1.0,diagnostic_with_trans_gt,shrink,pred_highpos,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.19260416666666666,0.049471522967020676
