variant,runs,images,mean_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,worst_per_600,strong_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal,strict_screen_pass
u1_tau_l1_s004_g025_a006,4,2400,0.0695957620938619,0.0764326826731364,0.05100990931193034,7.855544487635294e-06,0.64125,68.75,52.75,0.0897038984298706,0.06869333108266196,0.07273575226465862,False
u2_tau_l3_s004_g015_a006,4,2400,0.05968958377838135,0.06717307408650716,0.04566560745239258,9.922261039415995e-06,0.6408333333333334,57.25,50.0,0.07394347588221231,0.055750970045725504,0.0589419682820638,False
u3_tau_l2_s002_g025_a006,4,2400,0.048003584543863935,0.054895394643147785,0.03886853535970052,9.883219997088114e-06,0.6345833333333334,49.0,42.75,0.05999862353006999,0.04416267474492391,0.046716821193695066,False
