candidate,candidate_label,count,full_positive_ratio,strict_positive_ratio_min,allowed_positive_loss_count,allowed_positive_loss_per_600,full_mean_dPSNR,full_hard_bottom25_dPSNR,full_worst_per_600,selector_positive_ratio,selector_coverage,false_reject_positive_count,false_reject_good_count,positive_loss_count,positive_loss_per_600,positive_loss_budget_multiple,budget_status
l2_fdf_lite_s002_g025_bm2,L2_tail_safe,9000,0.6293333333333333,0.63,0.0,0.0,0.05100073909759521,0.041160325368245446,52.06666666666667,0.5787777777777777,0.8931111111111111,455,414,455.00000000000017,30.333333333333346,inf,over_budget
l3_fdf_lite_s004_g015_bm2,L3_balanced,9000,0.6362222222222222,0.63,56.00000000000016,3.733333333333344,0.06299188666873508,0.05175820117526584,61.86666666666667,0.5816666666666667,0.8886666666666667,491,458,491.0000000000002,32.73333333333335,8.767857142857121,over_budget
l1_fdf_lite_s004_g025_bm2,L1_high_gain,9000,0.6373333333333333,0.63,65.99999999999973,4.399999999999983,0.07296757613288031,0.05882253095838759,73.4,0.5875555555555556,0.8961111111111111,448,418,447.99999999999926,29.866666666666614,6.787878787878804,over_budget
