candidate,candidate_label,taxonomy,count,per_600,mean_dPSNR,mean_dSSIM,mean_input_brightness,mean_input_texture,mean_depth,mean_t_uncertainty,mean_final_action_abs
l1_fdf_lite_s004_g025_bm2,L1_high_gain,false_accept_severe,849,56.6,-0.36483385874610064,-0.00012603300339481997,0.5438384554657133,0.01442752889213805,1.9700431035320385,nan,0.00022758233523571114
l1_fdf_lite_s004_g025_bm2,L1_high_gain,false_accept_strong,1249,83.26666666666667,-0.11615220063013301,-2.8581071415359828e-05,0.573020598094305,0.01487545499740671,1.9383408027686913,nan,0.00021372065462117599
l1_fdf_lite_s004_g025_bm2,L1_high_gain,false_reject_good,344,22.933333333333334,0.30399875308192054,8.409089127252268e-05,0.4753652474907942,0.015209967034955531,2.0624632277460986,nan,0.00024785798626019876
l1_fdf_lite_s004_g025_bm2,L1_high_gain,false_reject_positive_weak_or_ssim_risk,104,6.933333333333334,0.1345366698044997,-5.109206988261296e-05,0.48199159795275104,0.014150165052762112,2.115567167217915,nan,0.0002472894373987891
l1_fdf_lite_s004_g025_bm2,L1_high_gain,neutral,1010,67.33333333333333,-0.014505954780200921,-3.8849245203603616e-06,0.5869740584404162,0.014540944388827843,1.9458272059365074,nan,0.0002113064031573681
l1_fdf_lite_s004_g025_bm2,L1_high_gain,true_accept_good,5011,334.06666666666666,0.2288242831864868,3.793356875844212e-05,0.5743283334576044,0.014234776407875368,1.873054824336825,nan,0.0002214170666264577
l1_fdf_lite_s004_g025_bm2,L1_high_gain,true_reject_bad,433,28.866666666666667,-0.321082271549498,-0.0006652022894755797,0.4706558199044463,0.01721842921345428,2.103442939131695,nan,0.0002523774375782002
l2_fdf_lite_s002_g025_bm2,L2_tail_safe,false_accept_severe,592,39.46666666666667,-0.3179301474545453,-5.58965713591189e-05,0.5431424182260761,0.014598044628950741,1.9709011459270038,nan,0.00023846172334251114
l2_fdf_lite_s002_g025_bm2,L2_tail_safe,false_accept_strong,1390,92.66666666666667,-0.11116781303350874,-2.3015540280788064e-05,0.5761454735085261,0.014718986596081325,1.908898516363806,nan,0.00023205922876749348
l2_fdf_lite_s002_g025_bm2,L2_tail_safe,false_reject_good,348,23.2,0.2264486839031351,8.024669241631168e-05,0.47498836269837685,0.015254690314525332,2.119841521841356,nan,0.00024402496119259974
l2_fdf_lite_s002_g025_bm2,L2_tail_safe,false_reject_positive_weak_or_ssim_risk,107,7.133333333333334,0.09075585481162383,-3.584300246194144e-05,0.481960711078109,0.01562540503392849,2.1529472826797273,nan,0.0002430912746969506
l2_fdf_lite_s002_g025_bm2,L2_tail_safe,neutral,1348,89.86666666666666,-0.01356420035885774,8.146999851532436e-07,0.572020053244486,0.014591142444875511,1.9688580935981224,nan,0.00023221670372638913
l2_fdf_lite_s002_g025_bm2,L2_tail_safe,true_accept_good,4800,320.0,0.17648093183835348,3.718188653389613e-05,0.5746035161800682,0.014181304699983835,1.8645204996472846,nan,0.00023656391489566885
l2_fdf_lite_s002_g025_bm2,L2_tail_safe,true_reject_bad,415,27.666666666666668,-0.27854069859148506,-0.0008363949247153408,0.47528486632439026,0.017309765002679035,2.1520068800592997,nan,0.0002484635468880949
l3_fdf_lite_s004_g015_bm2,L3_balanced,false_accept_severe,706,47.06666666666667,-0.3354577450846815,-5.245267838324096e-05,0.5410938995966831,0.014385697285436283,1.98414988794678,nan,0.0002469948406828232
l3_fdf_lite_s004_g015_bm2,L3_balanced,false_accept_strong,1328,88.53333333333333,-0.11228954504771405,-2.331582896680717e-05,0.5748334343444153,0.014771417509525991,1.904266161990004,nan,0.00023783808678836725
l3_fdf_lite_s004_g015_bm2,L3_balanced,false_reject_good,381,25.4,0.257493301952292,8.415112032352157e-05,0.47095405183282735,0.015293342520891056,2.1063957483436804,nan,0.00025760434525762136
l3_fdf_lite_s004_g015_bm2,L3_balanced,false_reject_positive_weak_or_ssim_risk,110,7.333333333333333,0.12358299602161754,-5.00267202203924e-05,0.47108841809359464,0.014591597151857885,2.123674341765317,nan,0.00025635059573687614
l3_fdf_lite_s004_g015_bm2,L3_balanced,neutral,1113,74.2,-0.014304571503041997,-3.6689256186540985e-07,0.5781235627676063,0.014473286510285354,1.9875720303174298,nan,0.00023613841621875043
l3_fdf_lite_s004_g015_bm2,L3_balanced,true_accept_good,4927,328.46666666666664,0.20063300391155203,3.813333871375723e-05,0.5763371429289479,0.014219193471847425,1.8620606524896641,nan,0.00024384677737834744
l3_fdf_lite_s004_g015_bm2,L3_balanced,true_reject_bad,435,29.0,-0.30210628947992435,-0.0008037136889052117,0.47347690298639494,0.017547911180761353,2.1440410170061837,nan,0.00026239345593501054
