variant,coverage_target,count,selected_count,coverage,mean_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,selected_positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus,selected_group_counts
u1_tau_l1_s004_g025_a006,0.05,3002,150,0.049966688874083946,0.032797591675129995,0.017036824544270832,0.05353401692708333,5.0473141717879e-06,0.049966688874083946,1.0,42.80786895751953,0,0,0.018068429234026274,0.01307003725218344,0.014645485620670204,"{""gain"": 140, ""ssim_regression"": 10}"
u1_tau_l1_s004_g025_a006,0.1,3002,300,0.09993337774816789,0.05473243705754595,0.03570403798421224,0.08009303283691406,8.46689736978123e-06,0.09993337774816789,1.0,42.80786895751953,0,0,0.03323560456765802,0.02398297311781566,0.02654288086710097,"{""gain"": 271, ""ssim_regression"": 29}"
u1_tau_l1_s004_g025_a006,0.15,3002,450,0.14990006662225183,0.07235462867284441,0.05600441487630208,0.09748890686035157,1.1789667693715664e-05,0.14990006662225183,1.0,42.80786895751953,0,0,0.04614642586094947,0.03402729212324433,0.03764128129058167,"{""gain"": 408, ""ssim_regression"": 42}"
u1_tau_l1_s004_g025_a006,0.2,3002,600,0.19986675549633579,0.08685861278739793,0.07079126739501954,0.10865164184570313,1.567786808890712e-05,0.19986675549633579,1.0,42.80786895751953,0,0,0.05753270250253086,0.042235561246319185,0.04676109977279958,"{""gain"": 538, ""ssim_regression"": 62}"
u1_tau_l1_s004_g025_a006,0.25,3002,750,0.2498334443704197,0.09898302000733235,0.08325051879882812,0.11964615376790365,1.8478651034045743e-05,0.2498334443704197,1.0,42.80786895751953,0,0,0.06824685223177224,0.05001522651280982,0.05524866522192399,"{""gain"": 664, ""ssim_regression"": 86}"
u1_tau_l1_s004_g025_a006,0.3,3002,901,0.30013324450366424,0.10928505281858807,0.09775597890218099,0.12599128723144531,2.0883684552247966e-05,0.30013324450366424,1.0,42.80786895751953,0,0,0.07730377776713311,0.05680995651438266,0.062696338732349,"{""gain"": 787, ""ssim_regression"": 114}"
u1_tau_l1_s004_g025_a006,0.35,3002,1051,0.35009993337774814,0.11785052856709621,0.10737327321370442,0.13048426310221353,2.244114875793457e-05,0.35009993337774814,1.0,42.80786895751953,0,0,0.08556250776154926,0.06323440483139008,0.06961594034559643,"{""gain"": 901, ""ssim_regression"": 150}"
u1_tau_l1_s004_g025_a006,0.4,3002,1201,0.4000666222518321,0.12498995115723632,0.11420037841796875,0.13752058919270832,2.46290680887221e-05,0.4000666222518321,1.0,42.80786895751953,0,0,0.0927976205458568,0.06845659513937323,0.07504072322756508,"{""gain"": 1013, ""ssim_regression"": 188}"
u1_tau_l1_s004_g025_a006,0.45,3002,1351,0.45003331112591605,0.1307719959408978,0.11976885732014975,0.14278184000651042,2.570810673794375e-05,0.45003331112591605,1.0,42.80786895751953,0,0,0.09933944323474292,0.07366797607950494,0.08061342792142479,"{""gain"": 1131, ""ssim_regression"": 220}"
u1_tau_l1_s004_g025_a006,0.5,3002,1501,0.5,0.13516861053405801,0.12492301432291666,0.14632933044433594,2.6859675622796473e-05,0.5,1.0,42.80786895751953,0,0,0.10427216130205189,0.07763914010431035,0.084945852799387,"{""gain"": 1232, ""ssim_regression"": 269}"
