feature_group,model_type,outer_fold,calibration_fold,feature_count,model_rows,calibration_rows,eval_candidates,eval_images,risk_max,utility_min,calibration_strict_pass,intervention_rate,chosen_action_counts,strict_gate_pass,strict_gate_checks,count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,strong_reference_cut_psnr,strong_reference_regression_count,strong_count_le_-0.05,strong_per_600,worst_count_le_-0.20,worst_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal
U_uncertainty_conf,ridge_tqs,4,0,12,64800,21600,21600,1800,0.02,-0.05,False,0.9705555555555555,"{""A0@0"": 53, ""L3_balanced@0.25"": 1747}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": true, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.01908147970835368,0.018543472290039064,0.016154344346788193,3.430164522594876e-06,0.6538888888888889,42.82054328918457,54,147,49.0,0,0.0,0.01798852152294583,0.01319118579228719,0.015128419134351942
FDF_action_stats,ridge_tqs,0,1,26,64800,21600,21600,1800,0.05,-0.05,False,0.6938888888888889,"{""A0@0"": 551, ""L1_high_gain@0.25"": 505, ""L1_high_gain@1"": 4, ""L2_tail_safe@0.25"": 153, ""L2_tail_safe@1"": 4, ""L3_balanced@0.25"": 448, ""L3_balanced@0.5"": 27, ""L3_balanced@0.75"": 68, ""L3_balanced@1"": 40}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.011236937310960558,0.013256958855523004,0.011422485775417752,5.337844292322794e-07,0.43833333333333335,42.755948066711426,48,167,55.666666666666664,10,3.3333333333333335,0.012512884404924181,0.009454381730821398,0.009673470126258002
FDF_action_stats,ridge_tqs,1,0,26,64800,21600,21600,1800,0.05,-0.05,False,0.9038888888888889,"{""A0@0"": 173, ""L1_high_gain@0.25"": 731, ""L1_high_gain@0.5"": 2, ""L1_high_gain@1"": 2, ""L2_tail_safe@0.25"": 476, ""L2_tail_safe@0.5"": 2, ""L2_tail_safe@1"": 5, ""L3_balanced@0.25"": 342, ""L3_balanced@0.5"": 14, ""L3_balanced@0.75"": 19, ""L3_balanced@1"": 34}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.01733030054304335,0.025885687934027776,0.0090676392449273,4.992451932695177e-06,0.5705555555555556,42.834919929504395,80,208,69.33333333333333,9,3.0,0.016627358065711126,0.012879885037740072,0.013828864892323812
FDF_action_stats,ridge_tqs,2,0,26,64800,21600,21600,1800,0.1,-0.05,False,0.9866666666666667,"{""A0@0"": 24, ""L1_high_gain@0.25"": 512, ""L1_high_gain@0.5"": 2, ""L2_tail_safe@0.25"": 240, ""L2_tail_safe@0.5"": 22, ""L2_tail_safe@1"": 27, ""L3_balanced@0.25"": 939, ""L3_balanced@0.5"": 19, ""L3_balanced@0.75"": 2, ""L3_balanced@1"": 13}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": true, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.02006391233868069,0.012499189376831055,0.022321260240342884,3.608423802587721e-06,0.6322222222222222,42.41839599609375,62,192,64.0,5,1.6666666666666667,0.0193784056769477,0.016121945646074082,0.01658954832288954
FDF_action_stats,ridge_tqs,3,0,26,64800,21600,21600,1800,0.02,-0.05,False,0.9038888888888889,"{""A0@0"": 173, ""L1_high_gain@0.25"": 304, ""L2_tail_safe@0.25"": 1212, ""L2_tail_safe@0.5"": 3, ""L3_balanced@0.25"": 87, ""L3_balanced@0.5"": 7, ""L3_balanced@0.75"": 10, ""L3_balanced@1"": 4}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.011756343841552734,0.012164168887668185,0.007309108310275607,1.5923215283287895e-06,0.5494444444444444,42.88805866241455,42,129,43.0,0,0.0,0.014016158315870497,0.010385461118486192,0.011617393758561877
FDF_action_stats,ridge_tqs,4,0,26,64800,21600,21600,1800,0.05,-0.05,False,0.8144444444444444,"{""A0@0"": 334, ""L1_high_gain@0.25"": 509, ""L2_tail_safe@0.25"": 345, ""L2_tail_safe@0.5"": 5, ""L2_tail_safe@1"": 3, ""L3_balanced@0.25"": 343, ""L3_balanced@0.5"": 29, ""L3_balanced@0.75"": 39, ""L3_balanced@1"": 193}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.020313243865966796,0.020106006198459203,0.018062782287597657,1.242202189233568e-06,0.5283333333333333,42.82054328918457,55,178,59.333333333333336,12,4.0,0.019094109800126817,0.014193984667460123,0.015751352575090197
deployable_TQAU_action_all,ridge_tqs,0,1,61,64800,21600,21600,1800,0.1,-0.05,False,0.7161111111111111,"{""A0@0"": 511, ""L1_high_gain@0.25"": 464, ""L1_high_gain@0.5"": 17, ""L1_high_gain@0.75"": 7, ""L1_high_gain@1"": 32, ""L2_tail_safe@0.25"": 226, ""L2_tail_safe@1"": 3, ""L3_balanced@0.25"": 374, ""L3_balanced@0.5"": 25, ""L3_balanced@0.75"": 18, ""L3_balanced@1"": 123}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.019884276654985215,0.026394616232977973,0.012936990525987414,3.4037066830529107e-06,0.47555555555555556,42.755948066711426,46,162,54.0,13,4.333333333333333,0.019074831008911133,0.014282476372188992,0.015797413455115424
deployable_TQAU_action_all,ridge_tqs,1,0,61,64800,21600,21600,1800,0.1,-0.05,False,0.8311111111111111,"{""A0@0"": 304, ""L1_high_gain@0.25"": 539, ""L1_high_gain@0.5"": 5, ""L1_high_gain@0.75"": 9, ""L1_high_gain@1"": 7, ""L2_tail_safe@0.25"": 552, ""L2_tail_safe@1"": 2, ""L3_balanced@0.25"": 300, ""L3_balanced@0.5"": 12, ""L3_balanced@0.75"": 6, ""L3_balanced@1"": 64}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.019111855294969348,0.032488812340630426,0.011937313079833985,4.926597078641256e-06,0.5344444444444445,42.834919929504395,62,186,62.0,7,2.3333333333333335,0.016875717904832627,0.012926243146260579,0.014043201075659859
deployable_TQAU_action_all,ridge_tqs,2,0,61,64800,21600,21600,1800,0.05,-0.05,False,0.7744444444444445,"{""A0@0"": 406, ""L1_high_gain@0.25"": 324, ""L1_high_gain@0.5"": 34, ""L1_high_gain@0.75"": 20, ""L1_high_gain@1"": 81, ""L2_tail_safe@0.25"": 175, ""L2_tail_safe@0.5"": 24, ""L2_tail_safe@1"": 102, ""L3_balanced@0.25"": 511, ""L3_balanced@0.5"": 45, ""L3_balanced@0.75"": 33, ""L3_balanced@1"": 45}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.03043744166692098,0.023725805282592775,0.020825631883409287,7.157110505633884e-07,0.5305555555555556,42.41839599609375,43,140,46.666666666666664,13,4.333333333333333,0.028092720773484972,0.02189181857638889,0.023646597332424586
deployable_TQAU_action_all,ridge_tqs,3,0,61,64800,21600,21600,1800,0.1,-0.05,False,0.8311111111111111,"{""A0@0"": 304, ""L1_high_gain@0.25"": 217, ""L1_high_gain@0.75"": 1, ""L1_high_gain@1"": 2, ""L2_tail_safe@0.25"": 863, ""L2_tail_safe@0.5"": 3, ""L2_tail_safe@1"": 1, ""L3_balanced@0.25"": 352, ""L3_balanced@0.5"": 4, ""L3_balanced@0.75"": 4, ""L3_balanced@1"": 49}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.015093638102213541,0.018571673499213324,0.0100165769788954,2.183127734396193e-06,0.5361111111111111,42.88805866241455,28,115,38.333333333333336,1,0.3333333333333333,0.015911011695861815,0.011892749203575982,0.013418248229556614
deployable_TQAU_action_all,ridge_tqs,4,0,61,64800,21600,21600,1800,0.05,-0.05,False,0.7061111111111111,"{""A0@0"": 529, ""L1_high_gain@0.25"": 349, ""L2_tail_safe@0.25"": 344, ""L2_tail_safe@0.5"": 3, ""L2_tail_safe@1"": 2, ""L3_balanced@0.25"": 260, ""L3_balanced@0.5"": 41, ""L3_balanced@0.75"": 36, ""L3_balanced@1"": 236}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.024242648548550075,0.02301169925265842,0.014822620815700955,3.800847464137607e-06,0.4872222222222222,42.82054328918457,33,130,43.333333333333336,12,4.0,0.02079516675737169,0.015568341414133708,0.017886711491478816
diagnostic_with_trans_gt,ridge_tqs,0,1,68,64800,21600,21600,1800,0.1,-0.05,False,0.72,"{""A0@0"": 504, ""L1_high_gain@0.25"": 480, ""L1_high_gain@0.5"": 13, ""L1_high_gain@0.75"": 10, ""L1_high_gain@1"": 29, ""L2_tail_safe@0.25"": 224, ""L2_tail_safe@1"": 3, ""L3_balanced@0.25"": 364, ""L3_balanced@0.5"": 31, ""L3_balanced@0.75"": 15, ""L3_balanced@1"": 127}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.020268448193868003,0.029093619452582466,0.01318720923529731,3.030324975649516e-06,0.4777777777777778,42.755948066711426,46,165,55.0,14,4.666666666666667,0.019775739510854085,0.014566686153411865,0.016048149267832438
diagnostic_with_trans_gt,ridge_tqs,1,0,68,64800,21600,21600,1800,0.1,-0.05,False,0.8344444444444444,"{""A0@0"": 298, ""L1_high_gain@0.25"": 561, ""L1_high_gain@0.5"": 5, ""L1_high_gain@0.75"": 7, ""L1_high_gain@1"": 4, ""L2_tail_safe@0.25"": 548, ""L2_tail_safe@1"": 2, ""L3_balanced@0.25"": 301, ""L3_balanced@0.5"": 11, ""L3_balanced@0.75"": 5, ""L3_balanced@1"": 58}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.018549805747138128,0.031415447658962675,0.012013602786593967,4.678575528992547e-06,0.5344444444444445,42.834919929504395,63,187,62.333333333333336,7,2.3333333333333335,0.016458086172739663,0.012499818007151286,0.013543982240888807
diagnostic_with_trans_gt,ridge_tqs,2,0,68,64800,21600,21600,1800,0.1,-0.005,False,0.6877777777777778,"{""A0@0"": 562, ""L1_high_gain@0.25"": 311, ""L1_high_gain@0.5"": 38, ""L1_high_gain@0.75"": 10, ""L1_high_gain@1"": 92, ""L2_tail_safe@0.25"": 165, ""L2_tail_safe@0.5"": 15, ""L2_tail_safe@1"": 98, ""L3_balanced@0.25"": 383, ""L3_balanced@0.5"": 34, ""L3_balanced@0.75"": 19, ""L3_balanced@1"": 73}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.03303026517232259,0.02827793757120768,0.02282346725463867,2.880063321855333e-08,0.49277777777777776,42.41839599609375,35,108,36.0,12,4.0,0.028404084311591256,0.02196962833404541,0.023815112643771702
diagnostic_with_trans_gt,ridge_tqs,3,0,68,64800,21600,21600,1800,0.2,-0.02,False,0.7783333333333333,"{""A0@0"": 399, ""L1_high_gain@0.25"": 213, ""L1_high_gain@1"": 1, ""L2_tail_safe@0.25"": 802, ""L2_tail_safe@0.5"": 2, ""L2_tail_safe@1"": 1, ""L3_balanced@0.25"": 332, ""L3_balanced@0.5"": 4, ""L3_balanced@0.75"": 3, ""L3_balanced@1"": 43}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.014937695927090116,0.018027930789523656,0.009838023715549045,1.4979309505886501e-06,0.5077777777777778,42.88805866241455,24,105,35.0,1,0.3333333333333333,0.015545126332177056,0.0115049942334493,0.012979132334391276
diagnostic_with_trans_gt,ridge_tqs,4,0,68,64800,21600,21600,1800,0.05,-0.05,False,0.7077777777777777,"{""A0@0"": 526, ""L1_high_gain@0.25"": 362, ""L2_tail_safe@0.25"": 341, ""L2_tail_safe@0.5"": 1, ""L2_tail_safe@1"": 1, ""L3_balanced@0.25"": 258, ""L3_balanced@0.5"": 43, ""L3_balanced@0.75"": 29, ""L3_balanced@1"": 239}",False,"{""coverage"": true, ""dssim"": true, ""hard"": false, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",1800,1.0,0.02400314278072781,0.022360142601860894,0.014868123796251085,3.969884581036038e-06,0.49,42.82054328918457,33,134,44.666666666666664,13,4.333333333333333,0.021325464778476293,0.015740883615281847,0.018063999546898735
