variant,outer_fold,inner_calibration_fold,feature,direction,threshold,calibration_objective,calibration_coverage,coverage,selected_mean,selected_hard,selected_dssim,selected_positive_ratio,all_image_positive_ratio,worst,true_vs_zero,true_vs_shuffle,true_vs_normal
u1_tau_l1_s004_g025_a006,0,"1,2,3,4",input_brightness_mean,>=,0.6478142738342285,-0.15501777479637358,0.20033333333333334,0.1988674217188541,0.010656765982915687,0.032728383382161455,-1.153157283114561e-06,0.6164154103852596,0.12258494337108594,50,0.016985605431746674,0.012712807118455861,0.013385092235262755
u1_tau_l1_s004_g025_a006,1,"0,2,3,4",dta_stage2_feature_delta_abs_mean,<=,0.023221591487526894,-0.1681315787967457,0.2000714115686741,0.1711111111111111,0.01180419921875,0.03663743760850694,-3.722144497765435e-07,0.6298701298701299,0.10777777777777778,38,0.01717259724934896,0.012659361627366807,0.012754226790534125
u1_tau_l1_s004_g025_a006,2,"0,1,3,4",depth_mean,<=,1.3780324459075928,-0.17101836524485553,0.20015683199372672,0.22,0.01465553601582845,0.037603102789984806,2.2619962692260744e-06,0.6212121212121212,0.13666666666666666,46,0.02446248796251085,0.01891116989983453,0.020281848907470704
u1_tau_l1_s004_g025_a006,3,"0,1,2,4",input_brightness_mean,>=,0.6466629505157471,-0.1782462999401511,0.2003528719858851,0.22333333333333333,0.01648909462822808,0.04703393724229601,-2.1437803904215496e-06,0.654228855721393,0.1461111111111111,41,0.023851022720336915,0.01775594393412272,0.020542416042751737
u1_tau_l1_s004_g025_a006,4,"0,1,2,3",input_brightness_mean,>=,0.6478015780448914,-0.19943272065406617,0.20025485198980592,0.2,0.013414118025037978,0.02218777126736111,3.515746858384874e-06,0.6777777777777778,0.13555555555555557,23,0.02084858152601454,0.01564673105875651,0.01790761629740397
u2_tau_l3_s004_g015_a006,0,"1,2,3,4",input_brightness_mean,>=,0.6479324102401733,-0.11077882980071528,0.2001190476190476,0.19833333333333333,0.009754872639973959,0.031029510498046874,-3.611644109090169e-07,0.6067226890756302,0.12033333333333333,41,0.014110031763712566,0.010423712412516276,0.010961246490478516
u2_tau_l3_s004_g015_a006,1,"0,2,3,4",input_brightness_mean,>=,0.6492125988006592,-0.13984599933717579,0.20023809523809524,0.17833333333333334,0.013230827967325847,0.02382867685953776,1.2123783429463705e-06,0.6710280373831776,0.11966666666666667,18,0.016118485768636066,0.011782867431640625,0.013399696985880534
u2_tau_l3_s004_g015_a006,2,"0,1,3,4",input_brightness_mean,>=,0.647229492664337,-0.13391435738603275,0.2,0.20833333333333334,0.011772552066379123,0.021176478068033855,-9.469522370232477e-06,0.64,0.13333333333333333,28,0.016629177729288735,0.012595366372002495,0.01364453739590115
u2_tau_l3_s004_g015_a006,3,"0,1,2,4",input_brightness_mean,>=,0.6467019319534302,-0.12830958774054887,0.20010416666666667,0.22333333333333333,0.01523043950398763,0.044376873440212676,-6.75519307454427e-08,0.6517412935323383,0.14555555555555555,34,0.01910017755296495,0.014013408025105794,0.01618180168999566
u2_tau_l3_s004_g015_a006,4,"0,1,2,3",input_brightness_mean,>=,0.6478355526924133,-0.14939066684880253,0.20010416666666667,0.2,0.011030881669786241,0.019001702202690974,3.554821014404297e-06,0.6416666666666667,0.12833333333333333,17,0.01674754672580295,0.012407191594441732,0.014163783391316732
u3_tau_l2_s002_g025_a006,0,"1,2,3,4",dta_stage2_feature_delta_abs_mean,<=,0.012996005266904831,-0.10293609081904094,0.2,0.34933333333333333,0.014763487497965494,0.03155928039550781,1.089771588643392e-07,0.6173664122137404,0.21566666666666667,73,0.017989418029785157,0.013672199885050456,0.013960153579711913
u3_tau_l2_s002_g025_a006,1,"0,2,3,4",input_brightness_mean,>=,0.6492125988006592,-0.13106158889150682,0.20023809523809524,0.17833333333333334,0.010833914438883464,0.020294840494791667,1.1147260665893556e-06,0.6616822429906543,0.118,17,0.012808379491170247,0.009120060602823893,0.010402660369873046
u3_tau_l2_s002_g025_a006,2,"0,1,3,4",depth_mean,<=,1.377813720703125,-0.11829879405299822,0.2,0.22,0.011454236772325304,0.029070392184787325,2.658102247450087e-06,0.5934343434343434,0.13055555555555556,40,0.015811874601576063,0.01182069566514757,0.012655796474880642
u3_tau_l2_s002_g025_a006,3,"0,1,2,4",input_brightness_mean,>=,0.6467019319534302,-0.11802590395066943,0.20010416666666667,0.22333333333333333,0.012960711585150825,0.03864937676323785,3.321303261650933e-07,0.6243781094527363,0.13944444444444445,33,0.015172009997897678,0.01088865492078993,0.012576978471544055
u3_tau_l2_s002_g025_a006,4,"0,1,2,3",input_brightness_mean,>=,0.6478355526924133,-0.14057738803530503,0.20010416666666667,0.2,0.008305116229587132,0.014509561326768663,2.9166539510091144e-06,0.6194444444444445,0.1238888888888889,16,0.013284651438395183,0.009643879996405707,0.011014571719699436
