variant,outer_fold,image_id,seed,accept_depth_action,selected_delta_psnr,selected_delta_ssim,true_delta_psnr,zero_delta_psnr,shuffle_delta_psnr,normal_delta_psnr,failure_group
u1_tau_l1_s004_g025_a006,0,1001_0.89_1.66.png,3407,True,-0.015895843505859375,3.731250762939453e-05,-0.015895843505859375,-0.23621368408203125,-0.14920425415039062,-0.09658432006835938,neutral
u1_tau_l1_s004_g025_a006,0,1003_0.9_1.06.png,3407,True,-0.04170989990234375,9.47713851928711e-05,-0.04170989990234375,-0.3629798889160156,-0.25772857666015625,-0.18138885498046875,neutral
u1_tau_l1_s004_g025_a006,0,1006_0.89_1.55.png,3407,False,0.0,0.0,-0.051853179931640625,-0.010478973388671875,-0.0830078125,-0.03154754638671875,strong_regression
u1_tau_l1_s004_g025_a006,0,1010_0.91_1.13.png,3407,False,0.0,0.0,-0.1112823486328125,-0.2647552490234375,-0.0773162841796875,-0.05155181884765625,strong_regression
u1_tau_l1_s004_g025_a006,0,1012_0.85_1.28.png,3407,False,0.0,0.0,-0.15127182006835938,-0.28403472900390625,-0.13108444213867188,-0.09702682495117188,strong_regression
u1_tau_l1_s004_g025_a006,0,1013_0.63_1.83.png,3407,False,0.0,0.0,-0.2364959716796875,-0.2869873046875,-0.2793235778808594,-0.3166618347167969,worst_regression
u1_tau_l1_s004_g025_a006,0,1017_0.91_1.44.png,3407,True,0.07942581176757812,0.00013571977615356445,0.07942581176757812,0.11864852905273438,0.058231353759765625,0.044368743896484375,gain
u1_tau_l1_s004_g025_a006,0,1019_0.82_1.87.png,3407,True,0.23532867431640625,0.00017720460891723633,0.23532867431640625,0.17684555053710938,0.17232131958007812,0.12677764892578125,gain
u1_tau_l1_s004_g025_a006,0,1035_0.76_1.14.png,3407,True,0.2942352294921875,-0.00010716915130615234,0.2942352294921875,0.061496734619140625,0.19061279296875,0.09057998657226562,ssim_regression
u1_tau_l1_s004_g025_a006,0,1038_0.87_1.29.png,3407,False,0.0,0.0,0.12792205810546875,0.17185211181640625,0.10590744018554688,0.09181594848632812,gain
u1_tau_l1_s004_g025_a006,0,1039_0.79_1.79.png,3407,True,0.06335830688476562,4.8220157623291016e-05,0.06335830688476562,0.09809112548828125,0.036510467529296875,0.0218658447265625,gain
u1_tau_l1_s004_g025_a006,0,1040_0.78_2.0.png,3407,True,0.04673004150390625,5.924701690673828e-05,0.04673004150390625,0.06870651245117188,0.02457427978515625,-0.000240325927734375,gain
u1_tau_l1_s004_g025_a006,0,1049_0.97_1.09.png,3407,False,0.0,0.0,0.0139007568359375,0.035144805908203125,0.010425567626953125,-0.009830474853515625,neutral
