count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,strong_reference_cut_psnr,strong_reference_regression_count,strong_count_le_-0.05,strong_per_600,worst_count_le_-0.20,worst_per_600,true_vs_zero,true_vs_shuffle,true_vs_normal,max_outer_worst_per_600,feature_group,action_bank,score_mode,target_intervention,model_type,outer_groups,strict_gate_checks,strict_gate_pass,intervention_rate,mean_alpha,score,phase,policy_name,selection_mode
2400,1.0,0.03290721654891968,0.049513667424519854,0.021295483907063803,1.2233778834342957e-05,0.6,42.80718994140625,70,183,45.75,15,3.75,0.028464047908782958,0.022689932187398273,0.024656145572662352,9.0,diagnostic_trans_TQAU_outputdiff,shrink,pred_highpos,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.3042708333333333,0.0689140502611796,D6_outputdiff_targeted,pred_highpos,pred_highpos
2400,1.0,0.03291882117589315,0.04922382672627767,0.02077416737874349,1.2170945604642232e-05,0.6004166666666667,42.80718994140625,67,177,44.25,15,3.75,0.02840519030888875,0.022633752822875976,0.024587601820627848,9.0,deployable_TQAU_outputdiff_all,shrink,pred_highpos,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.30364583333333334,0.06880156787236531,D6_outputdiff_targeted,pred_highpos,pred_highpos
2400,1.0,0.032377896308898924,0.04864650726318359,0.02205359141031901,1.1843939622243246e-05,0.5466666666666666,42.80718994140625,57,153,38.25,13,3.25,0.02698180913925171,0.02177409331003825,0.023755796750386558,8.0,diagnostic_trans_TQAU_outputdiff,shrink,pred_positive_forced,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.27375,0.06778448327382405,D6_outputdiff_targeted,pred_positive_forced,pred_positive_forced
2400,1.0,0.03172515710194906,0.047685972849528,0.021446399688720703,9.833474953969319e-06,0.6670833333333334,42.80718994140625,84,236,59.0,17,4.25,0.030725875695546467,0.024068542321523032,0.02578206777572632,9.0,diagnostic_trans_TQAU_outputdiff,shrink,pred_positive_forced,1.0,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": true, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,1.0,0.34802083333333333,0.06767231019337973,D6_outputdiff_targeted,pred_positive_forced,pred_positive_forced
2400,1.0,0.03155088504155477,0.04769068717956543,0.020484536488850912,9.737114111582439e-06,0.6666666666666666,42.80718994140625,82,232,58.0,17,4.25,0.030615542729695636,0.023948407173156737,0.025627284049987792,9.0,deployable_TQAU_outputdiff_all,shrink,pred_positive_forced,1.0,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": true, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,1.0,0.34697916666666667,0.06747956196467081,D6_outputdiff_targeted,pred_positive_forced,pred_positive_forced
2400,1.0,0.03207966566085815,0.04835609753926595,0.02123315175374349,1.1846696337064107e-05,0.5454166666666667,42.80718994140625,54,152,38.0,13,3.25,0.02687291383743286,0.021629842917124432,0.02355375607808431,8.0,deployable_TQAU_outputdiff_all,shrink,pred_positive_forced,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.2733333333333333,0.06727854776382446,D6_outputdiff_targeted,pred_positive_forced,pred_positive_forced
2400,1.0,0.03257650375366211,0.04880168279012044,0.02194300333658854,1.2059609095255533e-05,0.5466666666666666,42.80718994140625,57,153,38.25,14,3.5,0.02711583932240804,0.021863741874694823,0.023869877656300862,8.0,diagnostic_trans_TQAU_outputdiff,shrink,pred_highpos,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.27520833333333333,0.06681067848205567,D6_outputdiff_targeted,pred_highpos,pred_highpos
2400,1.0,0.031906853516896566,0.04777350425720215,0.021335811614990235,9.92832084496816e-06,0.6670833333333334,42.80718994140625,84,236,59.0,18,4.5,0.030826247533162435,0.024141319592793784,0.025879457791646323,9.0,diagnostic_trans_TQAU_outputdiff,shrink,pred_highpos,1.0,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": true, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,1.0,0.3494791666666667,0.06664777231216432,D6_outputdiff_targeted,pred_highpos,pred_highpos
2400,1.0,0.03171206076939901,0.047610902786254884,0.02041396458943685,9.847755233446757e-06,0.6666666666666666,42.80718994140625,82,232,58.0,18,4.5,0.03070136864980062,0.02402429421742757,0.025727569262186688,9.0,deployable_TQAU_outputdiff_all,shrink,pred_highpos,1.0,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": true, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,1.0,0.3485416666666667,0.06635084549585979,D6_outputdiff_targeted,pred_highpos,pred_highpos
2400,1.0,0.032240841388702396,0.0482763131459554,0.021162579854329427,1.1957337458928427e-05,0.5454166666666667,42.80718994140625,54,152,38.0,14,3.5,0.02695873975753784,0.021705729961395262,0.023654041290283204,8.0,deployable_TQAU_outputdiff_all,shrink,pred_highpos,0.75,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.75,0.27489583333333334,0.06614983129501344,D6_outputdiff_targeted,pred_highpos,pred_highpos
2400,1.0,0.031123404502868653,0.04693758010864258,0.022265211741129557,1.1450722813606263e-05,0.5158333333333334,42.80718994140625,52,139,34.75,12,3.0,0.025992290178934733,0.020953359603881835,0.022757235368092855,8.0,diagnostic_trans_TQAU_outputdiff,shrink,pred_positive_forced,0.7,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.7,0.258125,0.06538386122385662,D6_outputdiff_targeted,pred_positive_forced,pred_positive_forced
2400,1.0,0.030853318373362224,0.046841243108113606,0.02153768539428711,1.1362781127293904e-05,0.5141666666666667,42.80718994140625,50,137,34.25,12,3.0,0.025854762395222983,0.02078595240910848,0.02255389134089152,8.0,deployable_TQAU_outputdiff_all,shrink,pred_positive_forced,0.7,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.7,0.2577083333333333,0.06498227326075236,D6_outputdiff_targeted,pred_positive_forced,pred_positive_forced
2400,1.0,0.031306823094685875,0.04703200022379557,0.02215462366739909,1.1546512444814046e-05,0.5158333333333334,42.80718994140625,52,139,34.75,13,3.25,0.026094643274943034,0.02102847894032796,0.022856895923614503,8.0,diagnostic_trans_TQAU_outputdiff,shrink,pred_highpos,0.7,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.7,0.25958333333333333,0.06436448987325033,D6_outputdiff_targeted,pred_highpos,pred_highpos
2400,1.0,0.03237609306971232,0.04899713198343913,0.020347906748453777,1.1813665429751078e-05,0.5991666666666666,42.80718994140625,64,171,42.75,18,4.5,0.028463605244954428,0.022555739084879557,0.02460880994796753,11.0,outputdiff_only,shrink,pred_positive_forced,0.85,nested_numpy_ridge_targeted_intervention,4,"{""coverage"": true, ""dssim"": true, ""hard"": true, ""max_outer_worst"": true, ""mean"": false, ""positive_ratio"": false, ""true_vs_normal"": false, ""true_vs_shuffle"": false, ""true_vs_zero"": false, ""worst"": true}",False,0.85,0.30333333333333334,0.06433299239476523,D6_outputdiff_targeted,pred_positive_forced,pred_positive_forced
