checkpoint_label,present,score,pass_count,check_count,all_checks_pass,decision,regular_mean_psnr_delta,regular_hard_bottom25_psnr_delta,regular_easy_top25_psnr_delta,regular_mean_ssim_delta,regular_positive_ratio,regular_worst_count_delta_le_-0p20,regular_strong_regression_ratio,hard_mean_psnr_delta,hard_hard_bottom25_psnr_delta,hard_easy_top25_psnr_delta,hard_mean_ssim_delta,hard_positive_ratio,hard_worst_count_delta_le_-0p20,hard_strong_regression_ratio
model_5,True,-17.80304285844167,0,9,False,DIAGNOSTIC_ONLY,-1.2157538922627766,-0.8036455535888671,-1.7942752583821615,-0.0011207360029220582,0.15,244.0,0.9333333333333333,-0.6359141159057617,-0.7139233907063802,-0.5837042744954427,-0.0012369078397750854,0.22333333333333333,209.0,0.7066666666666667
model_10,True,-25.97404179620743,0,9,False,DIAGNOSTIC_ONLY,-3.2972810236612955,-1.8762986501057943,-4.797154286702474,-0.003511151671409607,0.06,282.0,1.0,-1.786877098083496,-1.6781856282552083,-2.06642328898112,-0.0036182979742685954,0.10666666666666667,257.0,0.8666666666666667
model_15,True,-32.745108111063644,0,9,False,DIAGNOSTIC_ONLY,-5.396137275695801,-3.0543660736083984,-7.5506431579589846,-0.006981863578160604,0.013333333333333334,293.0,1.0,-3.1983447265625,-2.7560968526204426,-3.997424596150716,-0.007209503253300984,0.056666666666666664,281.0,0.9466666666666667
model_20,True,-38.47849189456304,0,9,False,DIAGNOSTIC_ONLY,-7.3126934750874835,-4.554022699991862,-9.607317403157552,-0.01191751003265381,0.006666666666666667,297.0,1.0,-4.725796318054199,-4.022737452189127,-5.658128128051758,-0.012013654112815858,0.03,287.0,0.9466666666666667
Best,True,-6.486763789176941,1,9,False,DIAGNOSTIC_ONLY,-0.06448768615722657,-0.1522528076171875,-0.04294754028320313,-0.00010274608929951985,0.37333333333333335,87.0,0.5333333333333333,-0.10582286834716798,-0.1466851806640625,-0.03342132568359375,-0.00015735467274983724,0.25,95.0,0.5333333333333333
Final,True,-38.47849171098074,0,9,False,DIAGNOSTIC_ONLY,-7.3126934687296545,-4.554022699991862,-9.60731730143229,-0.011917507251103718,0.006666666666666667,297.0,1.0,-4.725796311696371,-4.022737452189127,-5.658128128051758,-0.01201365073521932,0.03,287.0,0.9466666666666667
