cell,d_ref_gain_db,d_rep_gain_db,groups,selected_hard_groups,selected_severe_groups,worse_operator_gain_db
L1_LOCAL_CANDIDATE_CONTEXT,0.08904620603441259,0.0884324945844307,384,2,9,0.0884324945844307
P0_POOLED_CANDIDATE_RESPONSE,0.09194586830444051,0.09093677110237315,384,0,6,0.09093677110237315
S2_WITHIN_IMAGE_RESPONSE_SHUFFLE,0.08932292419378036,0.08838945789055952,384,0,5,0.08838945789055952
G0_LOCAL_STATE_ONLY,0.10000059583298689,0.09938036283865044,384,0,6,0.09938036283865044
