actual_eligible_fraction,actual_worst_mean,bin,predicted_eligible_fraction,predicted_worst_mean,rows
0.2617982099267697,-0.408225001359534,0,0.0,-0.5433126839621946,4916
0.29597233523189587,-0.22662630410713433,1,0.0,-0.20835592232771866,4916
0.3029501525940997,-0.08112292446874911,2,0.0,-0.1061065214969377,4915
0.2508646998982706,-0.039300917713504226,3,0.0,-0.05780986936294899,4915
0.2278738555442523,-0.022741249308957576,4,0.0,-0.027610950969682583,4915
0.19226856561546288,-0.014387255440484973,5,0.12675483214649033,-0.003515073883092355,4915
0.1849440488301119,-0.01552237970058218,6,1.0,0.02033401713995519,4915
0.20183112919633775,-0.012404234502277305,7,1.0,0.0498475165660602,4915
0.3397761953204476,0.021362066288598738,8,1.0,0.10961397486991824,4915
0.6653102746693794,0.25880855805446445,9,1.0,0.4554627265140702,4915
