cell,d_ref_gain_db,d_rep_gain_db,final_loss,groups,initial_loss,record_type,seed,test_fold,worse_operator_gain_db
,0.09535298788505675,0.09470356177480192,,192,,replay,3407,0,0.09470356177480192
,0.09365557391013087,0.09291691838714998,,192,,replay,3407,1,0.09291691838714998
,0.09450428089759381,0.09381024008097594,,384,,replay,3407,pooled,0.09381024008097594
,0.08690729234074139,0.08635337963180538,,192,,replay,3411,0,0.08635337963180538
,0.0794357161020439,0.07908867073081655,,192,,replay,3411,1,0.07908867073081655
,0.08317150422139265,0.08272102518131096,,384,,replay,3411,pooled,0.08272102518131096
L1_LOCAL_CANDIDATE_CONTEXT,,,0.505969688296318,,1.611212174097697,training,3407,0,
L1_LOCAL_CANDIDATE_CONTEXT,,,0.49951301018397015,,1.4821338852246602,training,3411,0,
P0_POOLED_CANDIDATE_RESPONSE,,,0.5475289126237234,,1.4396592775980632,training,3407,0,
P0_POOLED_CANDIDATE_RESPONSE,,,0.5485837012529373,,1.2550068696339924,training,3411,0,
S2_WITHIN_IMAGE_RESPONSE_SHUFFLE,,,0.544412225484848,,1.711809515953064,training,3407,0,
S2_WITHIN_IMAGE_RESPONSE_SHUFFLE,,,0.5509769320487976,,1.4469648996988933,training,3411,0,
G0_LOCAL_STATE_ONLY,,,0.6214070369799932,,1.5274363160133362,training,3407,0,
G0_LOCAL_STATE_ONLY,,,0.6207142919301987,,1.0551261405150096,training,3411,0,
L1_LOCAL_CANDIDATE_CONTEXT,,,0.48969055712223053,,1.6119703849156697,training,3407,1,
L1_LOCAL_CANDIDATE_CONTEXT,,,0.5259942909081777,,1.4193809926509857,training,3411,1,
P0_POOLED_CANDIDATE_RESPONSE,,,0.5510048866271973,,1.4354682564735413,training,3407,1,
P0_POOLED_CANDIDATE_RESPONSE,,,0.5661631425221761,,1.227820893128713,training,3411,1,
S2_WITHIN_IMAGE_RESPONSE_SHUFFLE,,,0.5474219024181366,,1.69267737865448,training,3407,1,
S2_WITHIN_IMAGE_RESPONSE_SHUFFLE,,,0.5737687846024832,,1.4220577677090962,training,3411,1,
G0_LOCAL_STATE_ONLY,,,0.6132295032342275,,1.5220558444658916,training,3407,1,
G0_LOCAL_STATE_ONLY,,,0.6203379034996033,,1.0431202451388042,training,3411,1,
