variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,gate_mean_dPSNR_ge_0p30,gate_hard_bottom25_ge_0p50,gate_easy_top25_ge_0,gate_positive_ratio_ge_0p65,gate_p05_ge_neg0p10,gate_CVaR5_ge_neg0p25,gate_severe_rate_le_0p025,gate_strong_regressions_le_5pct,gate_wrong_direction_rate_le_0p10,gate_real_beats_shuffled_by_0p20,gate_beats_global_broadcast_tail,gate_fold_tail_4_of_5,gate_pass,control_gap_vs_shuffled,fold_tail_ok_count
P1_depthwise_small_cnn_spatial,all,2400,0.6406589976946513,0.3391685485839844,-2.427243537902832,-1.1995500564575194,-1.925096575419108,1.9736840343475341,-0.23537521362304686,0.63625,658,0.27416666666666667,600,361,True,True,False,False,False,False,False,False,False,True,False,False,False,1.4882614421844482,0
P1_shuffled_target_control,all,2400,-0.8476024444897969,-0.6049842834472656,-5.828446273803711,-3.4866058349609377,-5.057064326604207,0.09604565302530925,-2.2201244036356607,0.29833333333333334,1526,0.6358333333333334,600,576,,,,,,,,,,,,,,,
P1_small_cnn_spatial,all,2400,0.9921334060033162,0.5929412841796875,-2.6637314224243163,-1.148581314086914,-2.10583610534668,2.6504010645548504,-0.1345879618326823,0.7191666666666666,486,0.2025,600,302,True,True,False,True,False,False,False,False,True,True,False,False,False,1.8397358504931132,0
