fold,train_count,test_count,target_abs_mean_test,small_cnn_target_mse,depthwise_small_cnn_target_mse,shuffled_target_mse,global_broadcast_target_mse,variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions
0,1920,480,0.004413592163473368,0.0001030143685056828,0.00011550461204024032,0.00015948394138831645,0.00014047935837879777,,,,,,,,,,,,,,,
1,1920,480,0.004489385522902012,0.00010627620213199407,0.00011668301158351824,0.0001691328943707049,0.00013749409117735922,,,,,,,,,,,,,,,
2,1920,480,0.004490855615586042,0.00010626181756379083,0.00011729923426173627,0.00017085581202991307,0.00014198954158928245,,,,,,,,,,,,,,,
3,1920,480,0.004433406982570887,0.00010640839172992855,0.00011710014950949699,0.00016301542927976698,0.0001380020403303206,,,,,,,,,,,,,,,
4,1920,480,0.004588513635098934,0.00011023632396245375,0.00012154082651250064,0.00018198342877440155,0.00015009849448688328,,,,,,,,,,,,,,,
,,,,,,,,P1_depthwise_small_cnn_spatial,replay_fold0,480,0.6193621436754863,0.2657451629638672,-2.0592064666748047,-1.2623802185058595,-1.9315687815348308,2.080963055292765,-0.2402767499287923,0.5958333333333333,142,0.29583333333333334,120,80
,,,,,,,,P1_depthwise_small_cnn_spatial,replay_fold1,480,0.6076683322588603,0.34210205078125,-1.7746453094482422,-1.093853759765625,-1.6065683364868164,1.9741808732350667,-0.2914382616678874,0.6270833333333333,139,0.28958333333333336,120,76
,,,,,,,,P1_depthwise_small_cnn_spatial,replay_fold2,480,0.6917281667391459,0.3643226623535156,-2.7236866760253906,-1.2531328201293945,-2.223560333251953,2.1081369241078693,-0.2324835459391276,0.6458333333333334,128,0.26666666666666666,120,74
,,,,,,,,P1_depthwise_small_cnn_spatial,replay_fold3,480,0.5765785336494446,0.3588218688964844,-2.608478317260742,-1.3796863555908203,-2.238668123881022,1.7203790187835692,-0.23876514434814453,0.6395833333333333,132,0.275,120,67
,,,,,,,,P1_depthwise_small_cnn_spatial,replay_fold4,480,0.7079578121503194,0.36740684509277344,-1.801955451965332,-1.0323566436767577,-1.5479873021443684,1.9341576099395752,-0.17550261815388998,0.6729166666666667,117,0.24375,120,65
,,,,,,,,P1_exact_oracle_upper_bound,replay_fold0,480,6.096139053503673,5.667560577392578,1.4789988708496093,2.0899906158447266,1.6619337399800618,9.019585498174031,3.827803548177083,1.0,0,0.0,120,0
,,,,,,,,P1_exact_oracle_upper_bound,replay_fold1,480,6.2028235276540125,5.659473419189453,1.5328176879882813,2.0487348556518556,1.7045650482177734,9.17398157119751,3.7335437456766765,1.0,0,0.0,120,0
,,,,,,,,P1_exact_oracle_upper_bound,replay_fold2,480,6.223034119606018,5.649211883544922,1.67021240234375,2.2147806167602537,1.8442541758219402,9.495338598887125,3.4685284932454428,1.0,0,0.0,120,0
