variant,count,mean_cosine_to_oracle_delta,median_cosine_to_oracle_delta,wrong_direction_rate,mean_pred_delta_abs_mean,mean_target_delta_abs_mean,mean_spatial_entropy,mean_local_peak_ratio
P1_depthwise_small_cnn_spatial,2400,0.3249655222828854,0.3174137473106384,0.10875,0.001726525759646999,0.004483150885450111,0.954444428284963,4.3136108499765395
P1_exact_oracle_upper_bound,2400,1.0000000368555386,1.0,0.0,0.004483150885450111,0.004483150885450111,0.9742934650431077,3.3220556438465914
P1_global_broadcast_control,2400,0.14822994206194076,0.1348724663257599,0.3104166666666667,0.0011364304973388547,0.004483150885450111,1.0000000162174305,1.0000000082701446
P1_shuffled_target_control,2400,0.11882678244071258,0.11188509687781334,0.2625,0.0016889369446532025,0.004483150885450111,0.9500060428678989,5.790378564894199
P1_small_cnn_spatial,2400,0.4155494626416233,0.41951796412467957,0.03625,0.002173621448855556,0.004483150885450111,0.9362276915709178,5.353723427156607
