group,count,mean_dPSNR,severe_rate,wrong_direction_rate,mean_pred_delta_rms,mean_pred_spatial_entropy,mean_local_peak_ratio
all,2400,0.9921334060033162,0.2025,0.03625,0.006737083964714354,0.9362276915709178,5.353723427156607
hard_bottom25,600,2.6504010645548504,0.07333333333333333,0.023333333333333334,0.012702292004056896,0.9361007504661878,4.695936475594839
easy_top25,600,-0.1345879618326823,0.4,0.07166666666666667,0.0026328684148029424,0.9411702327926954,5.515431932608286
strong_reference,600,-0.1345879618326823,0.4,0.07166666666666667,0.0026328684148029424,0.9411702327926954,5.515431932608286
tail_severe,486,-0.9348188682838723,1.0,0.17695473251028807,0.005071482958881483,0.9388841736463853,5.505080412444754
