split,image_count,mean_raw_need_mean,mean_raw_density_mean,image_mean_need_ge_raw_q66,image_mean_need_ge_raw_q80,image_mean_need_ge_abs_0_66
train_inner,2400,0.009038054598252833,0.12732101626655398,0.42,0.18416666666666667,0.0
val_inner,600,0.009270227955809484,0.12828580265243847,0.42,0.195,0.0
