haze4k_group_digest,haze4k_representative_source,haze4k_representative_id,its_split,its_scene_id,its_full_id,candidate_hamming_distance,forward_correlation,forward_score_gap,family_adjusted_forward_gap,top64_best_family_size,reverse_correlation,reverse_score_gap,mutual_nearest,accepted
0037f8a7968450e0b4cc3325f5ab0c3a966a229f92f54d3319018e2f6bb57c59,HAZE4K_TEST,649,ITS_TRAIN,6738,ITS_TRAIN:6738,15,0.6732969880104065,0.1860445737838745,0.1860445737838745,1,0.6732969880104065,0.17946204543113708,True,False
0039d26e407effb0aa982139d26a306f5b2c6bdc05a48f871a8878141bd421b7,HAZE4K_TRAIN,1557,ITS_TRAIN,9069,ITS_TRAIN:9069,17,0.47133541107177734,0.0008929967880249023,0.0008929967880249023,1,0.6771601438522339,0.0027353763580322266,False,False
00924ff8cc81e3eed6129c358f57f5e09c316d9d2bc5ea481aaa13d7ce5c2b3f,HAZE4K_TEST,481,ITS_TRAIN,8887,ITS_TRAIN:8887,13,0.8707451820373535,0.03429460525512695,0.03429460525512695,1,0.8707451820373535,0.002501368522644043,True,False
00a483eafc4ba0dedf03d8a7d40de2b42cfe186e5668a3473aeba62589d2f664,HAZE4K_TEST,261,ITS_TRAIN,1492,ITS_TRAIN:1492,15,0.5685724020004272,0.02549612522125244,0.02549612522125244,1,0.8146926164627075,0.03202986717224121,False,False
012d3e1633cb5254886b597bfcb4b75bd370c62a9b49c127e6837b10bb13c1b8,HAZE4K_TEST,473,ITS_TRAIN,2410,ITS_TRAIN:2410,17,0.8405295014381409,0.03916412591934204,0.03916412591934204,1,0.8533205389976501,0.012791037559509277,False,False
013638dc88a019784416ea3e3c0011262f3b7733033cee400e3976c19a71eadf,HAZE4K_TRAIN,2153,ITS_TRAIN,4492,ITS_TRAIN:4492,5,0.9574962854385376,0.09842634201049805,0.09842634201049805,1,0.9574962854385376,0.2683679461479187,True,False
019bbb44abd3c673eeb1b109714ac4381837ab527b9b43f885c666a1fdbd89aa,HAZE4K_TRAIN,1877,ITS_TRAIN,1248,ITS_TRAIN:1248,15,0.9006845951080322,0.05785107612609863,0.05785107612609863,1,0.9006845951080322,0.12118494510650635,True,False
01ebc5533ba9d17b531b492f9c800a7b382d414e36b5fb7ed2bbee1ea4eda307,HAZE4K_TRAIN,1873,ITS_TRAIN,1242,ITS_TRAIN:1242,11,0.9483827352523804,0.012825965881347656,0.012825965881347656,1,0.9483827352523804,0.058707475662231445,True,False
028274c26aff1216e9a20d8072b0af52e8aac3f406d766767006c19a9c939286,HAZE4K_TEST,957,ITS_TRAIN,2053,ITS_TRAIN:2053,12,0.7338483929634094,0.018847763538360596,0.018847763538360596,1,0.7338483929634094,0.2523004412651062,True,False
03074acff2cbf1389f3a50cc57e6f6a5db49542d56cfc6e319137355fc180497,HAZE4K_TRAIN,225,ITS_TRAIN,6606,ITS_TRAIN:6606,18,0.7335453629493713,0.142583966255188,0.142583966255188,1,0.7335453629493713,0.08570516109466553,True,False
