scale,a0_mean_psnr,candidate_mean_psnr,mean_psnr_delta,a0_mean_ssim,candidate_mean_ssim,mean_ssim_delta,hard_bottom_25pct_delta,medium_middle_50pct_delta,easy_top_25pct_delta,severe_regression_delta_le_-0.20,strong_reference_regression_delta_le_-0.05,global_regression_delta_le_-0.05,hard_regression_delta_le_-0.05,easy_regression_delta_le_-0.05,best10_mean_psnr_delta,worst10_mean_psnr_delta,pass_minimum_gate
0.05,34.140645500183105,34.140835492134094,0.00018999195098876953,0.9897101619243622,0.9897106075882912,4.456639289855957e-07,0.0005631675720214844,7.114791870117187e-05,5.450439453125e-05,0,1,2,1,1,0.005087413787841797,-0.0038070106506347657,False
0.10,34.140645500183105,34.141734823226926,0.0010893230438232422,0.9897101619243622,0.9897127898931504,2.627968788146973e-06,0.0028157272338867187,0.0001365203857421875,0.001268524169921875,0,0,0,0,0,0.014322566986083984,-0.005035934448242188,False
0.20,34.140645500183105,34.14504712772369,0.004401627540588379,0.9897101619243622,0.9897197828292846,9.620904922485352e-06,0.014027843475341797,0.00022230911254882813,0.0031340484619140625,0,0,0,0,0,0.05081575393676758,-0.009606456756591797,False
0.30,34.140645500183105,34.14630940818787,0.005663908004760742,0.9897101619243622,0.9897210021018982,1.0840177536010742e-05,0.017633537292480468,0.00032457733154296874,0.004372940063476562,0,0,2,2,0,0.06706966400146484,-0.014550628662109375,False
0.50,34.140645500183105,34.14879361057282,0.008148110389709473,0.9897101619243622,0.9897221485376358,1.1986613273620606e-05,0.02508012771606445,0.0006200942993164063,0.006272125244140625,0,0,4,2,0,0.09837160110473633,-0.02399129867553711,False
0.70,34.140645500183105,34.15128055000305,0.010635049819946289,0.9897101619243622,0.989723296046257,1.3134121894836427e-05,0.03317057037353516,0.0007738876342773438,0.007821853637695313,0,0,9,2,0,0.1313047981262207,-0.033930187225341794,True
1.00,34.140645500183105,34.15332297325134,0.012677473068237305,0.9897101619243622,0.9897244337201119,1.4271795749664307e-05,0.03887750244140625,0.001015308380126953,0.009801773071289063,0,9,31,3,9,0.16220323562622072,-0.04771013259887695,True
