feature,direction,fraction,calib_sample_mean_keep_score,calib_sample_positive_ratio,calib_sample_count
d7c_logit_mean,low,0.25,1.48701138208418e-11,0.5007912141417693,73937
input_luma,low,0.25,9.387561908380526e-12,0.505930724806254,73937
input_dark,low,0.25,4.510734234047797e-12,0.5056796031671349,74389
d7c_logit_max,low,0.25,2.2454878668282108e-12,0.49949281144758373,73937
residual_abs,high,0.25,6.981747536875804e-13,0.5046898229490472,73990
a0_luma,low,0.25,-3.713420196338468e-12,0.5067016514059267,73937
action_delta_signed,low,0.25,-1.682856284879186e-11,0.5051868482627101,73937
d7c_score,low,0.25,-1.995654336228725e-11,0.5035638448949782,73937
