risk_threshold,group,fold,seed,val_count,val_positive,roc_auc,pr_auc,top50_positive,precision_at_50,recall_at_50,top50_enrichment,top100_positive,precision_at_100,recall_at_100,top100_enrichment,top200_positive,precision_at_200,recall_at_200,top200_enrichment
-0.1,B4_hazy_plus_internal_spatial,3,3407,480,16,0.8146551724137931,0.11848972312880295,6.0,0.12,0.375,3.6,10.0,0.1,0.625,3.0,14.0,0.07,0.875,2.1
-0.1,B4_hazy_plus_internal_spatial,4,3407,480,23,0.7729045761583103,0.26986548609110794,8.0,0.16,0.34782608695652173,3.3391304347826085,13.0,0.13,0.5652173913043478,2.7130434782608694,20.0,0.1,0.8695652173913043,2.0869565217391304
-0.1,B4_hazy_plus_internal_spatial,0,3411,480,16,0.7905441810344828,0.24778039761396667,6.0,0.12,0.375,3.6,10.0,0.1,0.625,3.0,15.0,0.075,0.9375,2.25
-0.1,B4_hazy_plus_internal_spatial,1,3411,480,17,0.8012958963282938,0.13020628062427583,6.0,0.12,0.35294117647058826,3.388235294117647,10.0,0.1,0.5882352941176471,2.823529411764706,14.0,0.07,0.8235294117647058,1.9764705882352944
-0.1,B4_hazy_plus_internal_spatial,2,3411,480,15,0.8517562724014337,0.26214265130989745,8.0,0.16,0.5333333333333333,5.12,12.0,0.12,0.8,3.84,14.0,0.07,0.9333333333333333,2.24
-0.1,B4_hazy_plus_internal_spatial,3,3411,480,16,0.814520474137931,0.11846166686664523,6.0,0.12,0.375,3.6,10.0,0.1,0.625,3.0,14.0,0.07,0.875,2.1
-0.1,B4_hazy_plus_internal_spatial,4,3411,480,23,0.7729045761583103,0.26986548609110794,8.0,0.16,0.34782608695652173,3.3391304347826085,13.0,0.13,0.5652173913043478,2.7130434782608694,20.0,0.1,0.8695652173913043,2.0869565217391304
-0.1,B4_hazy_plus_internal_spatial,0,2026,480,16,0.7904094827586207,0.24775807618539525,6.0,0.12,0.375,3.6,10.0,0.1,0.625,3.0,15.0,0.075,0.9375,2.25
-0.1,B4_hazy_plus_internal_spatial,1,2026,480,17,0.8011688476686571,0.13016965677933556,6.0,0.12,0.35294117647058826,3.388235294117647,10.0,0.1,0.5882352941176471,2.823529411764706,14.0,0.07,0.8235294117647058,1.9764705882352944
-0.1,B4_hazy_plus_internal_spatial,2,2026,480,15,0.8517562724014337,0.26214265130989745,8.0,0.16,0.5333333333333333,5.12,12.0,0.12,0.8,3.84,14.0,0.07,0.9333333333333333,2.24
-0.1,B4_hazy_plus_internal_spatial,3,2026,480,16,0.814520474137931,0.11846166686664523,6.0,0.12,0.375,3.6,10.0,0.1,0.625,3.0,14.0,0.07,0.875,2.1
-0.1,B4_hazy_plus_internal_spatial,4,2026,480,23,0.7729045761583103,0.26992938494865526,8.0,0.16,0.34782608695652173,3.3391304347826085,13.0,0.13,0.5652173913043478,2.7130434782608694,20.0,0.1,0.8695652173913043,2.0869565217391304
-0.1,B5_internal_sensitivity,0,3407,480,16,0.8343211206896551,0.20976772429133816,7.0,0.14,0.4375,4.2,9.0,0.09,0.5625,2.6999999999999997,16.0,0.08,1.0,2.4
-0.1,B5_internal_sensitivity,1,3407,480,17,0.7639435903951214,0.14718168324841796,6.0,0.12,0.35294117647058826,3.388235294117647,8.0,0.08,0.47058823529411764,2.2588235294117647,12.0,0.06,0.7058823529411765,1.6941176470588235
-0.1,B5_internal_sensitivity,2,3407,480,15,0.8117562724014337,0.16877618617312504,6.0,0.12,0.4,3.84,7.0,0.07,0.4666666666666667,2.24,14.0,0.07,0.9333333333333333,2.24
-0.1,B5_internal_sensitivity,3,3407,480,16,0.7801724137931034,0.07877532562189785,4.0,0.08,0.25,2.4,9.0,0.09,0.5625,2.6999999999999997,13.0,0.065,0.8125,1.9500000000000002
-0.1,B5_internal_sensitivity,4,3407,480,23,0.7471220626010846,0.2751054720099119,8.0,0.16,0.34782608695652173,3.3391304347826085,12.0,0.12,0.5217391304347826,2.5043478260869563,16.0,0.08,0.6956521739130435,1.6695652173913043
-0.1,B5_internal_sensitivity,0,3411,480,16,0.8343211206896551,0.20976772429133816,7.0,0.14,0.4375,4.2,9.0,0.09,0.5625,2.6999999999999997,16.0,0.08,1.0,2.4
-0.1,B5_internal_sensitivity,1,3411,480,17,0.7639435903951214,0.14718168324841796,6.0,0.12,0.35294117647058826,3.388235294117647,8.0,0.08,0.47058823529411764,2.2588235294117647,12.0,0.06,0.7058823529411765,1.6941176470588235
-0.1,B5_internal_sensitivity,2,3411,480,15,0.8117562724014337,0.16877618617312504,6.0,0.12,0.4,3.84,7.0,0.07,0.4666666666666667,2.24,14.0,0.07,0.9333333333333333,2.24
-0.1,B5_internal_sensitivity,3,3411,480,16,0.7800377155172413,0.07874859337211171,4.0,0.08,0.25,2.4,9.0,0.09,0.5625,2.6999999999999997,13.0,0.065,0.8125,1.9500000000000002
-0.1,B5_internal_sensitivity,4,3411,480,23,0.747217201027495,0.2751150656244021,8.0,0.16,0.34782608695652173,3.3391304347826085,12.0,0.12,0.5217391304347826,2.5043478260869563,16.0,0.08,0.6956521739130435,1.6695652173913043
-0.1,B5_internal_sensitivity,0,2026,480,16,0.8343211206896551,0.20976772429133816,7.0,0.14,0.4375,4.2,9.0,0.09,0.5625,2.6999999999999997,16.0,0.08,1.0,2.4
-0.1,B5_internal_sensitivity,1,2026,480,17,0.7639435903951214,0.14718168324841796,6.0,0.12,0.35294117647058826,3.388235294117647,8.0,0.08,0.47058823529411764,2.2588235294117647,12.0,0.06,0.7058823529411765,1.6941176470588235
-0.1,B5_internal_sensitivity,2,2026,480,15,0.8117562724014337,0.16877618617312504,6.0,0.12,0.4,3.84,7.0,0.07,0.4666666666666667,2.24,14.0,0.07,0.9333333333333333,2.24
-0.1,B5_internal_sensitivity,3,2026,480,16,0.7801724137931034,0.07877532562189785,4.0,0.08,0.25,2.4,9.0,0.09,0.5625,2.6999999999999997,13.0,0.065,0.8125,1.9500000000000002
-0.1,B5_internal_sensitivity,4,2026,480,23,0.747217201027495,0.2751150656244021,8.0,0.16,0.34782608695652173,3.3391304347826085,12.0,0.12,0.5217391304347826,2.5043478260869563,16.0,0.08,0.6956521739130435,1.6695652173913043
-0.1,B6_spatial_plus_sensitivity,0,3407,480,16,0.8131734913793104,0.23866918711466165,7.0,0.14,0.4375,4.2,8.0,0.08,0.5,2.4,15.0,0.075,0.9375,2.25
-0.1,B6_spatial_plus_sensitivity,1,3407,480,17,0.815017151569051,0.12690899345503517,7.0,0.14,0.4117647058823529,3.952941176470589,10.0,0.1,0.5882352941176471,2.823529411764706,15.0,0.075,0.8823529411764706,2.1176470588235294
-0.1,B6_spatial_plus_sensitivity,2,3407,480,15,0.8577777777777778,0.16700534625278632,7.0,0.14,0.4666666666666667,4.48,12.0,0.12,0.8,3.84,14.0,0.07,0.9333333333333333,2.24
-0.1,B6_spatial_plus_sensitivity,3,3407,480,16,0.7847521551724138,0.0915792705475968,6.0,0.12,0.375,3.6,9.0,0.09,0.5625,2.6999999999999997,13.0,0.065,0.8125,1.9500000000000002
-0.1,B6_spatial_plus_sensitivity,4,3407,480,23,0.7689087622490725,0.25907847040467863,10.0,0.2,0.43478260869565216,4.173913043478261,13.0,0.13,0.5652173913043478,2.7130434782608694,18.0,0.09,0.782608695652174,1.8782608695652172
-0.1,B6_spatial_plus_sensitivity,0,3411,480,16,0.8134428879310345,0.23990271066961377,7.0,0.14,0.4375,4.2,8.0,0.08,0.5,2.4,15.0,0.075,0.9375,2.25
