risk_threshold,group,top_k,positive,top_k_positive,precision,recall,enrichment
-0.1,B0_hazy_runtime_v214,50,87,17.0,0.34,0.19540229885057472,9.379310344827587
-0.1,B0_hazy_runtime_v214,100,87,21.0,0.21,0.2413793103448276,5.793103448275862
-0.1,B0_hazy_runtime_v214,200,87,29.0,0.145,0.3333333333333333,4.0
-0.1,B1_internal_scalar_v214,50,87,12.0,0.24,0.13793103448275862,6.620689655172414
-0.1,B1_internal_scalar_v214,100,87,21.0,0.21,0.2413793103448276,5.793103448275862
-0.1,B1_internal_scalar_v214,200,87,33.0,0.165,0.3793103448275862,4.551724137931035
-0.1,B2_all_scalar_v214,50,87,13.0,0.26,0.14942528735632185,7.172413793103449
-0.1,B2_all_scalar_v214,100,87,20.0,0.2,0.22988505747126436,5.517241379310345
-0.1,B2_all_scalar_v214,200,87,29.0,0.145,0.3333333333333333,4.0
-0.1,B3_internal_spatial,50,87,11.0,0.22,0.12643678160919541,6.06896551724138
-0.1,B3_internal_spatial,100,87,16.0,0.16,0.1839080459770115,4.413793103448277
-0.1,B3_internal_spatial,200,87,25.0,0.125,0.28735632183908044,3.4482758620689657
-0.1,B4_hazy_plus_internal_spatial,50,87,12.0,0.24,0.13793103448275862,6.620689655172414
-0.1,B4_hazy_plus_internal_spatial,100,87,23.0,0.23,0.26436781609195403,6.344827586206898
-0.1,B4_hazy_plus_internal_spatial,200,87,30.0,0.15,0.3448275862068966,4.137931034482759
-0.1,B5_internal_sensitivity,50,87,12.0,0.24,0.13793103448275862,6.620689655172414
-0.1,B5_internal_sensitivity,100,87,18.0,0.18,0.20689655172413793,4.9655172413793105
-0.1,B5_internal_sensitivity,200,87,26.0,0.13,0.2988505747126437,3.5862068965517246
-0.1,B6_spatial_plus_sensitivity,50,87,9.0,0.18,0.10344827586206896,4.9655172413793105
-0.1,B6_spatial_plus_sensitivity,100,87,15.0,0.15,0.1724137931034483,4.137931034482759
-0.1,B6_spatial_plus_sensitivity,200,87,31.0,0.155,0.3563218390804598,4.275862068965518
-0.1,B7_all_runtime_spatial_sensitivity,50,87,11.0,0.22,0.12643678160919541,6.06896551724138
-0.1,B7_all_runtime_spatial_sensitivity,100,87,19.0,0.19,0.21839080459770116,5.241379310344828
