left,right,top100_overlap,jaccard
B0_hazy_runtime_v214,B1_internal_scalar_v214,41,0.2578616352201258
B0_hazy_runtime_v214,B2_all_scalar_v214,47,0.30718954248366015
B0_hazy_runtime_v214,B3_internal_spatial,38,0.2345679012345679
B0_hazy_runtime_v214,B4_hazy_plus_internal_spatial,37,0.22699386503067484
B0_hazy_runtime_v214,B5_internal_sensitivity,38,0.2345679012345679
B0_hazy_runtime_v214,B6_spatial_plus_sensitivity,39,0.2422360248447205
B0_hazy_runtime_v214,B7_all_runtime_spatial_sensitivity,37,0.22699386503067484
B1_internal_scalar_v214,B2_all_scalar_v214,81,0.680672268907563
B1_internal_scalar_v214,B3_internal_spatial,36,0.21951219512195122
B1_internal_scalar_v214,B4_hazy_plus_internal_spatial,26,0.14942528735632185
B1_internal_scalar_v214,B5_internal_sensitivity,36,0.21951219512195122
B1_internal_scalar_v214,B6_spatial_plus_sensitivity,34,0.20481927710843373
B1_internal_scalar_v214,B7_all_runtime_spatial_sensitivity,24,0.13636363636363635
B2_all_scalar_v214,B3_internal_spatial,35,0.21212121212121213
B2_all_scalar_v214,B4_hazy_plus_internal_spatial,30,0.17647058823529413
B2_all_scalar_v214,B5_internal_sensitivity,37,0.22699386503067484
B2_all_scalar_v214,B6_spatial_plus_sensitivity,37,0.22699386503067484
B2_all_scalar_v214,B7_all_runtime_spatial_sensitivity,28,0.16279069767441862
B3_internal_spatial,B4_hazy_plus_internal_spatial,61,0.43884892086330934
B3_internal_spatial,B5_internal_sensitivity,43,0.27388535031847133
B3_internal_spatial,B6_spatial_plus_sensitivity,70,0.5384615384615384
B3_internal_spatial,B7_all_runtime_spatial_sensitivity,55,0.3793103448275862
B4_hazy_plus_internal_spatial,B5_internal_sensitivity,43,0.27388535031847133
B4_hazy_plus_internal_spatial,B6_spatial_plus_sensitivity,64,0.47058823529411764
B4_hazy_plus_internal_spatial,B7_all_runtime_spatial_sensitivity,75,0.6
B5_internal_sensitivity,B6_spatial_plus_sensitivity,60,0.42857142857142855
B5_internal_sensitivity,B7_all_runtime_spatial_sensitivity,48,0.3157894736842105
B6_spatial_plus_sensitivity,B7_all_runtime_spatial_sensitivity,71,0.5503875968992248
