group,bin,expert_selected_rate,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600
a0_psnr_q4,q1,1.0,1,1.2742195129394531,1.2742195129394531,1.2742195129394531,0.0,1.0,1.0,0,0.0
a0_psnr_q4,q2,1.0,1,3.4410552978515625,3.4410552978515625,3.4410552978515625,0.0,1.0,1.0,0,0.0
a0_psnr_q4,q3,0.0,1,1.087249755859375,1.087249755859375,1.087249755859375,0.0,1.0,1.0,0,0.0
a0_psnr_q4,q4,1.0,1,1.3836822509765625,1.3836822509765625,1.3836822509765625,0.0,1.0,1.0,0,0.0
fulludp_diff_q4,q1,1.0,1,3.4410552978515625,3.4410552978515625,3.4410552978515625,0.0,1.0,1.0,0,0.0
fulludp_diff_q4,q2,1.0,1,1.3836822509765625,1.3836822509765625,1.3836822509765625,0.0,1.0,1.0,0,0.0
fulludp_diff_q4,q3,1.0,1,1.2742195129394531,1.2742195129394531,1.2742195129394531,0.0,1.0,1.0,0,0.0
fulludp_diff_q4,q4,0.0,1,1.087249755859375,1.087249755859375,1.087249755859375,0.0,1.0,1.0,0,0.0
expert_diff_q4,q1,1.0,1,1.3836822509765625,1.3836822509765625,1.3836822509765625,0.0,1.0,1.0,0,0.0
expert_diff_q4,q2,0.0,1,1.087249755859375,1.087249755859375,1.087249755859375,0.0,1.0,1.0,0,0.0
expert_diff_q4,q3,1.0,1,1.2742195129394531,1.2742195129394531,1.2742195129394531,0.0,1.0,1.0,0,0.0
expert_diff_q4,q4,1.0,1,3.4410552978515625,3.4410552978515625,3.4410552978515625,0.0,1.0,1.0,0,0.0
expert_disagreement_q4,q1,1.0,1,1.2742195129394531,1.2742195129394531,1.2742195129394531,0.0,1.0,1.0,0,0.0
expert_disagreement_q4,q2,1.0,1,1.3836822509765625,1.3836822509765625,1.3836822509765625,0.0,1.0,1.0,0,0.0
expert_disagreement_q4,q3,0.0,1,1.087249755859375,1.087249755859375,1.087249755859375,0.0,1.0,1.0,0,0.0
expert_disagreement_q4,q4,1.0,1,3.4410552978515625,3.4410552978515625,3.4410552978515625,0.0,1.0,1.0,0,0.0
split,val_hard,1.0,2,2.357637405395508,1.2742195129394531,3.4410552978515625,0.0,1.0,1.0,0,0.0
split,val_regular,0.5,2,1.2354660034179688,1.087249755859375,1.3836822509765625,0.0,1.0,1.0,0,0.0
