ablation,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,mean_drop_vs_full,hard_drop_vs_full
full,600,3.7043682893117267,3.607495451450348,5.015252316792806,4.885578607559204,2.294731369018555,1.0,0.9936380666717896,1.0,0,0.0,0.006361933328210577,,
remove_wdmamba,600,2.52248672803243,2.4391495658556623,3.0488837814331053,2.8789111042022704,2.024649225870768,0.9983333333333333,0.9906202004134312,1.0,0,0.0,0.006361933328210577,1.1818815612792966,1.9663685353597002
remove_fsudp,600,3.428371909459432,3.328471709092458,5.001221733093262,4.867463638305663,1.624877446492513,1.0,0.9936380666717896,1.0,0,0.0,0.006361933328210577,0.27599637985229464,0.014030583699543797
remove_mbtaylor,600,3.6624197928110758,3.5711382710138957,4.929342486063639,4.7868285020192465,2.282163976033529,1.0,0.9936380666717896,1.0,0,0.0,0.006361933328210577,0.04194849650065091,0.08590983072916636
