group,bin,expert_selected_rate,unique_win_rate,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
A0-PSNR_q4,q1,0.9133333333333333,0.9133333333333333,150,2.2522710927327476,2.1006381867726645,2.2440990757297827,1.9101414500056086,2.2050158526446366,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q2,0.9066666666666666,0.9066666666666666,150,2.111304346720378,1.9680766296386718,1.9773900831067883,1.7152513864878063,1.9660540400324642,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q3,0.8733333333333333,0.8733333333333333,150,2.12786382039388,1.9709277114868164,2.127754933125264,1.8290727254506702,2.340571841678104,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q4,0.9266666666666666,0.9266666666666666,150,1.9726732381184895,1.8473327560424804,2.113768809550517,1.7985071491550755,1.80207144247519,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q1,0.8666666666666667,0.8666666666666667,150,2.3198965072631834,2.1099960193634035,2.40434033161885,1.940526413273167,2.2335756662729622,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q2,0.9466666666666667,0.9466666666666667,150,2.1071568552652993,1.9726185569763184,2.0516868797508447,1.7320473774059397,2.0637379208126583,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q3,0.8933333333333333,0.8933333333333333,150,1.944156099955241,1.7798116321563722,1.9825044064908415,1.6771111307917415,1.8655251167915963,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q4,0.9133333333333333,0.9133333333333333,150,2.092903035481771,1.9476667404174803,2.4227047482052364,2.1167069538219554,1.765305080929318,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q1,0.9,0.9,150,1.92733460744222,1.7850111020406088,1.991625553852803,1.6331930134747479,1.8777605005212732,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q2,0.9,0.9,150,1.9544832865397135,1.8082875843048094,2.0718474516997465,1.7554263888178645,2.0326574170911633,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
