stage,group,bin,count,mean_gain_over_S0,hard_bottom25_gain_over_S0,positive_ratio,positive_Wilson_LCB,severe_loss_count,severe_Wilson_UCB,min_gain,composition_S0,composition_wdmamba,composition_fsudp,composition_mbtaylor
S2,split,val_hard,300,3.8220173581441244,4.733197657267253,0.99,0.9710159953649372,0,0.012643429997735661,0.0,0.01,0.8633333333333333,0.12666666666666668,0.0
S2,split,val_regular,300,2.411122366587321,3.899980951944987,0.9866666666666667,0.9662239391535501,0,0.012643429997735661,0.0,0.013333333333333334,0.51,0.4766666666666667,0.0
S2,A0-PSNR_q4,q1,150,4.4738112131754555,4.993807973088445,1.0,0.9750288608542813,0,0.02497113914571871,0.87506103515625,0.0,0.9666666666666667,0.03333333333333333,0.0
S2,A0-PSNR_q4,q2,150,3.6971435546875,4.051640794083879,1.0,0.9750288608542813,0,0.02497113914571871,0.5927543640136719,0.0,0.8466666666666667,0.15333333333333332,0.0
S2,A0-PSNR_q4,q3,150,2.748556187947591,3.356181995288746,0.9733333333333334,0.9334450938998244,0,0.02497113914571871,0.0,0.02666666666666667,0.6466666666666666,0.32666666666666666,0.0
S2,A0-PSNR_q4,q4,150,1.5467684936523438,1.966238176500475,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.2866666666666667,0.6933333333333334,0.0
S2,FullUDP-A0_diff_signed_q4,q1,150,3.117916653951009,4.388684917140651,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.7066666666666667,0.2733333333333333,0.0
S2,FullUDP-A0_diff_signed_q4,q2,150,2.866980209350586,4.610848710343644,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.54,0.4533333333333333,0.0
S2,FullUDP-A0_diff_signed_q4,q3,150,3.047692337036133,4.586028021735114,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.6533333333333333,0.32666666666666666,0.0
S2,FullUDP-A0_diff_signed_q4,q4,150,3.4336902491251626,4.482628332602011,1.0,0.9750288608542813,0,0.02497113914571871,0.2623634338378906,0.0,0.8466666666666667,0.15333333333333332,0.0
S2,FullUDP-A0_diff_abs_q4,q1,150,2.47444772084554,4.615230611852698,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.47333333333333333,0.5066666666666667,0.0
S2,FullUDP-A0_diff_abs_q4,q2,150,3.319772033691406,4.722273852374102,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.74,0.25333333333333335,0.0
S2,FullUDP-A0_diff_abs_q4,q3,150,3.386394920349121,4.737808588388804,0.9866666666666667,0.9526921436197237,0,0.02497113914571871,0.0,0.013333333333333334,0.7066666666666667,0.28,0.0
S2,FullUDP-A0_diff_abs_q4,q4,150,3.285664774576823,4.3716278076171875,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.8266666666666667,0.16666666666666666,0.0
S2,haze_density_q4,q1,150,1.813847796122233,2.551209475543048,0.98,0.9428523341357584,0,0.02497113914571871,0.0,0.02,0.3,0.68,0.0
S2,haze_density_q4,q2,150,2.889554074605306,4.06287059268436,0.9866666666666667,0.9526921436197237,0,0.02497113914571871,0.0,0.013333333333333334,0.6933333333333334,0.29333333333333333,0.0
S2,haze_density_q4,q3,150,3.6665282821655274,4.864221057376346,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.86,0.13333333333333333,0.0
S2,haze_density_q4,q4,150,4.096349296569824,4.780555261147989,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.8933333333333333,0.1,0.0
S2,transmission_q4,q1,150,4.096349296569824,4.780555261147989,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.8933333333333333,0.1,0.0
S2,transmission_q4,q2,150,3.6665282821655274,4.864221057376346,0.9933333333333333,0.9632062470660242,0,0.02497113914571871,0.0,0.006666666666666667,0.86,0.13333333333333333,0.0
