expert,scope,count,unique_win_count_vs_all_others,unique_win_rate_vs_all_others,mean_margin_unique
wdmamba,hard_or_val_hard,336,293,0.8720238095238095,2.521369862475086
fsudp,hard_or_val_hard,336,40,0.11904761904761904,0.7621396064758301
