family,alpha,scope,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600
expert,0.0,all,4,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
expert,0.0625,all,4,0.27146244049072266,0.24631500244140625,0.3325309753417969,0.0003594309091567993,1.0,1.0,0,0.0
expert,0.125,all,4,0.529545783996582,0.4749908447265625,0.6353874206542969,0.0006761550903320312,1.0,1.0,0,0.0
expert,0.25,all,4,0.9903726577758789,0.864593505859375,1.1178855895996094,0.0011847913265228271,1.0,1.0,0,0.0
expert,0.375,all,4,1.3504867553710938,1.1392707824707031,1.3818016052246094,0.0015278756618499756,1.0,1.0,0,0.0
expert,0.5,all,4,1.5796098709106445,1.2742195129394531,1.3836822509765625,0.0017064958810806274,1.0,1.0,0,0.0
fulludp,0.0,all,4,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
fulludp,0.0625,all,4,0.02060985565185547,0.011798858642578125,0.054779052734375,0.00014762580394744873,0.75,0.75,0,0.0
fulludp,0.125,all,4,0.029638290405273438,0.0202789306640625,0.079437255859375,0.00025966763496398926,0.75,0.75,1,150.0
fulludp,0.25,all,4,0.01154184341430664,0.027212142944335938,0.0369873046875,0.00038629770278930664,0.75,0.75,1,150.0
fulludp,0.375,all,4,-0.0556483268737793,0.020734786987304688,-0.1238861083984375,0.00039173662662506104,0.5,0.5,1,150.0
fulludp,0.5,all,4,-0.17097902297973633,0.0009021759033203125,-0.3906669616699219,0.00028170645236968994,0.5,0.5,2,300.0
