group,bin,expert_selected_rate,unique_win_rate,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
A0-PSNR_q4,q1,1.0,1.0,150,4.909155438741048,4.762652212778727,5.348662659928605,5.119520275012866,4.460734702445365,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q2,1.0,1.0,150,4.0016751352945965,3.8437259165445963,4.5369573026090055,4.233272052455593,3.639235522295978,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q3,0.9333333333333333,0.9333333333333333,150,2.987061233520508,2.813480093638102,3.5465695149189718,3.15441932162723,2.4064516634554476,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q4,0.6933333333333334,0.6933333333333334,150,1.5824099731445314,1.447787910461426,2.263611973942937,2.0289933797475457,1.051309637121252,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q1,0.9266666666666666,0.9266666666666666,150,3.7652245203653973,3.5505424969991046,5.309649957192911,5.013656157416267,2.403089884165171,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q2,0.8666666666666667,0.8666666666666667,150,2.964742088317871,2.7325404103597,4.908789608929609,4.620895457912136,1.1932838027541701,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q3,0.86,0.86,150,3.1267300415039063,2.8959574699401855,4.786511086128853,4.474526954341579,1.2609127147777661,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q4,0.9733333333333334,0.9733333333333334,150,3.6236051305135093,3.457451695124308,4.727459211607237,4.466600150031012,2.2635636200775973,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q1,0.7666666666666667,0.7666666666666667,150,2.523505605061849,2.2908953768412275,4.8630083444956185,4.608501375043715,1.0369963774809967,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q2,0.9466666666666667,0.9466666666666667,150,3.5679090881347655,3.361239900588989,4.928806717331345,4.64605689177642,2.0364271627890096,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q3,0.94,0.94,150,3.612906010945638,3.4387767969767253,5.057596670614706,4.794564780673465,2.3748042132403397,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q4,0.9733333333333334,0.9733333333333334,150,3.775981076558431,3.5893524532318115,5.044040937681456,4.756219729861698,2.4069396354056694,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q1,0.9866666666666667,0.9866666666666667,150,4.8024565124511716,4.649480898539225,5.247397448565509,5.040293361045219,4.042730382970862,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q2,0.92,0.92,150,2.9315796152750653,2.7730150578816732,3.6863773449047192,3.436203580289274,1.9862921431257918,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q3,0.7733333333333333,0.7733333333333333,150,2.007736333211263,1.8057444845835369,3.3313193450102934,2.92330690590111,1.0952428869298987,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q4,0.9466666666666667,0.9466666666666667,150,3.7385293197631837,3.5009521032969153,4.919756554268502,4.629183823353536,2.1178470302272485,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q1,0.7133333333333334,0.7133333333333334,150,1.737538579305013,1.5967635790506998,2.6267307384594067,2.267876083786423,1.051309637121252,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q2,0.9333333333333333,0.9333333333333333,150,3.0191282272338866,2.8369220422108965,3.91604825612661,3.5900612676465835,2.0989466486750423,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q3,0.9866666666666667,0.9866666666666667,150,4.042762756347656,3.867328360239665,4.78425154814849,4.534539052602407,2.87608358022329,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q4,0.9933333333333333,0.9933333333333333,150,4.6808722178141275,4.524270046869914,5.333315153379698,5.123636183867584,3.78913198935019,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q1,0.96,0.96,150,3.9031821568806966,3.7190198758443196,4.974368482022672,4.773954025474755,2.517640294255437,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q2,0.9066666666666666,0.9066666666666666,150,2.9893231455485028,2.7527906748453774,4.319153863030511,4.018541173677187,1.208167720485378,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q3,0.84,0.84,150,2.6878316243489584,2.4531816260019936,4.6077536505621834,4.298190887554272,1.043637043720967,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q4,0.92,0.92,150,3.8999648539225262,3.6833483899434407,5.499183964084935,5.247046200004784,2.2040212476575696,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
haze_density_q4,q1,0.7133333333333334,0.7133333333333334,150,1.9547307205200195,1.7784218578338624,2.7549571990966797,2.389604493733999,1.093119647051837,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
haze_density_q4,q2,0.94,0.94,150,3.155021209716797,2.901272576014201,4.653601775298247,4.308505682043127,1.5719376641350824,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
haze_density_q4,q3,0.98,0.98,150,3.995528729756673,3.806855146408081,5.214040343825881,4.9898965010771885,2.5314916662267737,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
haze_density_q4,q4,0.9933333333333333,0.9933333333333333,150,4.375021120707194,4.201005652745565,5.155121829058673,4.907899457055169,3.2681362048999683,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
haze_density_p90_q4,q1,0.7333333333333333,0.7333333333333333,150,1.966285540262858,1.8046626923878988,3.3148570189604887,2.9416363845000397,1.0644213702227618,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
haze_density_p90_q4,q2,0.9079754601226994,0.9079754601226994,163,3.0950392155559516,2.9091997427443053,4.5661474704742435,4.323491840362549,1.7139196395874023,0.0,1.0,0.9769745674939582,1.0,0,0.0,0.023025432506041655
haze_density_p90_q4,q3,0.9929577464788732,0.9929577464788732,142,4.089819317132655,3.9093103361801362,5.191039112636021,4.948168111528669,3.0340662275041854,0.0,1.0,0.9736590931531194,1.0,0,0.0,0.02634090684688045
haze_density_p90_q4,q4,1.0,1.0,145,4.426597937222184,4.257625823843068,5.292089462280273,5.027987366252475,3.3471917046440973,0.0,1.0,0.9741900113946637,1.0,0,0.0,0.025809988605336138
transmission_q4,q1,0.9933333333333333,0.9933333333333333,150,4.375021120707194,4.201005652745565,5.155121829058673,4.907899457055169,3.2681362048999683,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
transmission_q4,q2,0.98,0.98,150,3.995528729756673,3.806855146408081,5.214040343825881,4.9898965010771885,2.5314916662267737,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
transmission_q4,q3,0.94,0.94,150,3.155021209716797,2.901272576014201,4.653601775298247,4.308505682043127,1.5719376641350824,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
transmission_q4,q4,0.7133333333333334,0.7133333333333334,150,1.9547307205200195,1.7784218578338624,2.7549571990966797,2.389604493733999,1.093119647051837,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
airlight_proxy_q4,q1,0.9933333333333333,0.9933333333333333,150,4.172857615152995,3.9949090315500895,5.2684138530009506,5.042823892026334,2.7270855259250952,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
airlight_proxy_q4,q2,0.9872611464968153,0.9872611464968153,157,3.8449003256050642,3.6532638531581614,5.097210370577299,4.8604965527852375,2.3414405431502905,0.0,1.0,0.9761156317768539,1.0,0,0.0,0.02388436822314625
airlight_proxy_q4,q3,0.8951048951048951,0.8951048951048951,143,3.1796769762372636,2.9782365979014576,4.894519751412528,4.592203508104597,1.5439869471958705,0.0,1.0,0.9738384762900977,1.0,0,0.0,0.02616152370990237
