family,alpha,scope,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
expert,0.0,all,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48990002040399916
expert,0.0625,all,4,0.5066709518432617,0.4494647979736328,0.49916839599609375,0.49916839599609375,0.3937187194824219,0.0012566298246383667,1.0,0.5100999795960008,1.0,0,0.0,0.48990002040399916
expert,0.125,all,4,1.0261850357055664,0.8951549530029297,1.0200920104980469,1.0200920104980469,0.7661209106445312,0.002469569444656372,1.0,0.5100999795960008,1.0,0,0.0,0.48990002040399916
expert,0.25,all,4,2.0926427841186523,1.760660171508789,2.128223419189453,2.128223419189453,1.4084663391113281,0.004748538136482239,1.0,0.5100999795960008,1.0,0,0.0,0.48990002040399916
expert,0.375,all,4,3.163092613220215,2.5098934173583984,3.3178482055664062,3.3178482055664062,1.8426170349121094,0.006801500916481018,1.0,0.5100999795960008,1.0,0,0.0,0.48990002040399916
expert,0.5,all,4,4.165397644042969,3.058877944946289,4.555469512939453,4.555469512939453,1.9933280944824219,0.008579373359680176,1.0,0.5100999795960008,1.0,0,0.0,0.48990002040399916
fulludp,0.0,all,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.48990002040399916
fulludp,0.0625,all,4,0.02060985565185547,-0.07920265197753906,0.011798858642578125,0.011798858642578125,0.054779052734375,0.00014762580394744873,0.75,0.30063605244263664,0.75,0,0.0,0.48990002040399916
fulludp,0.125,all,4,0.029638290405273438,-0.16302108764648438,0.0202789306640625,0.0202789306640625,0.079437255859375,0.00025966763496398926,0.75,0.30063605244263664,0.75,1,150.0,0.6993639475573634
fulludp,0.25,all,4,0.01154184341430664,-0.3444852828979492,0.027212142944335938,0.027212142944335938,0.0369873046875,0.00038629770278930664,0.75,0.30063605244263664,0.75,1,150.0,0.6993639475573634
fulludp,0.375,all,4,-0.0556483268737793,-0.5767631530761719,0.020734786987304688,0.020734786987304688,-0.1238861083984375,0.00039173662662506104,0.5,0.15003570882017145,0.5,1,150.0,0.6993639475573634
fulludp,0.5,all,4,-0.17097902297973633,-0.8860340118408203,0.0009021759033203125,0.0009021759033203125,-0.3906669616699219,0.00028170645236968994,0.5,0.15003570882017145,0.5,2,300.0,0.8499642911798285
