family,alpha,scope,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600
expert,0.0,all,4,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
expert,0.0625,all,4,0.3664255142211914,0.17583465576171875,0.29290771484375,0.0014047026634216309,1.0,1.0,0,0.0
expert,0.125,all,4,0.7335281372070312,0.3458747863769531,0.5684089660644531,0.0027433782815933228,1.0,1.0,0,0.0
expert,0.25,all,4,1.4543366432189941,0.6645221710205078,1.0474433898925781,0.005158409476280212,1.0,1.0,0,0.0
expert,0.375,all,4,2.1124095916748047,0.9473648071289062,1.3958625793457031,0.007080256938934326,1.0,1.0,0,0.0
expert,0.5,all,4,2.6142520904541016,1.1854019165039062,1.5763473510742188,0.008266225457191467,1.0,1.0,0,0.0
fulludp,0.0,all,4,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
fulludp,0.0625,all,4,0.02060985565185547,0.011798858642578125,0.054779052734375,0.00014762580394744873,0.75,0.75,0,0.0
fulludp,0.125,all,4,0.029638290405273438,0.0202789306640625,0.079437255859375,0.00025966763496398926,0.75,0.75,1,150.0
fulludp,0.25,all,4,0.01154184341430664,0.027212142944335938,0.0369873046875,0.00038629770278930664,0.75,0.75,1,150.0
fulludp,0.375,all,4,-0.0556483268737793,0.020734786987304688,-0.1238861083984375,0.00039173662662506104,0.5,0.5,1,150.0
fulludp,0.5,all,4,-0.17097902297973633,0.0009021759033203125,-0.3906669616699219,0.00028170645236968994,0.5,0.5,2,300.0
