oracle,scope,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
S0_fulludp_alpha,all,4,0.2984747886657715,0.013606071472167969,0.027212142944335938,0.027212142944335938,0.079437255859375,0.0,0.75,0.30063605244263664,1.0,0,0.0,0.48990002040399916
S1_plus_expert_alpha,all,4,4.165397644042969,3.058877944946289,4.555469512939453,4.555469512939453,1.9933280944824219,0.0,1.0,0.5100999795960008,1.0,0,0.0,0.48990002040399916
gain_over_S0,all,4,3.8669228553771973,2.746912550926209,4.528257369995117,4.528257369995117,1.9138908386230469,0.0,1.0,0.5100999795960008,1.0,0,0.0,0.48990002040399916
