group,bin,expert_selected_rate,unique_win_rate,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
A0-PSNR_q4,q1,0.8933333333333333,0.8933333333333333,150,2.537715161641439,2.3530879656473798,2.3221871659562394,2.0076149837390798,2.5556298333245353,0.0,0.9666666666666667,0.9243471574929044,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q2,0.8533333333333334,0.8533333333333334,150,1.9385343933105468,1.7824997291564941,2.1813356554186023,1.89546976862727,1.7642412958918392,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q3,0.6933333333333334,0.6933333333333334,150,1.4817260996500652,1.3242365595499674,1.7567435599662162,1.3756618705955712,0.985561061549831,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q4,0.38666666666666666,0.38666666666666666,150,1.0435833485921224,0.9454186108907064,1.219204670674092,1.027768727895376,0.9084224185428104,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q1,0.7266666666666667,0.7266666666666667,150,2.125116335550944,1.9544245789845784,2.613249752972577,2.2213491929543987,1.6361454113109692,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q2,0.6,0.6,150,1.5519456100463866,1.4037632134755451,2.5767724836194836,2.230164368088181,1.1169519166688662,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q3,0.6733333333333333,0.6733333333333333,150,1.4960430272420246,1.3168836733500162,2.184300963943069,1.8419635566505226,0.7657920218802787,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q4,0.8266666666666667,0.8266666666666667,150,1.8284540303548178,1.6188900362650553,2.8145569466255806,2.3713004833943137,0.9732635085647171,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q1,0.54,0.54,150,1.5164231618245443,1.3404508806864421,2.6884369721283785,2.2587464667655324,0.9258287790659312,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q2,0.78,0.78,150,1.7048080317179362,1.5358463331858319,2.5663898055617875,2.1160538415651065,1.1236284616831187,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
