target_variant,density_pearson,density_spearman,density_auroc_high,density_auprc_high
global,0.28704020394640134,0.31464418569286756,0.6462911648048721,0.5479029697388964
density_conditioned_q,0.0034278526884417054,0.007215705298292346,0.5007784046908845,0.3391723670034734
excess_over_density_q,0.0034278207320218943,0.007215691313973352,0.5007784046908845,0.3391723670034734
