variant,density_bin,rows,spearman,auroc_high_vs_low,auprc_high
f4_global_strat_control,0,479923,0.5462474061072843,0.8471914343665188,0.540437053335299
f4_global_strat_control,1,481496,0.4486975111167097,0.789351109742592,0.5115096927236433
f4_global_strat_control,2,494400,0.4211175564201389,0.7965323177671729,0.5715052402337308
f4_global_strat_control,3,511965,0.3728056286740686,0.8061504195857779,0.6568113001831085
f4_global_strat_control,4,489816,0.3683468229662926,0.8512570438518003,0.7445528389940479
f4_cond_strat_core,0,479923,0.4928741130134111,0.8129347092183495,0.4924603318796655
f4_cond_strat_core,1,481496,0.44959999759668123,0.787793036149695,0.5176769238765554
f4_cond_strat_core,2,494400,0.45866062878204605,0.8065205107559408,0.6041158087746494
f4_cond_strat_core,3,511965,0.45301295223096877,0.8248188214834232,0.6962831743155056
f4_cond_strat_core,4,489816,0.43446150164835357,0.8623001618477183,0.7626868683462782
f4_cond_strat_ldhn,0,479923,0.4968061921180048,0.816949551614793,0.46300622981810124
f4_cond_strat_ldhn,1,481496,0.44688733573626854,0.7879964325951357,0.5196888186566276
f4_cond_strat_ldhn,2,494400,0.4441509435731021,0.8014173202327202,0.5988331119657038
f4_cond_strat_ldhn,3,511965,0.4414146515641932,0.8222502739968169,0.6934166701828535
f4_cond_strat_ldhn,4,489816,0.4250654512946264,0.8603630233855154,0.7631978195116136
f4_excess_strat_ldhn,0,479923,0.49645904888335396,0.8182128730843822,0.4987624726903312
f4_excess_strat_ldhn,1,481496,0.46165318502103003,0.7945215006473799,0.532037222569219
f4_excess_strat_ldhn,2,494400,0.48197754212427457,0.8155049735672066,0.620782747733603
f4_excess_strat_ldhn,3,511965,0.4750881130050654,0.8325365768733377,0.7096890605556756
f4_excess_strat_ldhn,4,489816,0.4417864818663058,0.8639016519484559,0.7660231361600425
density_only,0,479923,0.2943799154612462,0.6892165453937893,0.3649069290434709
density_only,1,481496,0.2680599985243886,0.6746098578756713,0.44365089254583057
density_only,2,494400,0.15686670349341608,0.6059147584038359,0.46700804017043707
density_only,3,511965,0.0173099701550997,0.5344081675364218,0.5328239630863338
density_only,4,489816,-0.021953718798688574,0.5150000115108215,0.6151285615384475
