variant,target_contract,name,threshold,hard_negative_pixels,ldhn_pixels,false_tail_rate,ldhn_recall,pred_high_coverage
f4_global_strat_control,global_target,1208_0.63_0.83.png,0.5487143993377686,85,77,0.0,0.03896103896103896,0.28759765625
f4_global_strat_control,global_target,1211_0.88_1.93.png,0.5487143993377686,0,63,nan,0.9206349206349206,0.796630859375
f4_global_strat_control,global_target,1231_0.98_1.26.png,0.5487143993377686,188,488,0.031914893617021274,0.2766393442622951,0.11865234375
f4_global_strat_control,global_target,123_0.94_1.22.png,0.5487143993377686,22,71,0.0,0.0,0.3984375
f4_global_strat_control,global_target,1240_0.64_0.5.png,0.5487143993377686,755,748,0.059602649006622516,0.4197860962566845,0.2333984375
f4_global_strat_control,global_target,1246_0.62_2.0.png,0.5487143993377686,33,351,0.030303030303030304,0.10256410256410256,0.28125
f4_global_strat_control,global_target,1250_0.57_0.61.png,0.5487143993377686,14,1385,0.0,0.2527075812274368,0.102783203125
f4_global_strat_control,global_target,1254_0.97_1.31.png,0.5487143993377686,3,19,0.0,0.0,0.381591796875
f4_global_strat_control,global_target,1263_0.9_1.41.png,0.5487143993377686,258,50,0.0,0.68,0.251220703125
f4_global_strat_control,global_target,1266_0.96_1.34.png,0.5487143993377686,16,60,0.0,0.45,0.5595703125
f4_global_strat_control,global_target,126_0.75_1.47.png,0.5487143993377686,135,595,0.0,0.0067226890756302525,0.201904296875
f4_global_strat_control,global_target,1271_0.65_1.66.png,0.5487143993377686,167,306,1.0,0.7156862745098039,0.701416015625
f4_global_strat_control,global_target,1281_0.89_0.85.png,0.5487143993377686,396,271,0.06565656565656566,0.18081180811808117,0.239013671875
f4_global_strat_control,global_target,1282_0.62_0.6.png,0.5487143993377686,567,2524,0.008818342151675485,0.4500792393026941,0.286865234375
f4_global_strat_control,global_target,1292_0.66_1.45.png,0.5487143993377686,118,693,0.15254237288135594,0.6724386724386724,0.728271484375
f4_global_strat_control,global_target,1297_0.99_0.69.png,0.5487143993377686,642,9,0.0,0.0,0.022705078125
f4_global_strat_control,global_target,129_0.95_1.3.png,0.5487143993377686,62,43,0.0,0.8837209302325582,0.297607421875
f4_global_strat_control,global_target,1305_1.0_1.54.png,0.5487143993377686,18,72,0.0,0.3333333333333333,0.410400390625
f4_global_strat_control,global_target,1306_0.6_0.6.png,0.5487143993377686,611,242,0.0032733224222585926,0.02066115702479339,0.2880859375
f4_global_strat_control,global_target,1308_0.84_1.04.png,0.5487143993377686,113,1301,0.0,0.9069946195234435,0.30908203125
f4_global_strat_control,global_target,1322_0.64_1.06.png,0.5487143993377686,388,136,0.002577319587628866,0.4117647058823529,0.376953125
f4_global_strat_control,global_target,1323_0.89_0.88.png,0.5487143993377686,236,707,0.0,0.8628005657708628,0.432373046875
f4_global_strat_control,global_target,1324_0.55_1.43.png,0.5487143993377686,390,64,0.007692307692307693,0.234375,0.399169921875
f4_global_strat_control,global_target,1326_0.77_0.97.png,0.5487143993377686,48,948,1.0,0.9556962025316456,0.481689453125
f4_global_strat_control,global_target,1341_0.94_0.51.png,0.5487143993377686,224,312,0.0,0.003205128205128205,0.03662109375
f4_global_strat_control,global_target,1347_0.75_1.79.png,0.5487143993377686,32,56,0.0625,0.5714285714285714,0.96484375
f4_global_strat_control,global_target,136_0.6_1.01.png,0.5487143993377686,278,770,0.0035971223021582736,0.0012987012987012987,0.055908203125
f4_global_strat_control,global_target,1376_0.65_1.6.png,0.5487143993377686,2,40,0.0,0.0,0.448974609375
f4_global_strat_control,global_target,1377_0.5_0.79.png,0.5487143993377686,409,1993,0.03178484107579462,0.36026091319618664,0.300537109375
f4_global_strat_control,global_target,1380_0.67_1.78.png,0.5487143993377686,29,1733,1.0,0.8684362377380266,0.5048828125
f4_global_strat_control,global_target,1386_0.99_1.78.png,0.5487143993377686,2,52,0.0,0.057692307692307696,0.66748046875
f4_global_strat_control,global_target,1397_0.94_0.79.png,0.5487143993377686,370,119,0.043243243243243246,0.08403361344537816,0.260986328125
f4_global_strat_control,global_target,139_0.87_1.52.png,0.5487143993377686,53,803,0.24528301886792453,0.5255292652552926,0.658203125
f4_global_strat_control,global_target,1403_0.73_1.26.png,0.5487143993377686,0,14,nan,0.07142857142857142,0.220947265625
f4_global_strat_control,global_target,1407_0.6_1.92.png,0.5487143993377686,0,401,nan,0.9750623441396509,0.655029296875
f4_global_strat_control,global_target,1410_0.76_1.08.png,0.5487143993377686,1045,623,0.43636363636363634,0.391653290529695,0.42626953125
f4_global_strat_control,global_target,141_0.71_1.48.png,0.5487143993377686,34,456,0.029411764705882353,0.2719298245614035,0.636962890625
f4_global_strat_control,global_target,1425_0.84_1.75.png,0.5487143993377686,0,780,nan,0.0,0.4912109375
f4_global_strat_control,global_target,1432_0.91_1.29.png,0.5487143993377686,536,296,0.029850746268656716,0.23310810810810811,0.2138671875
f4_global_strat_control,global_target,1433_0.9_1.85.png,0.5487143993377686,7,76,0.2857142857142857,0.5526315789473685,0.5693359375
f4_global_strat_control,global_target,1435_0.87_0.57.png,0.5487143993377686,516,43,0.013565891472868217,0.11627906976744186,0.114990234375
f4_global_strat_control,global_target,1436_0.66_1.76.png,0.5487143993377686,0,69,nan,0.0,0.510498046875
f4_global_strat_control,global_target,1440_0.65_1.26.png,0.5487143993377686,52,431,0.038461538461538464,0.16241299303944315,0.7705078125
f4_global_strat_control,global_target,1442_0.62_0.81.png,0.5487143993377686,49,608,0.20408163265306123,0.3519736842105263,0.225830078125
f4_global_strat_control,global_target,1443_0.76_1.22.png,0.5487143993377686,122,1231,0.3114754098360656,0.30463038180341184,0.4638671875
f4_global_strat_control,global_target,1446_0.85_0.59.png,0.5487143993377686,427,556,0.0,0.0,0.059326171875
f4_global_strat_control,global_target,1449_0.94_0.78.png,0.5487143993377686,311,589,0.19935691318327975,0.06621392190152801,0.158935546875
f4_global_strat_control,global_target,1452_0.81_1.88.png,0.5487143993377686,143,530,0.951048951048951,0.4849056603773585,0.68017578125
f4_global_strat_control,global_target,1454_0.62_1.48.png,0.5487143993377686,6,1152,1.0,0.9522569444444444,0.5966796875
f4_global_strat_control,global_target,1456_0.66_1.83.png,0.5487143993377686,52,1264,1.0,0.9857594936708861,0.711669921875
f4_global_strat_control,global_target,1457_0.88_0.58.png,0.5487143993377686,43,603,0.0,0.06965174129353234,0.073974609375
f4_global_strat_control,global_target,145_0.5_1.08.png,0.5487143993377686,356,143,0.008426966292134831,0.1048951048951049,0.101318359375
f4_global_strat_control,global_target,1461_0.59_0.54.png,0.5487143993377686,254,1934,0.0,0.002068252326783868,0.0419921875
f4_global_strat_control,global_target,1464_0.64_1.56.png,0.5487143993377686,84,728,0.9761904761904762,0.125,0.61767578125
f4_global_strat_control,global_target,1470_0.63_1.26.png,0.5487143993377686,193,338,0.0051813471502590676,0.05621301775147929,0.181396484375
f4_global_strat_control,global_target,1471_0.82_1.95.png,0.5487143993377686,54,116,0.14814814814814814,0.43103448275862066,0.727783203125
f4_global_strat_control,global_target,1474_0.92_0.89.png,0.5487143993377686,138,295,0.0,0.003389830508474576,0.18115234375
f4_global_strat_control,global_target,1481_0.7_0.89.png,0.5487143993377686,153,1384,0.11764705882352941,0.8179190751445087,0.3916015625
f4_global_strat_control,global_target,1482_0.59_1.05.png,0.5487143993377686,189,483,0.43915343915343913,0.42650103519668736,0.4111328125
f4_global_strat_control,global_target,1485_0.6_1.5.png,0.5487143993377686,236,1465,0.038135593220338986,0.24436860068259386,0.397705078125
f4_global_strat_control,global_target,1493_0.84_0.8.png,0.5487143993377686,14,118,0.0,0.17796610169491525,0.335693359375
f4_global_strat_control,global_target,1497_0.99_1.09.png,0.5487143993377686,0,11,nan,0.0,0.43212890625
f4_global_strat_control,global_target,1500_0.87_1.88.png,0.5487143993377686,0,6,nan,0.0,0.89111328125
f4_global_strat_control,global_target,1511_0.63_1.09.png,0.5487143993377686,872,330,0.1926605504587156,0.1484848484848485,0.214111328125
f4_global_strat_control,global_target,1512_0.89_1.11.png,0.5487143993377686,267,514,0.0,0.0914396887159533,0.314697265625
f4_global_strat_control,global_target,1517_0.72_1.25.png,0.5487143993377686,1911,76,0.0015698587127158557,0.27631578947368424,0.1845703125
f4_global_strat_control,global_target,1518_0.62_1.44.png,0.5487143993377686,1716,111,0.008741258741258742,0.34234234234234234,0.172119140625
f4_global_strat_control,global_target,1528_0.91_1.9.png,0.5487143993377686,192,130,0.08854166666666667,0.43846153846153846,0.861083984375
f4_global_strat_control,global_target,152_0.8_1.99.png,0.5487143993377686,0,67,nan,0.6119402985074627,0.79248046875
f4_global_strat_control,global_target,1531_0.52_1.01.png,0.5487143993377686,1898,415,0.0,0.024096385542168676,0.04833984375
f4_global_strat_control,global_target,1537_0.52_1.24.png,0.5487143993377686,558,433,0.02867383512544803,0.06235565819861432,0.248291015625
f4_global_strat_control,global_target,1538_0.61_0.54.png,0.5487143993377686,1851,318,0.005942733657482442,0.015723270440251572,0.02490234375
