name,ldhn_components,ldhn_largest_component,ldhn_component_p50,ldhn_component_p90
814_0.63_1.29.png,12,111,2.0,16.0
819_0.5_1.85.png,27,594,5.0,56.0
826_0.81_1.2.png,12,32,10.0,18.0
83_0.64_1.88.png,16,17,2.0,13.0
844_0.99_1.22.png,3,280,57.0,280.0
849_0.55_0.6.png,24,250,3.0,24.0
85_1.0_1.41.png,24,143,3.0,67.0
860_0.73_1.11.png,7,1155,3.0,8.0
862_0.69_1.5.png,11,186,4.0,116.0
872_0.51_0.78.png,14,1062,3.0,220.0
875_0.87_1.74.png,3,85,68.0,85.0
881_0.6_1.13.png,6,145,4.0,23.0
882_0.95_1.36.png,8,666,6.0,46.0
886_0.89_0.98.png,13,1107,5.0,43.0
88_0.98_1.99.png,22,161,5.0,39.0
899_0.93_1.74.png,11,93,4.0,11.0
900_0.91_0.72.png,6,126,1.0,118.0
903_0.81_0.73.png,9,218,5.0,12.0
921_0.67_1.07.png,11,187,3.0,173.0
922_0.74_0.99.png,7,219,4.0,36.0
923_0.59_1.48.png,10,269,4.0,98.0
928_0.52_1.15.png,11,308,10.0,286.0
92_0.7_0.93.png,6,51,7.0,33.0
940_0.91_1.03.png,1,58,58.0,58.0
944_0.59_1.51.png,2,4,1.0,4.0
94_0.62_1.46.png,19,244,2.0,38.0
952_0.74_0.72.png,12,638,21.0,621.0
953_0.95_0.84.png,1,1,1.0,1.0
955_0.94_0.9.png,1,2,2.0,2.0
956_0.55_1.4.png,4,1058,25.0,1058.0
95_0.85_1.33.png,7,25,2.0,8.0
965_0.67_1.91.png,2,54,1.0,54.0
975_0.8_1.05.png,5,448,15.0,448.0
979_0.96_0.5.png,3,692,47.0,692.0
984_0.67_1.7.png,9,35,2.0,8.0
985_0.85_0.52.png,7,360,18.0,133.0
987_0.56_1.81.png,5,478,1.0,478.0
98_0.97_1.56.png,4,100,55.0,100.0
993_0.96_1.77.png,2,156,42.0,156.0
996_0.93_0.78.png,1,427,427.0,427.0
999_0.77_1.81.png,5,162,2.0,162.0
99_0.79_1.39.png,6,192,28.0,171.0
9_0.71_0.66.png,5,2,1.0,2.0
