name,ldhn_components,ldhn_largest_component,ldhn_component_p50,ldhn_component_p90
1377_0.5_0.79.png,12,1469,5.0,451.0
1380_0.67_1.78.png,6,1512,18.0,171.0
1386_0.99_1.78.png,2,27,25.0,27.0
1397_0.94_0.79.png,14,61,3.0,16.0
139_0.87_1.52.png,7,443,5.0,307.0
1403_0.73_1.26.png,1,14,14.0,14.0
1407_0.6_1.92.png,9,224,2.0,156.0
1410_0.76_1.08.png,8,377,28.0,167.0
141_0.71_1.48.png,9,287,4.0,109.0
1425_0.84_1.75.png,1,780,780.0,780.0
1432_0.91_1.29.png,6,129,8.0,86.0
1433_0.9_1.85.png,18,25,1.0,8.0
1435_0.87_0.57.png,7,29,2.0,4.0
1436_0.66_1.76.png,6,21,7.0,20.0
1440_0.65_1.26.png,7,375,6.0,34.0
1442_0.62_0.81.png,15,546,3.0,25.0
1443_0.76_1.22.png,8,1213,1.0,8.0
1446_0.85_0.59.png,20,463,4.0,13.0
1449_0.94_0.78.png,6,281,12.0,263.0
1452_0.81_1.88.png,13,166,6.0,135.0
1454_0.62_1.48.png,3,1083,67.0,1083.0
1456_0.66_1.83.png,4,1205,50.0,1205.0
1457_0.88_0.58.png,15,279,2.0,126.0
145_0.5_1.08.png,29,35,2.0,10.0
1461_0.59_0.54.png,16,1134,9.0,559.0
1464_0.64_1.56.png,22,620,2.0,24.0
1470_0.63_1.26.png,19,110,4.0,60.0
1471_0.82_1.95.png,19,33,2.0,13.0
1474_0.92_0.89.png,2,291,4.0,291.0
1481_0.7_0.89.png,10,1170,9.0,107.0
1482_0.59_1.05.png,10,138,13.0,119.0
1485_0.6_1.5.png,18,699,4.0,241.0
1493_0.84_0.8.png,8,44,5.0,41.0
1497_0.99_1.09.png,4,5,2.0,5.0
1500_0.87_1.88.png,1,6,6.0,6.0
1511_0.63_1.09.png,26,63,3.0,37.0
1512_0.89_1.11.png,15,267,4.0,87.0
1517_0.72_1.25.png,11,23,2.0,17.0
1518_0.62_1.44.png,17,20,5.0,15.0
1528_0.91_1.9.png,9,83,5.0,16.0
152_0.8_1.99.png,3,26,22.0,26.0
1531_0.52_1.01.png,16,133,7.0,128.0
1537_0.52_1.24.png,18,257,4.0,46.0
1538_0.61_0.54.png,19,110,8.0,36.0
1539_0.58_0.79.png,14,192,7.0,106.0
1543_0.92_1.98.png,6,19,5.0,7.0
1544_0.87_1.52.png,6,34,2.0,4.0
1547_0.77_1.84.png,11,53,5.0,49.0
1548_0.85_1.55.png,14,47,7.0,37.0
1549_0.91_1.37.png,16,72,4.0,30.0
154_0.97_0.91.png,2,107,4.0,107.0
1568_0.8_1.8.png,22,82,3.0,26.0
1573_0.61_1.06.png,12,197,2.0,28.0
1575_0.51_1.39.png,18,527,2.0,22.0
1578_0.57_1.99.png,11,50,3.0,10.0
1580_0.7_1.59.png,7,35,2.0,2.0
1586_0.74_1.29.png,6,31,1.0,16.0
158_0.56_1.42.png,9,39,7.0,23.0
1592_0.54_1.46.png,24,88,3.0,65.0
1599_0.71_1.3.png,23,281,4.0,106.0
1602_0.92_0.57.png,14,38,4.0,31.0
1605_1.0_1.37.png,6,16,5.0,12.0
1612_0.77_1.4.png,6,9,2.0,9.0
161_0.83_1.56.png,7,36,3.0,24.0
1621_0.5_0.72.png,7,19,6.0,10.0
162_0.75_0.98.png,27,112,4.0,21.0
1631_0.92_1.27.png,8,9,2.0,5.0
1635_0.64_0.55.png,5,640,4.0,640.0
1636_0.96_1.23.png,8,573,2.0,4.0
1647_0.89_1.55.png,8,35,7.0,14.0
1648_0.89_1.41.png,8,68,7.0,14.0
1657_0.68_1.28.png,4,17,9.0,17.0
1663_0.92_1.8.png,8,103,2.0,2.0
1664_0.8_2.0.png,8,11,2.0,10.0
1666_0.85_0.59.png,6,35,7.0,23.0
1685_0.79_1.99.png,18,63,1.0,3.0
1686_0.51_0.6.png,23,15,2.0,9.0
1687_0.83_1.61.png,23,21,2.0,4.0
1689_0.74_0.54.png,27,118,2.0,19.0
1691_0.77_1.92.png,28,54,5.0,16.0
1696_0.74_1.51.png,41,43,2.0,8.0
1701_0.55_0.71.png,26,68,3.0,17.0
1705_0.66_1.4.png,29,707,3.0,20.0
1712_0.9_0.74.png,32,28,2.0,7.0
1718_0.92_1.01.png,14,112,1.0,13.0
1722_0.85_1.51.png,7,32,6.0,14.0
1726_0.54_0.7.png,17,114,3.0,16.0
1730_0.81_1.53.png,28,20,1.0,6.0
1733_0.57_1.6.png,27,92,4.0,27.0
173_0.88_1.45.png,6,521,5.0,93.0
1756_0.77_1.19.png,18,274,3.0,94.0
1761_0.99_0.94.png,6,37,2.0,24.0
