feature_set,probe,score_density_spearman,score_target_spearman
feature_set_1,linear,0.06448038702565949,0.4248155099505761
feature_set_1,mlp,0.10288604820681796,0.537528014736118
feature_set_2,linear,0.14175764670589439,0.43467780152442315
feature_set_2,mlp,0.10745264171448654,0.5489464029300749
feature_set_3,linear,0.13969233461672703,0.4345285661395493
feature_set_3,mlp,0.12057236966164077,0.544917772370884
feature_set_4,linear,0.1463038402675546,0.4316609217938392
feature_set_4,mlp,0.120451278732075,0.5461995600563164
