name,ldhn_pixels,adjacent_pixels,isolated_pixels,density_gradient_mean_on_ldhn,density_gradient_p90_on_ldhn
1002_0.73_1.47.png,1233,24,1209,0.009021583013236523,0.013998456299304962
1007_0.68_1.25.png,259,100,159,0.028432244434952736,0.07633047550916672
1012_0.85_1.28.png,61,0,61,0.02299279160797596,0.044845812022686005
1016_0.8_1.72.png,72,42,30,0.032606735825538635,0.06329558044672012
1022_0.66_1.05.png,487,3,484,0.013744418509304523,0.023580402135849
1023_0.5_1.87.png,275,63,212,0.025273865088820457,0.058036528527736664
1029_0.71_0.56.png,614,0,614,0.006042527500540018,0.013328390195965767
103_0.75_1.59.png,786,150,636,0.011150539852678776,0.01597479172050953
1042_0.91_0.56.png,338,12,326,0.011623244732618332,0.026016946882009506
1045_0.58_1.58.png,456,244,212,0.03048846870660782,0.07802940905094147
1060_0.94_1.09.png,0,0,0,nan,nan
1064_0.54_0.97.png,234,28,206,0.025223910808563232,0.059728384017944336
1072_0.58_0.58.png,96,0,96,0.011916610412299633,0.020613156259059906
1073_0.51_0.98.png,743,0,743,0.006032164674252272,0.008705073967576027
1075_0.76_1.99.png,439,122,317,0.018757659941911697,0.039094001054763794
1080_0.59_1.22.png,373,109,264,0.022481299936771393,0.05106692761182785
1083_0.67_0.81.png,35,2,33,0.017408648505806923,0.0620858334004879
1090_0.54_0.58.png,227,0,227,0.012242183089256287,0.027322422713041306
1096_0.72_0.86.png,803,11,792,0.008168043568730354,0.024254683405160904
1098_0.8_0.51.png,835,0,835,0.013112375512719154,0.020737990736961365
1099_0.54_1.76.png,1468,0,1468,0.010719282552599907,0.024009091779589653
1102_0.65_0.94.png,325,66,259,0.017859959974884987,0.04108826443552971
110_0.55_1.08.png,106,17,89,0.02139349840581417,0.04895228520035744
1113_0.9_0.52.png,638,72,566,0.013414502143859863,0.030290717259049416
1122_0.94_0.53.png,213,4,209,0.016380053013563156,0.03900944069027901
1124_0.74_1.17.png,255,49,206,0.02142518386244774,0.04967876151204109
1134_0.69_1.2.png,541,78,463,0.020551862195134163,0.03554641455411911
1140_0.67_1.42.png,1265,1,1264,0.010115403681993484,0.028204789385199547
1143_0.73_1.33.png,13,11,2,0.03109576180577278,0.04360532760620117
1145_0.9_1.2.png,483,8,475,0.014250203035771847,0.025114281103014946
1146_0.89_0.87.png,591,0,591,0.01097147911787033,0.020232610404491425
114_0.75_1.45.png,236,49,187,0.03302987664937973,0.07091449946165085
1150_0.8_1.27.png,163,7,156,0.01987229473888874,0.041709668934345245
1155_0.63_1.27.png,508,64,444,0.021517062559723854,0.051401589065790176
