feature_set,probe,threshold,coverage,precision,recall
feature_set_1,linear,0.007107567973434925,1.0,0.5,1.0
feature_set_1,linear,0.08568935483694076,0.9799722281563769,0.5095645539266445,0.9987182226020082
feature_set_1,linear,0.12738003671169282,0.9599978637043367,0.5182753824756606,0.9950865199743645
feature_set_1,linear,0.16144875168800354,0.9399700918607136,0.5272727272727272,0.9912411877803888
feature_set_1,linear,0.19402862966060638,0.9199957274086734,0.5362243120863811,0.9866481521042513
feature_set_1,linear,0.2240903854370117,0.8999679555650502,0.5444780725179514,0.9800256355479599
feature_set_1,linear,0.2513763344287872,0.87999359111301,0.5525277659768162,0.9724417859431745
feature_set_1,linear,0.27299957156181337,0.8599658192693869,0.5603651720283195,0.9637897885067294
feature_set_1,linear,0.2928910100460052,0.8399914548173467,0.56720498474059,0.9528946806237983
feature_set_1,linear,0.3112121123075485,0.8199636829737236,0.5751970298964372,0.9432813501388592
feature_set_1,linear,0.33018498420715336,0.7999893185216834,0.5829494625809467,0.9327066866054262
feature_set_1,linear,0.3494534093141556,0.7799615466780603,0.588126540673788,0.9174321726126896
feature_set_1,linear,0.36648831129074094,0.7599871822260201,0.5945186226282502,0.9036530655842768
feature_set_1,linear,0.3822909563779832,0.7400128177739799,0.5997401847575058,0.8876308481093783
feature_set_1,linear,0.396801643371582,0.7199850459303567,0.6056672353682961,0.8721427045503097
feature_set_1,linear,0.4100365459918976,0.7000106814783166,0.6105134660868239,0.8547318948942534
feature_set_1,linear,0.42257668852806085,0.6799829096346934,0.6153000314169023,0.836787011322367
feature_set_1,linear,0.43547828555107115,0.6600085451826533,0.6223498948049846,0.8215124973296304
feature_set_1,linear,0.4469539523124695,0.6399807733390301,0.6283902194775932,0.804315317239906
feature_set_1,linear,0.45818010210990906,0.62000640888699,0.6323542079421138,0.7841273232215339
feature_set_1,linear,0.46961852312088015,0.5999786370433668,0.6371728680790457,0.7645802179021577
feature_set_1,linear,0.4795127713680267,0.5800042725913266,0.6430018416206261,0.7458876308481094
feature_set_1,linear,0.4895019567012787,0.5599765007477034,0.6484501669051025,0.7262337107455672
feature_set_1,linear,0.49889075398445126,0.5400021362956633,0.6528533280585501,0.7050843836787012
feature_set_1,linear,0.5092834305763244,0.5199743644520401,0.6598192276088742,0.6861781670583209
feature_set_1,linear,0.5193693935871124,0.5,0.6654560991241187,0.6654560991241187
feature_set_1,linear,0.5291831827163697,0.48002563554795985,0.6707832665776591,0.6439863277077548
feature_set_1,linear,0.5383546948432922,0.4599978637043367,0.678741437362127,0.6244392223883786
feature_set_1,linear,0.5477620482444764,0.4400234992522965,0.6844277218108994,0.6023285622730186
feature_set_1,linear,0.5565366113185882,0.41999572740867336,0.6907426246185148,0.5802179021576587
feature_set_1,linear,0.5666783332824707,0.4000213629566332,0.6947930574098798,0.5558641315958128
feature_set_1,linear,0.576751811504364,0.37999359111301007,0.7023190442726633,0.5337534714804529
feature_set_1,linear,0.5859686994552612,0.36001922666096986,0.7076101468624834,0.5095065157017731
feature_set_1,linear,0.594781049489975,0.3399914548173467,0.7136349355953503,0.48525955992309333
feature_set_1,linear,0.6044184827804566,0.32001709036530657,0.7182910547396528,0.4597308267464217
feature_set_1,linear,0.6135143399238586,0.2999893185216834,0.7251201709097383,0.435056611835078
feature_set_1,linear,0.6235188031196595,0.2800149540696432,0.7303070761014686,0.40899380474257635
feature_set_1,linear,0.6333936333656311,0.2599871822260201,0.7364420706655711,0.38293099765007477
feature_set_1,linear,0.6432595348358154,0.24001281777397993,0.7445482866043613,0.3574022644734031
feature_set_1,linear,0.6535815930366516,0.22003845332193975,0.7546116504854369,0.33208716086306345
feature_set_1,linear,0.6648695468902589,0.2000106814783166,0.7639519359145527,0.30559709463789786
feature_set_1,linear,0.6756585466861725,0.18003631702627643,0.7692079501631564,0.27697073274941253
feature_set_1,linear,0.6893450689315795,0.16000854518265328,0.7840453938584779,0.2509079256569109
feature_set_1,linear,0.7037421405315399,0.1400341807306131,0.7963386727688787,0.22302926725058747
feature_set_1,linear,0.721412115097046,0.12000640888698996,0.8046283934134402,0.19312112796411024
feature_set_1,linear,0.7407810270786286,0.1000320444349498,0.8179391350774159,0.16364024781029696
feature_set_1,linear,0.7640135645866394,0.08000427259132664,0.8384512683578104,0.13415936765648365
feature_set_1,linear,0.794807713031769,0.06002990813928648,0.8683274021352313,0.10425122837000642
feature_set_1,linear,0.8398615145683281,0.04000213629566332,0.910547396528705,0.0728476821192053
feature_set_1,linear,0.8953252422809604,0.020027771843623157,0.92,0.03685110019226661
feature_set_1,linear,0.9791451692581177,5.3407391582995086e-05,1.0,0.00010681478316599017
feature_set_1,mlp,8.595654071541503e-05,1.0,0.5,1.0
feature_set_1,mlp,0.005615422846749424,0.9799722281563769,0.5100005449888277,0.999572740867336
