variant,safe_points,ldhn_passing_points,safe_and_ldhn_points,best_safe_ldhn_recall,best_safe_false_p90,best_safe_false_p95,min_false_ldhn_recall,min_false_ldhn_false_p90,min_false_ldhn_false_p95
d7c_mc_topk_hn_ordinal,50,86,0,0.06273510386441722,0.04975124378109453,0.09375,0.10271916998999606,0.08974358974358974,0.2636363636363636
d7c_mc_hn_ordinal,39,98,0,0.07278883542389991,0.043478260869565216,0.09523809523809523,0.10219860306998682,0.07291666666666667,0.17381489841986456
