name,blur_radius,ldhn_q66_coverage,ldhn_q80_coverage
1002_0.73_1.47.png,5,0.30029296875,0.25341796875
1002_0.73_1.47.png,9,0.301025390625,0.253662109375
1002_0.73_1.47.png,15,0.302490234375,0.25244140625
1007_0.68_1.25.png,5,0.06396484375,0.048828125
1007_0.68_1.25.png,9,0.063232421875,0.04736328125
1007_0.68_1.25.png,15,0.06298828125,0.046630859375
1012_0.85_1.28.png,5,0.014892578125,0.014892578125
1012_0.85_1.28.png,9,0.014892578125,0.014892578125
1012_0.85_1.28.png,15,0.014892578125,0.014892578125
1016_0.8_1.72.png,5,0.01708984375,0.00146484375
1016_0.8_1.72.png,9,0.017578125,0.001220703125
1016_0.8_1.72.png,15,0.019775390625,0.00146484375
1022_0.66_1.05.png,5,0.120849609375,0.0888671875
1022_0.66_1.05.png,9,0.118896484375,0.090576171875
1022_0.66_1.05.png,15,0.11767578125,0.092529296875
1023_0.5_1.87.png,5,0.06494140625,0.022216796875
1023_0.5_1.87.png,9,0.067138671875,0.023193359375
1023_0.5_1.87.png,15,0.074462890625,0.02294921875
1029_0.71_0.56.png,5,0.150634765625,0.069580078125
1029_0.71_0.56.png,9,0.14990234375,0.0693359375
1029_0.71_0.56.png,15,0.14794921875,0.0673828125
103_0.75_1.59.png,5,0.191650390625,0.189697265625
103_0.75_1.59.png,9,0.19189453125,0.18994140625
103_0.75_1.59.png,15,0.193359375,0.191162109375
1042_0.91_0.56.png,5,0.0810546875,0.031005859375
1042_0.91_0.56.png,9,0.08251953125,0.03076171875
1042_0.91_0.56.png,15,0.084228515625,0.029541015625
1045_0.58_1.58.png,5,0.109375,0.104736328125
1045_0.58_1.58.png,9,0.111328125,0.105224609375
1045_0.58_1.58.png,15,0.11083984375,0.106201171875
1060_0.94_1.09.png,5,0.0,0.0
1060_0.94_1.09.png,9,0.0,0.0
1060_0.94_1.09.png,15,0.000244140625,0.0
1064_0.54_0.97.png,5,0.056396484375,0.038330078125
1064_0.54_0.97.png,9,0.05712890625,0.03857421875
1064_0.54_0.97.png,15,0.060302734375,0.036376953125
1072_0.58_0.58.png,5,0.022705078125,0.008544921875
1072_0.58_0.58.png,9,0.0234375,0.0078125
1072_0.58_0.58.png,15,0.02197265625,0.005859375
1073_0.51_0.98.png,5,0.181640625,0.039306640625
1073_0.51_0.98.png,9,0.181396484375,0.038330078125
1073_0.51_0.98.png,15,0.180908203125,0.03466796875
1075_0.76_1.99.png,5,0.1064453125,0.095458984375
1075_0.76_1.99.png,9,0.107177734375,0.095458984375
1075_0.76_1.99.png,15,0.107666015625,0.09619140625
1080_0.59_1.22.png,5,0.08984375,0.025390625
1080_0.59_1.22.png,9,0.091064453125,0.02490234375
1080_0.59_1.22.png,15,0.0927734375,0.025146484375
1083_0.67_0.81.png,5,0.008056640625,0.0029296875
1083_0.67_0.81.png,9,0.008544921875,0.002685546875
1083_0.67_0.81.png,15,0.009521484375,0.00244140625
1090_0.54_0.58.png,5,0.0546875,0.007080078125
1090_0.54_0.58.png,9,0.055419921875,0.006591796875
1090_0.54_0.58.png,15,0.053466796875,0.00439453125
1096_0.72_0.86.png,5,0.196044921875,0.103271484375
1096_0.72_0.86.png,9,0.196044921875,0.10205078125
1096_0.72_0.86.png,15,0.1982421875,0.100830078125
1098_0.8_0.51.png,5,0.203369140625,0.1611328125
1098_0.8_0.51.png,9,0.203857421875,0.160400390625
1098_0.8_0.51.png,15,0.205078125,0.1611328125
1099_0.54_1.76.png,5,0.353515625,0.208984375
1099_0.54_1.76.png,9,0.3583984375,0.21337890625
1099_0.54_1.76.png,15,0.360107421875,0.209716796875
1102_0.65_0.94.png,5,0.07861328125,0.030029296875
