group,manifest_count,present_count,count,LL_oracle_dPSNR_mean,LL_oracle_dPSNR_median,LL_oracle_dPSNR_p05,LL_oracle_dPSNR_p95,LL_oracle_dPSNR_positive_ratio,LL_oracle_dPSNR_severe_loss_count,HF_oracle_dPSNR_mean,HF_oracle_dPSNR_median,HF_oracle_dPSNR_p05,HF_oracle_dPSNR_p95,HF_oracle_dPSNR_positive_ratio,HF_oracle_dPSNR_severe_loss_count,LL_HF_oracle_dPSNR_mean,LL_HF_oracle_dPSNR_median,LL_HF_oracle_dPSNR_p05,LL_HF_oracle_dPSNR_p95,LL_HF_oracle_dPSNR_positive_ratio,LL_HF_oracle_dPSNR_severe_loss_count,lowband_need_count,wd0375_severe_count
G1_v215_hazy_runtime_top100,100,100,100,11.532962074279785,10.671545028686523,8.141349792480469,17.531291961669922,1.0,0,0.4041682052612305,0.4039802551269531,0.081298828125,0.7582130432128906,1.0,0,73.8229927444458,73.33415985107422,69.91558837890625,78.53182983398438,1.0,0,100,19
G2_v215_all_runtime_top100,100,100,100,12.848043899536133,12.408044815063477,8.992324829101562,18.51040267944336,1.0,0,0.3009222412109375,0.265625,0.06763839721679688,0.6140708923339844,1.0,0,74.30122608184814,74.02628707885742,70.2652587890625,79.42932891845703,1.0,0,100,15
G3_v215_lost_severe,8,8,8,10.51370096206665,10.781578063964844,7.675514221191406,14.832366943359375,1.0,0,0.48038482666015625,0.3962898254394531,0.15276718139648438,0.8555450439453125,1.0,0,72.71241331100464,72.29607009887695,69.91558837890625,76.54215240478516,1.0,0,8,8
G4_v215_gained_false_positive,49,49,49,14.049523645517777,13.937797546386719,10.017509460449219,18.834922790527344,1.0,0,0.21301588720204878,0.18610382080078125,0.06505203247070312,0.46622467041015625,1.0,0,75.46894330394511,74.98225402832031,71.55184936523438,80.33651733398438,1.0,0,49,0
G5_all_wd0375_severe_risk,67,67,67,12.042591892071624,11.898292541503906,8.141349792480469,15.875057220458984,1.0,0,0.34296388768438085,0.2990303039550781,0.11829376220703125,0.7582130432128906,1.0,0,74.63382066185795,74.30266571044922,69.6452865600586,79.61807250976562,1.0,0,67,67
G6_a0_hard_bottom25,600,600,600,18.939359436035158,18.902517318725586,14.274738311767578,23.63172149658203,1.0,0,0.07073381741841635,0.05754661560058594,0.019418716430664062,0.17256927490234375,1.0,0,85.81852513631185,85.42535018920898,83.00244903564453,90.25729751586914,1.0,0,600,0
G7_a0_easy_top25,600,600,600,11.853744614919027,11.835596084594727,9.150680541992188,14.535091400146484,1.0,0,0.3308874003092448,0.3065166473388672,0.16204071044921875,0.591400146484375,1.0,0,74.58622244517008,74.85937118530273,71.47720718383789,76.62941360473633,1.0,0,600,49
