name,max_abs_diff,mean_abs_diff
1000_0.74_1.6.png,1.1920928955078125e-07,3.929863101603814e-09
1001_0.89_1.66.png,8.940696716308594e-08,2.6641957528994453e-09
1002_0.73_1.47.png,5.960464477539063e-08,2.1497641444767623e-09
1003_0.9_1.06.png,5.960464477539063e-08,1.7443594346744362e-09
1004_0.91_1.17.png,5.960464477539063e-08,1.9249195570836264e-09
1005_0.74_1.81.png,1.1920928955078125e-07,7.779834554355602e-09
1006_0.89_1.55.png,1.7881393432617188e-07,8.600779644041268e-09
1007_0.68_1.25.png,1.1920928955078125e-07,5.402377212249121e-09
1008_0.52_1.98.png,1.1920928955078125e-07,6.225138626803073e-09
1009_0.84_0.56.png,1.1920928955078125e-07,3.910879620150354e-09
100_0.65_1.43.png,1.1920928955078125e-07,4.365830807984139e-09
1010_0.91_1.13.png,1.7881393432617188e-07,8.133853590663875e-09
1011_0.79_0.66.png,1.1920928955078125e-07,4.373390094514207e-09
1012_0.85_1.28.png,1.7881393432617188e-07,8.397200268461802e-09
1013_0.63_1.83.png,1.1920928955078125e-07,6.768596350070766e-09
1014_0.74_1.61.png,1.1920928955078125e-07,6.565024968097077e-09
1015_0.7_1.92.png,1.4901161193847656e-07,7.551372860348238e-09
1016_0.8_1.72.png,1.1920928955078125e-07,7.3709682801847975e-09
1017_0.91_1.44.png,1.1920928955078125e-07,3.0093671998798754e-09
1018_0.88_0.54.png,5.960464477539063e-08,1.5375282158558434e-09
1019_0.82_1.87.png,1.1920928955078125e-07,3.4115743563489787e-09
101_0.78_1.87.png,1.7881393432617188e-07,6.218891179798902e-09
1020_0.5_0.98.png,1.1920928955078125e-07,4.17150269882427e-09
1021_0.73_0.84.png,1.1920928955078125e-07,2.625739847772479e-09
1022_0.66_1.05.png,1.1920928955078125e-07,3.160590678064068e-09
1023_0.5_1.87.png,1.1920928955078125e-07,4.369237860402109e-09
1024_0.69_1.66.png,1.1920928955078125e-07,3.908039225564153e-09
1025_0.95_1.79.png,1.1920928955078125e-07,4.627866090345378e-09
1026_0.77_0.89.png,5.960464477539063e-08,1.6868657581881052e-09
1027_0.57_1.77.png,1.1920928955078125e-07,3.2191631582634272e-09
1028_0.97_1.41.png,1.1920928955078125e-07,3.6537957104343377e-09
1029_0.71_0.56.png,1.1920928955078125e-07,2.6083086801520494e-09
