group,count,LL_oracle_dPSNR_mean,LL_oracle_dPSNR_median,LL_oracle_dPSNR_p05,LL_oracle_dPSNR_p95,LL_oracle_dPSNR_positive_ratio,LL_oracle_dPSNR_severe_loss_count,lowband_need_count,lowband_need_rate
wd0375_severe,67,12.042591892071624,11.898292541503906,8.141349792480469,15.875057220458984,1.0,0,67,1.0
wd0375_nonsevere,2333,15.0835886357222,14.550865173339844,10.370330810546875,21.261964797973633,1.0,0,2333,1.0
