group,count,mean,median,p05,p25,p75,p95
wd0375_severe,67,45.366179338142054,45.69733428955078,40.381927490234375,42.82362365722656,47.72687530517578,50.354713439941406
wd0375_nonsevere,2333,39.87049846755452,40.07816696166992,32.32642364501953,37.08271026611328,43.013221740722656,46.48191833496094
