feature_set,feature_dim,low_size,K,method,fold,valid_count,coeff_mse,coeff_mae,coeff_r2,coeff_corr,pred_std,truth_std,pred_true_norm_ratio,lowspace_weighted_field_l1
current_global_stats,73,32,16,ridge_0.01,0,265,0.021913807839155197,0.09766791015863419,0.32604098604166665,0.5808166861534119,0.11598894745111465,0.18137775361537933,0.631545384768162,0.010247346922030734
current_global_stats,73,32,16,ridge_0.01,1,265,0.021702125668525696,0.09701607376337051,0.29577963645304606,0.5738303661346436,0.12105501443147659,0.17842623591423035,0.6567619896288269,0.009992880061538506
current_global_stats,73,32,16,ridge_0.01,2,265,0.021867161616683006,0.09485604614019394,0.3244077036506411,0.5890544056892395,0.11820165067911148,0.18251100182533264,0.6437051667894989,0.009751133413245119
current_global_stats,73,32,16,ridge_0.01,3,265,0.020293863490223885,0.0961742177605629,0.30126023705313965,0.5665213465690613,0.1097046434879303,0.17223531007766724,0.6263884799546574,0.009704067535357226
current_global_stats,73,32,16,ridge_0.01,4,264,0.02113572135567665,0.09486429393291473,0.34650386327482186,0.6025227308273315,0.11851166933774948,0.18180789053440094,0.640889840113744,0.009871136585655764
current_global_stats,73,32,16,ridge_0.01,mean,1324,0.021382535994052886,0.09611570835113525,0.31879848529466304,0.5825491070747375,0.11669238507747651,0.1792716383934021,0.6398581722509779,0.00991331290356547
current_global_stats,73,32,16,ridge_0.1,0,265,0.02175966277718544,0.09740833938121796,0.3307817163946114,0.5841407179832458,0.11522840708494186,0.18137775361537933,0.6272772659237633,0.010241120276434585
current_global_stats,73,32,16,ridge_0.1,1,265,0.02172263152897358,0.09700130671262741,0.2951142341454558,0.5729576945304871,0.12059430032968521,0.17842623591423035,0.654246945697501,0.00999538076824263
current_global_stats,73,32,16,ridge_0.1,2,265,0.021803798153996468,0.09475814551115036,0.3263653361962563,0.5902568101882935,0.11764993518590927,0.18251100182533264,0.6406083057147036,0.009743575530181585
current_global_stats,73,32,16,ridge_0.1,3,265,0.020320776849985123,0.09612767398357391,0.3003335808435553,0.5654991269111633,0.10921107977628708,0.17223531007766724,0.6235199238891608,0.009710715928197309
current_global_stats,73,32,16,ridge_0.1,4,264,0.021094931289553642,0.09470183402299881,0.3477650528117,0.6031122207641602,0.11759740859270096,0.18180789053440094,0.6367858753776517,0.00987591108726737
current_global_stats,73,32,16,ridge_0.1,mean,1324,0.02134036011993885,0.09599945992231369,0.3200719840783158,0.5831933140754699,0.11605622619390488,0.1792716383934021,0.6364876633205561,0.009913340718064696
current_global_stats,73,32,16,ridge_1,0,265,0.0216451995074749,0.09720464050769806,0.3343020334912469,0.5862684845924377,0.11358868330717087,0.18137775361537933,0.6173709452893315,0.010255128044765754
current_global_stats,73,32,16,ridge_1,1,265,0.02175203710794449,0.0968770682811737,0.29416004155485465,0.5705994963645935,0.11857079714536667,0.17842623591423035,0.6429508047487758,0.009998576465004416
current_global_stats,73,32,16,ridge_1,2,265,0.02170325629413128,0.09459436684846878,0.32947160609887305,0.591806173324585,0.11571202427148819,0.18251100182533264,0.6296825698424385,0.0097561658352623
current_global_stats,73,32,16,ridge_1,3,265,0.020436391234397888,0.09617306292057037,0.29635285200911043,0.561522364616394,0.10776463150978088,0.17223531007766724,0.6150252660014942,0.009740616922165414
current_global_stats,73,32,16,ridge_1,4,264,0.021049916744232178,0.09437205642461777,0.34915685917444406,0.6034680008888245,0.11540809273719788,0.18180789053440094,0.6251523452230316,0.009877320753277723
current_global_stats,73,32,16,ridge_1,mean,1324,0.021317360177636146,0.09584423899650574,0.3206886784657058,0.582732903957367,0.1142088457942009,0.1792716383934021,0.6260363862210143,0.00992556160409512
current_global_stats,73,32,16,ridge_10,0,265,0.021861553192138672,0.09745696932077408,0.32764807736219337,0.5801125764846802,0.11087365448474884,0.18137775361537933,0.5994707468305608,0.010304895880807243
current_global_stats,73,32,16,ridge_10,1,265,0.021639352664351463,0.09645449370145798,0.2978165810591048,0.5699237585067749,0.1136900782585144,0.17842623591423035,0.6140591486179385,0.009991459935311501
