group_type,difficulty_bucket,a0_psnr_quartile,lowfreq_std_quartile,prototype_source_bucket,stage_set,sample_count,noop_count,mild_count,medium_count,strong_count,overstrong_count,unsafe_count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,severe_rate,strong_regression_rate
difficulty_bucket,mid_50,ALL,ALL,ALL,ALL,40,9,2,5,24,0,0,1.235109806060791,0.0,0.0,0.0,0.0
difficulty_bucket,hard_bottom25,ALL,ALL,ALL,ALL,20,4,1,3,12,0,0,1.376887893676758,0.0,0.0,0.0,0.0
difficulty_bucket,easy_top25,ALL,ALL,ALL,ALL,20,5,3,4,8,0,0,0.7035179138183594,0.0,0.0,0.0,0.0
a0_psnr_quartile,ALL,a0_q2,ALL,ALL,ALL,20,2,2,2,14,0,0,1.6267709732055664,0.0,0.0,0.0,0.0
a0_psnr_quartile,ALL,a0_q3,ALL,ALL,ALL,20,7,0,3,10,0,0,0.8434486389160156,0.0,0.0,0.0,0.0
a0_psnr_quartile,ALL,a0_q1,ALL,ALL,ALL,20,4,1,3,12,0,0,1.376887893676758,0.0,0.0,0.0,0.0
a0_psnr_quartile,ALL,a0_q4,ALL,ALL,ALL,20,5,3,4,8,0,0,0.7035179138183594,0.0,0.0,0.0,0.0
lowfreq_std_quartile,ALL,ALL,lowstd_q1,ALL,ALL,20,7,1,5,7,0,0,0.8339169502258301,0.0,0.0,0.0,0.0
lowfreq_std_quartile,ALL,ALL,lowstd_q2,ALL,ALL,20,5,2,2,11,0,0,0.9628589630126954,0.0,0.0,0.0,0.0
lowfreq_std_quartile,ALL,ALL,lowstd_q3,ALL,ALL,20,2,1,2,15,0,0,1.5533775329589843,0.0,0.0,0.0,0.0
lowfreq_std_quartile,ALL,ALL,lowstd_q4,ALL,ALL,20,4,2,3,11,0,0,1.2004719734191895,0.0,0.0,0.0,0.0
prototype_source_bucket,ALL,ALL,ALL,all,ALL,80,0,29,10,41,0,14,0.8075356006622314,-0.4079141616821289,-0.6352758407592773,0.0875,0.175
prototype_source_bucket,ALL,ALL,ALL,mid_50,ALL,40,0,15,2,23,0,9,1.1119757652282716,-0.3373291015625,-0.6836585998535156,0.125,0.225
prototype_source_bucket,ALL,ALL,ALL,hard_bottom25,ALL,20,0,6,2,12,0,3,1.3346699714660644,-0.2547146797180176,-0.3520851135253906,0.1,0.15
prototype_source_bucket,ALL,ALL,ALL,easy_top25,ALL,20,0,9,6,5,0,4,0.2992708206176758,-0.14679718017578125,-0.18847274780273438,0.0,0.2
stage_set,ALL,ALL,ALL,ALL,S6_early_mid_final,80,0,30,13,37,0,16,0.9511989831924439,-0.3005025863647461,-0.5867471694946289,0.1,0.2
stage_set,ALL,ALL,ALL,ALL,S5_bottleneck_mid,80,0,25,10,45,0,11,1.0177121877670288,-0.15097198486328123,-0.3949241638183594,0.05,0.1375
stage_set,ALL,ALL,ALL,ALL,S4_final_decoder,80,0,31,13,36,0,17,0.7507667303085327,-0.24170761108398436,-0.45053958892822266,0.0625,0.2125
bucket_source_stage,mid_50,ALL,ALL,all,S6_early_mid_final,40,0,14,4,22,0,10,0.9390142440795899,-0.4560203552246094,-0.7705078125,0.15,0.25
bucket_source_stage,mid_50,ALL,ALL,mid_50,S6_early_mid_final,40,0,15,4,21,0,10,0.9848162651062011,-0.5317773818969727,-0.8841495513916016,0.15,0.25
bucket_source_stage,mid_50,ALL,ALL,all,S5_bottleneck_mid,40,0,12,4,24,0,8,0.9265057563781738,-0.2764841079711914,-0.5681571960449219,0.075,0.2
bucket_source_stage,mid_50,ALL,ALL,mid_50,S5_bottleneck_mid,40,0,15,2,23,0,9,0.9916121482849121,-0.3373291015625,-0.6836585998535156,0.125,0.225
bucket_source_stage,mid_50,ALL,ALL,all,S4_final_decoder,40,0,15,3,22,0,9,0.7063229560852051,-0.36757469177246094,-0.5868263244628906,0.1,0.225
bucket_source_stage,mid_50,ALL,ALL,mid_50,S4_final_decoder,40,0,16,4,20,0,10,0.760530948638916,-0.4212972640991211,-0.8187713623046875,0.2,0.25
bucket_source_stage,hard_bottom25,ALL,ALL,all,S6_early_mid_final,20,0,8,1,11,0,4,0.6730133056640625,-0.10188302993774415,-0.10884284973144531,0.0,0.2
bucket_source_stage,hard_bottom25,ALL,ALL,hard_bottom25,S6_early_mid_final,20,0,7,3,10,0,5,1.0151206970214843,-0.31344146728515626,-0.5217323303222656,0.1,0.25
bucket_source_stage,hard_bottom25,ALL,ALL,all,S5_bottleneck_mid,20,0,5,4,11,0,0,0.6521973609924316,-0.03516845703125,-0.036052703857421875,0.0,0.0
bucket_source_stage,hard_bottom25,ALL,ALL,hard_bottom25,S5_bottleneck_mid,20,0,6,2,12,0,3,1.2460762977600097,-0.2644069671630859,-0.3520851135253906,0.1,0.15
bucket_source_stage,hard_bottom25,ALL,ALL,all,S4_final_decoder,20,0,8,1,11,0,4,0.47644519805908203,-0.08480358123779297,-0.124359130859375,0.0,0.2
bucket_source_stage,hard_bottom25,ALL,ALL,hard_bottom25,S4_final_decoder,20,0,8,3,9,0,5,0.7805468559265136,-0.3033448219299317,-0.5813407897949219,0.15,0.25
bucket_source_stage,easy_top25,ALL,ALL,all,S6_early_mid_final,20,0,13,4,3,0,6,0.249554443359375,-0.9955078125,-1.1257820129394531,0.3,0.3
bucket_source_stage,easy_top25,ALL,ALL,easy_top25,S6_early_mid_final,20,0,13,5,2,0,5,0.1938955307006836,-0.29718666076660155,-0.36993408203125,0.15,0.25
bucket_source_stage,easy_top25,ALL,ALL,all,S5_bottleneck_mid,20,0,13,1,6,0,6,0.4287864685058594,-0.6075859069824219,-0.6499862670898438,0.2,0.3
bucket_source_stage,easy_top25,ALL,ALL,easy_top25,S5_bottleneck_mid,20,0,9,5,6,0,4,0.27144546508789064,-0.14799671173095702,-0.21246337890625,0.05,0.2
bucket_source_stage,easy_top25,ALL,ALL,all,S4_final_decoder,20,0,14,2,4,0,7,0.18935890197753907,-0.9517318725585937,-1.1449470520019531,0.25,0.35
bucket_source_stage,easy_top25,ALL,ALL,easy_top25,S4_final_decoder,20,0,13,6,1,0,6,0.10646610260009766,-0.19108123779296876,-0.24064254760742188,0.05,0.3
