prototype_source_bucket,target_bucket,stage_set,action,count,mean_dpsnr,p05_dpsnr,unsafe_rate,severe_rate
hard_bottom25,hard_bottom25,S6_early_mid_final,medium_0.67,20,0.5895567893981933,-0.8002045631408692,0.3,0.25
hard_bottom25,hard_bottom25,S6_early_mid_final,mild_0.33,20,0.36697959899902344,-0.31344146728515626,0.25,0.1
hard_bottom25,hard_bottom25,S6_early_mid_final,overstrong_1.5,20,0.33657684326171877,-2.369304370880127,0.4,0.35
hard_bottom25,hard_bottom25,S6_early_mid_final,overstrong_2.0,20,-0.31466875076293943,-3.3933497428894044,0.5,0.5
hard_bottom25,hard_bottom25,S6_early_mid_final,overstrong_3.0,20,-2.154707908630371,-5.74592227935791,0.7,0.7
hard_bottom25,hard_bottom25,S6_early_mid_final,sign_flip,20,-1.0681300163269043,-1.9969757080078125,0.9,0.75
hard_bottom25,hard_bottom25,S6_early_mid_final,strong_1.25,20,0.5337118148803711,-1.8654406547546387,0.35,0.35
hard_bottom25,hard_bottom25,S6_early_mid_final,wrong_stage,20,0.16290054321289063,-0.08836030960083008,0.15,0.0
hard_bottom25,mid_50,S4_final_decoder,cross_bucket_mismatch,40,0.1310662269592285,-2.1482852935791015,0.45,0.425
hard_bottom25,mid_50,S5_bottleneck_mid,cross_bucket_mismatch,40,0.49711132049560547,-1.4986137390136718,0.325,0.275
hard_bottom25,mid_50,S6_early_mid_final,cross_bucket_mismatch,40,0.2420217514038086,-1.8225963592529297,0.425,0.4
mid_50,easy_top25,S4_final_decoder,cross_bucket_mismatch,20,-0.4815822601318359,-2.5816104888916014,0.65,0.55
mid_50,easy_top25,S5_bottleneck_mid,cross_bucket_mismatch,20,-0.00714111328125,-1.5012628555297851,0.6,0.5
mid_50,easy_top25,S6_early_mid_final,cross_bucket_mismatch,20,-0.31725139617919923,-2.191229248046875,0.65,0.55
mid_50,hard_bottom25,S4_final_decoder,cross_bucket_mismatch,20,0.32299957275390623,-0.2892573356628418,0.3,0.15
mid_50,hard_bottom25,S5_bottleneck_mid,cross_bucket_mismatch,20,0.39118232727050783,-0.15259342193603515,0.15,0.05
mid_50,hard_bottom25,S6_early_mid_final,cross_bucket_mismatch,20,0.3883049011230469,-0.2600749969482422,0.35,0.2
mid_50,mid_50,S4_final_decoder,medium_0.67,40,0.35843372344970703,-0.979984474182129,0.375,0.275
mid_50,mid_50,S4_final_decoder,mild_0.33,40,0.24357252120971679,-0.4212972640991211,0.25,0.2
mid_50,mid_50,S4_final_decoder,overstrong_1.5,40,0.006370067596435547,-2.696712112426758,0.425,0.425
mid_50,mid_50,S4_final_decoder,overstrong_2.0,40,-0.5937378406524658,-3.7711485862731933,0.5,0.5
mid_50,mid_50,S4_final_decoder,overstrong_3.0,40,-2.2707000255584715,-5.791394424438477,0.775,0.775
mid_50,mid_50,S4_final_decoder,sign_flip,40,-0.8101083755493164,-1.699376678466797,0.875,0.825
mid_50,mid_50,S4_final_decoder,strong_1.25,40,0.20552377700805663,-2.1576704025268554,0.425,0.4
mid_50,mid_50,S5_bottleneck_mid,medium_0.67,40,0.5066158294677734,-0.7777948379516602,0.275,0.225
mid_50,mid_50,S5_bottleneck_mid,mild_0.33,40,0.2872013092041016,-0.3373291015625,0.225,0.125
mid_50,mid_50,S5_bottleneck_mid,overstrong_1.5,40,0.6303044319152832,-2.0877473831176756,0.375,0.375
mid_50,mid_50,S5_bottleneck_mid,overstrong_2.0,40,0.386992359161377,-2.9375843048095702,0.4,0.375
mid_50,mid_50,S5_bottleneck_mid,overstrong_3.0,40,-0.7092657089233398,-4.534202003479004,0.575,0.55
mid_50,mid_50,S5_bottleneck_mid,sign_flip,40,-0.7501243591308594,-1.5963916778564453,0.875,0.85
