action,action_strength,deployable_candidate,diagnostic_negative_control,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate
noop,0.0,1,0,80,0.0,0.0,0.0,0.0,0.0
mild_0.33,0.33,1,0,480,0.2131707270940145,-0.4543867111206055,-0.7637778917948405,0.23125,0.12291666666666666
medium_0.67,0.67,1,0,480,0.32945595582326254,-1.062460708618164,-1.6131760279337566,0.33125,0.24375
strong_1.25,1.25,1,0,480,0.2678282022476196,-2.3347938537597654,-3.088829676310221,0.3958333333333333,0.3770833333333333
overstrong_1.5,1.5,0,1,480,0.141641366481781,-2.8888044357299805,-3.71846596399943,0.44166666666666665,0.4083333333333333
overstrong_2.0,2.0,0,1,480,-0.2684964656829834,-4.0616072654724125,-4.944690624872844,0.5145833333333333,0.49166666666666664
overstrong_3.0,3.0,0,1,480,-1.514027468363444,-6.142194938659668,-7.2226559321085615,0.7,0.675
sign_flip,0.67,0,1,480,-0.6835945685704549,-1.6951478958129882,-1.8280019760131836,0.8416666666666667,0.7520833333333333
wrong_stage,0.67,0,1,320,0.14359427690505983,-0.20606727600097657,-0.40392374992370605,0.2125,0.05625
cross_bucket_mismatch,0.67,0,1,360,-0.13256895277235242,-2.4615894317626954,-3.5189715491400824,0.45555555555555555,0.3527777777777778
