operator_label,split,policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,p05_psnr_delta,worst_psnr_delta,best_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count,mean_selected_alpha_mean,mean_selected_alpha_p10,mean_selected_alpha_p50,mean_selected_alpha_p90,mean_selected_alpha_zero_fraction,mean_selected_alpha_one_fraction
D_ref,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.125,600,0.0331283994809902,0.01927295073249269,-0.023264695777978517,-0.04604967034435497,-0.1617020902297881,0.19538503054685208,0.7116666666666667,0,0,,,,,,
D_ref,CONFIRM_AUDIT_ONLY,ORACLE_BLOCK16_GRID,600,0.3981010926488758,0.2828534952354431,0.011714111130843464,0.0047148981246117215,0.0,1.659899491719493,0.9983333333333333,0,0,0.26040125694444444,0.0017083333333333325,0.15395833333333334,0.7039374999999999,0.6879737222222223,0.23237138888888892
D_ref,CONFIRM_AUDIT_ONLY,ORACLE_BLOCK32_GRID,600,0.37322354719712936,0.25566202579723907,0.009591003652901263,0.0027743960322901273,0.0,1.6181087390314843,0.9983333333333333,0,0,0.30414688938198553,0.0030833333333333333,0.20479166666666668,0.7742291666666667,0.6248184746877056,0.26609155161078235
D_ref,CONFIRM_AUDIT_ONLY,ORACLE_IMAGE_GRID,600,0.2351011763595244,0.05464377388317132,0.0,0.0,0.0,1.4558444689253491,0.7116666666666667,0,0,0.535625,0.535625,0.535625,0.535625,0.28833333333333333,0.43833333333333335
D_ref,CONFIRM_AUDIT_ONLY,ORACLE_PIXEL_GRID,600,0.4556177204372657,0.3508051526999427,0.02333159448993456,0.011520869935957023,1.6930610229337617e-06,1.7373515519939744,1.0,0,0,0.17496446202256943,0.0,0.069375,0.5247916666666667,0.8007407395833334,0.1613413346354167
D_rep,CONFIRM_AUDIT_ONLY,FIXED_ALPHA_0.125,600,0.033420217975809144,0.021929182339434306,-0.02702190345584015,-0.053757384301053784,-0.17002211261950606,0.2045490995253303,0.7116666666666667,0,0,,,,,,
D_rep,CONFIRM_AUDIT_ONLY,ORACLE_BLOCK16_GRID,600,0.42067746593489613,0.31765516759684687,0.017602738709086907,0.007266484410511254,0.0,1.700276217953359,0.9983333333333333,0,0,0.2664223680555555,0.0020833333333333333,0.16333333333333333,0.7122499999999999,0.6874195000000001,0.2405207222222222
D_rep,CONFIRM_AUDIT_ONLY,ORACLE_BLOCK32_GRID,600,0.3938083745816597,0.27954281592718644,0.014060958889687924,0.005540650920919176,0.0,1.6585588434614849,0.9966666666666667,0,0,0.3118796268902038,0.008208333333333335,0.215625,0.7884375000000001,0.6251986522024983,0.27696630506245895
D_rep,CONFIRM_AUDIT_ONLY,ORACLE_IMAGE_GRID,600,0.2446679497212715,0.059632231007441305,0.0,0.0,0.0,1.5510648673133645,0.7116666666666667,0,0,0.54375,0.54375,0.54375,0.54375,0.28833333333333333,0.4483333333333333
D_rep,CONFIRM_AUDIT_ONLY,ORACLE_PIXEL_GRID,600,0.4827945698114368,0.37690177587962026,0.029396903760957115,0.015470055996231124,4.073744806731838e-05,1.7776644090650748,1.0,0,0,0.17719966229926215,0.0,0.06958333333333333,0.5308333333333334,0.8003408511284722,0.16434859678819444
