operator_label,holdout_fold,bin_index,score_lower_exclusive,score_upper_inclusive,train_block_count,heldout_block_count,train_mean_action_index,heldout_mean_action_index,train_positive_rate,heldout_positive_rate,raw_median_action_index,monotone_action_index,monotone_alpha,train_count_alpha_0,train_count_alpha_0p125,train_count_alpha_0p25,train_count_alpha_0p5,train_count_alpha_1,heldout_count_alpha_0,heldout_count_alpha_0p125,heldout_count_alpha_0p25,heldout_count_alpha_0p5,heldout_count_alpha_1
D_ref,0,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_ref,0,1,0.0,6.491002295661019e-07,489510,122248,0.0802945802945803,0.0767456318303776,0.021938264795407652,0.0208919573326353,0,0,0.0,477633,1138,1338,2113,7288,119511,183,260,497,1797
D_ref,0,2,6.491002295661019e-07,3.0787496143602766e-06,54203,13145,1.8289209084368023,1.9631038417649296,0.5011899710348136,0.5322936477748194,2,2,0.25,24425,2612,3408,5327,18431,5577,571,722,1310,4965
D_ref,0,3,3.0787496143602766e-06,7.08273384475433e-06,54584,13121,1.8505056426791733,1.9778218123618627,0.5062106111681078,0.5389070954957701,2,2,0.25,24259,2694,3419,5372,18840,5496,554,775,1337,4959
D_ref,0,4,7.08273384475433e-06,1.1972915672231466e-05,54298,13241,1.9798887620170171,2.0163129672985423,0.5385833732365833,0.5468620194849332,2,2,0.25,22732,2322,3157,5480,20607,5511,489,722,1311,5208
D_ref,0,5,1.1972915672231466e-05,1.7029464402185113e-05,54483,13036,2.1534790668648935,2.1416078551702977,0.5791347759851697,0.5755599877262965,3,3,0.5,21105,1825,2790,5129,23634,5106,427,640,1241,5622
D_ref,0,6,1.7029464402185113e-05,2.0696039428003132e-05,54341,13698,2.326125761395631,2.271572492334647,0.6172135220183655,0.6036647685793547,3,3,0.5,19294,1507,2292,4679,26569,5021,408,578,1212,6479
D_ref,0,7,2.0696039428003132e-05,2.189333099522628e-05,40124,11133,2.402626856744093,2.346178029282314,0.6318911374738311,0.6186113356687326,4,4,1.0,13781,989,1440,3122,20792,3961,285,412,889,5586
D_ref,0,8,2.189333099522628e-05,inf,68707,18803,2.7345976392507314,2.6584587565813966,0.708399435283159,0.6910599372440568,4,4,1.0,18764,1271,1937,4199,42536,5438,371,563,1234,11197
D_ref,1,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_ref,1,1,0.0,6.841665936008212e-07,491426,121822,0.08290770126122753,0.08663459802006206,0.022625990484833932,0.023723137036003348,0,0,0.0,479235,1072,1308,2189,7622,118616,316,377,568,1945
D_ref,1,2,6.841665936008212e-07,3.231493309385769e-06,54636,13964,1.8712204407350466,1.8009882555141794,0.5112014056665934,0.4950587224291034,2,2,0.25,24163,2543,3332,5363,19235,6348,703,904,1398,4611
D_ref,1,3,3.231493309385769e-06,7.247502168183928e-06,54607,13236,1.8856190598274947,1.8614385010577215,0.5146592927646638,0.5103505590812935,2,2,0.25,23895,2608,3325,5406,19373,5831,650,852,1328,4575
D_ref,1,4,7.247502168183928e-06,1.227680036208767e-05,54606,13507,1.9852946562648792,2.0020729991856077,0.5394462147016811,0.5450507144443621,2,2,0.25,22922,2227,3072,5502,20883,5572,573,825,1329,5208
D_ref,1,5,1.227680036208767e-05,1.7153687736026768e-05,54606,11821,2.1600373585320294,2.160900093054733,0.5804124088927957,0.5804923441333221,3,3,0.5,21126,1786,2719,5173,23802,4552,407,617,1077,5168
D_ref,1,6,1.7153687736026768e-05,2.0678426153608598e-05,54606,10694,2.3130974618173825,2.3489807368617917,0.6142914698018532,0.621002431269871,3,3,0.5,19483,1579,2321,4804,26419,3798,255,433,833,5375
D_ref,1,7,2.0678426153608598e-05,2.189333099522628e-05,42876,8758,2.3692042168112697,2.492578214204156,0.6240320925459465,0.6533455126741265,4,4,1.0,15036,1084,1570,3386,21800,2835,201,298,663,4761
D_ref,1,8,2.189333099522628e-05,inf,66337,21173,2.717518127138701,2.720493080810466,0.704177156036601,0.7062296320785907,4,4,1.0,18404,1220,1876,4048,40789,5798,422,624,1385,12944
D_ref,2,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_ref,2,1,0.0,6.058819508325541e-07,489839,120426,0.07563505559990119,0.07588892764021059,0.020580231463807497,0.020842675169813828,0,0,0.0,478806,952,1146,1935,7000,117625,291,349,494,1667
