operator_label,holdout_fold,bin_index,score_lower_exclusive,score_upper_inclusive,train_block_count,heldout_block_count,train_mean_action_index,heldout_mean_action_index,train_positive_rate,heldout_positive_rate,raw_median_action_index,monotone_action_index,monotone_alpha,train_count_alpha_0,train_count_alpha_0p125,train_count_alpha_0p25,train_count_alpha_0p5,train_count_alpha_1,heldout_count_alpha_0,heldout_count_alpha_0p125,heldout_count_alpha_0p25,heldout_count_alpha_0p5,heldout_count_alpha_1
D_ref,2,2,6.058819508325541e-07,3.0727994726476027e-06,54426,13611,1.876621467680888,1.7326427154507384,0.5126961378752802,0.47704062890309307,2,2,0.25,24022,2500,3306,5367,19231,6384,734,879,1365,4249
D_ref,2,3,3.0727994726476027e-06,7.0601988682028605e-06,54427,13834,1.902438128134933,1.7853838369235218,0.5197787862641704,0.4886511493422004,2,2,0.25,23614,2523,3349,5441,19500,6334,740,877,1327,4556
D_ref,2,4,7.0601988682028605e-06,1.1999733033007942e-05,54426,13965,2.0094072685848676,1.9027568922305764,0.5455848307794069,0.5202291442892947,2,2,0.25,22525,2207,3102,5415,21177,6072,628,828,1460,4977
D_ref,2,5,1.1999733033007942e-05,1.7189686332130805e-05,54412,15253,2.163952804528413,2.116304989182456,0.5809380283760935,0.5714941323018422,3,3,0.5,20991,1811,2702,5102,23806,6030,506,814,1466,6437
D_ref,2,6,1.7189686332130805e-05,2.0860989025095478e-05,54441,14536,2.325140978306791,2.3116400660429277,0.6171084293087931,0.6115162355531095,3,3,0.5,19339,1506,2307,4693,26596,5223,424,582,1214,7093
D_ref,2,7,2.0860989025095478e-05,2.189333099522628e-05,38824,8745,2.3900679991757676,2.3997712978845054,0.6296105501751494,0.6284734133790738,4,4,1.0,13405,975,1417,3125,19902,3042,207,295,615,4586
D_ref,2,8,2.189333099522628e-05,inf,70030,17480,2.685677566757104,2.848684210526316,0.6970584035413394,0.7351830663615561,4,4,1.0,19862,1353,2049,4437,42329,4340,289,451,996,11404
D_ref,3,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_ref,3,1,0.0,6.471875835245555e-07,489516,122161,0.07872469949909706,0.08207201971169195,0.021537600405298295,0.022224768952447998,0,0,0.0,477909,1064,1292,2115,7136,119196,250,300,484,1931
D_ref,3,2,6.471875835245555e-07,3.1149172912137146e-06,54390,14197,1.8293804008089722,1.9644995421567937,0.5009560580989152,0.5340564908079172,2,2,0.25,24546,2597,3362,5361,18524,5967,648,851,1384,5347
D_ref,3,3,3.1149172912137146e-06,7.183749403338879e-06,54380,14268,1.8509194556822361,1.976170451359686,0.5067488047076131,0.5363751051303617,2,2,0.25,24186,2637,3398,5416,18743,5961,654,836,1398,5419
D_ref,3,4,7.183749403338879e-06,1.2186017102067126e-05,54401,13540,1.9575559272807486,2.109158050221566,0.5333357842686716,0.5692762186115214,2,2,0.25,23139,2248,3149,5513,20352,5271,561,756,1323,5629
D_ref,3,5,1.2186017102067126e-05,1.7272298578063783e-05,54391,14288,2.1270798477689326,2.2737961926091823,0.5724292621941129,0.6082026875699889,3,3,0.5,21450,1806,2760,5132,23243,5140,458,699,1332,6659
D_ref,3,6,1.7272298578063783e-05,2.0867080820607953e-05,54235,14079,2.318189361113672,2.3508771929824563,0.6147690605697428,0.6233397258328006,3,3,0.5,19374,1519,2262,4636,26444,4919,384,593,1204,6979
D_ref,3,7,2.0867080820607953e-05,2.189333099522628e-05,36757,10562,2.3927415186223033,2.3920658966104904,0.6293767173599586,0.6298996402196554,4,4,1.0,12720,903,1301,2887,18946,3634,275,394,834,5425
D_ref,3,8,2.189333099522628e-05,inf,72180,15330,2.7345525076198394,2.6414220482713633,0.7086450540315877,0.6859752120026092,4,4,1.0,19687,1343,2045,4473,44632,4515,299,455,960,9101
D_ref,4,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_ref,4,1,0.0,6.841665936008212e-07,487974,125274,0.0847770577940628,0.0792502833788336,0.023142626451409295,0.021680476395740538,0,0,0.0,475572,1109,1365,2182,7746,122279,279,320,575,1821
D_ref,4,2,6.841665936008212e-07,3.2537157608203415e-06,55573,13594,1.8703866985766469,1.8071207885831986,0.5109315674878089,0.4963954685890834,2,2,0.25,24500,2679,3403,5506,19485,6255,591,858,1301,4589
D_ref,4,3,3.2537157608203415e-06,7.305337817342661e-06,54354,13593,1.9025094749236486,1.7906275288751563,0.5192442138573058,0.4921650849702053,2,2,0.25,23534,2597,3334,5412,19477,6236,667,865,1357,4468
D_ref,4,4,7.305337817342661e-06,1.2314997547946405e-05,54237,13672,2.0081862934896844,1.9184464599180808,0.5454025849512325,0.522674078408426,2,2,0.25,22424,2232,3122,5394,21065,5966,560,759,1397,4990
D_ref,4,5,1.2314997547946405e-05,1.734304419187538e-05,54473,13734,2.1781249426321296,2.0976408912188726,0.5849319846529474,0.564584243483326,3,3,0.5,20827,1783,2745,5096,24022,5522,458,674,1317,5763
D_ref,4,6,1.734304419187538e-05,2.0892875454592286e-05,54354,15185,2.327979541524083,2.320052683569312,0.6166243514736726,0.6177148501810997,3,3,0.5,19354,1484,2242,4529,26745,5364,441,665,1401,7314
D_ref,4,7,2.0892875454592286e-05,2.189333099522628e-05,35924,9224,2.4058011357309876,2.3551604509973982,0.632000890769402,0.622398091934085,4,4,1.0,12322,898,1257,2774,18673,3257,226,344,778,4619
D_ref,4,8,2.189333099522628e-05,inf,72786,14724,2.718599730717446,2.7164493344199947,0.7049982139422416,0.7030698179842434,4,4,1.0,20091,1381,2093,4575,44646,4111,261,407,858,9087
D_rep,0,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_rep,0,1,0.0,6.311258786695362e-07,489516,122374,0.07908832397715294,0.07723862912056483,0.021672427458959462,0.02118914148430222,0,0,0.0,477801,1106,1373,2081,7155,119588,193,308,497,1788
D_rep,0,2,6.311258786695362e-07,3.037714918718848e-06,54390,13420,1.824765581908439,1.9236959761549925,0.49998161426732857,0.5246646795827123,1,1,0.125,24463,2733,3451,5358,18385,5760,619,791,1385,4865
D_rep,0,3,3.037714918718848e-06,6.895896973446725e-06,54391,13289,1.850361273004725,1.954247874181654,0.5073081943703922,0.5343517194672285,2,2,0.25,24177,2621,3450,5450,18693,5552,636,849,1372,4880
D_rep,0,4,6.895896973446725e-06,1.1857519211844192e-05,54390,13518,1.981816510387939,1.9901612664595354,0.5379665379665379,0.5426838289687823,2,2,0.25,22858,2272,3069,5383,20808,5670,512,790,1373,5173
D_rep,0,5,1.1857519211844192e-05,1.701826295175124e-05,54391,13639,2.1612215256200473,2.1383532517046704,0.5799856593921788,0.5737224136666911,3,3,0.5,21062,1783,2667,5082,23797,5363,451,627,1332,5866
D_rep,0,6,1.701826295175124e-05,2.0758205209858716e-05,54390,13853,2.355892627321199,2.302678120262759,0.6254274682846112,0.6115642821049592,3,3,0.5,18978,1395,2269,4788,26960,4994,387,587,1202,6683
D_rep,0,7,2.0758205209858716e-05,2.189333099522628e-05,39744,9697,2.4286936392914655,2.359492626585542,0.6380837359098228,0.6215324327111478,4,4,1.0,13382,1002,1448,3020,20892,3438,232,358,744,4925
D_rep,0,8,2.189333099522628e-05,inf,69038,18635,2.7034676554940757,2.6506037027099545,0.7011645760305919,0.6896699758518916,4,4,1.0,19321,1310,1988,4320,42099,5389,394,573,1262,11017
D_rep,1,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_rep,1,1,0.0,6.506137424366898e-07,491455,121429,0.08132382415480563,0.08175147617126058,0.022274674181766388,0.022564626242495615,0,0,0.0,479425,1083,1375,2154,7418,118424,265,381,536,1823
D_rep,1,2,6.506137424366898e-07,3.0787496143602766e-06,54396,13701,1.8587579969115375,1.8097219181081672,0.5084748878594014,0.49594920078826366,2,2,0.25,24075,2662,3383,5423,18853,6210,696,863,1355,4577
D_rep,1,3,3.0787496143602766e-06,7.061749812464768e-06,54818,13613,1.8717939362982963,1.8545507970322486,0.5126965595242439,0.5085579960332035,2,2,0.25,24017,2696,3495,5518,19092,6077,613,852,1355,4716
D_rep,1,4,7.061749812464768e-06,1.1990668554062722e-05,54606,13567,1.9789583562245907,2.030883762069728,0.5381276782771124,0.5491265570870495,2,2,0.25,23005,2216,3115,5463,20807,5570,547,733,1328,5389
D_rep,1,5,1.1990668554062722e-05,1.7104164726333693e-05,54016,12890,2.1609152843601898,2.166020170674942,0.5797726599526066,0.5811481768813034,3,3,0.5,20938,1761,2585,5135,23597,4982,417,647,1167,5677
D_rep,1,6,1.7104164726333693e-05,2.0867080820607953e-05,54987,14566,2.3368978122101587,2.385555402993272,0.6208376525360539,0.6302347933543869,3,3,0.5,19399,1450,2319,4865,26954,5023,363,565,1205,7410
D_rep,1,7,2.0867080820607953e-05,2.189333099522628e-05,36023,10935,2.389806512505899,2.5102880658436213,0.6297087971573717,0.6547782350251486,4,4,1.0,12439,900,1374,2800,18510,3502,273,350,763,6047
D_rep,1,8,2.189333099522628e-05,inf,73399,14274,2.665036308396572,2.832072299285414,0.6924889984877178,0.7307692307692307,4,4,1.0,21113,1458,2203,4753,43872,3597,246,358,829,9244
D_rep,2,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_rep,2,1,0.0,5.747628790686576e-07,489839,120048,0.07346291332458216,0.07282087165133946,0.02011885537901229,0.01990870318539251,0,0,0.0,479036,948,1224,1935,6696,117402,256,310,454,1626
D_rep,2,2,5.747628790686576e-07,2.9130358143447665e-06,54426,13343,1.8568331312240474,1.7953983362062504,0.5083967221548524,0.49096904744060554,2,2,0.25,24119,2637,3402,5453,18815,6094,698,843,1260,4448
D_rep,2,3,2.9130358143447665e-06,6.821221859354409e-06,54427,13526,1.877138185091958,1.792547685938193,0.5152773439653113,0.4897234954901671,2,2,0.25,23745,2637,3548,5554,18943,6235,667,800,1317,4507
D_rep,2,4,6.821221859354409e-06,1.1679816452669911e-05,54426,13411,1.99592106713703,1.9327417791365298,0.5420938522029912,0.5257624338229812,2,2,0.25,22705,2217,3082,5439,20983,5797,563,774,1299,4978
D_rep,2,5,1.1679816452669911e-05,1.6932876860664692e-05,54427,14461,2.1688867657596416,2.092455570154208,0.5815863450125857,0.5640688749049166,3,3,0.5,20973,1800,2620,5130,23904,5829,475,732,1380,6045
D_rep,2,6,1.6932876860664692e-05,2.0740306354127824e-05,54426,14483,2.353930106934186,2.3071877373472347,0.6252342630360489,0.6115445694952704,3,3,0.5,19001,1396,2287,4823,26919,5219,407,592,1236,7029
D_rep,2,7,2.0740306354127824e-05,2.189333099522628e-05,39883,9876,2.416568462753554,2.4074524098825436,0.6355339367650378,0.6318347509113001,4,4,1.0,13526,1010,1476,3066,20805,3405,231,347,721,5172
D_rep,2,8,2.189333099522628e-05,inf,68971,18702,2.654941932116397,2.829750828788365,0.6901306346145482,0.7304031654368517,4,4,1.0,19990,1382,2074,4516,41009,4720,322,487,1066,12107
D_rep,3,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_rep,3,1,0.0,6.231988649574305e-07,489516,122150,0.07755824120151333,0.08016373311502252,0.021312888649196348,0.021751944330740892,0,0,0.0,478047,1036,1367,2068,6998,119244,249,298,489,1870
D_rep,3,2,6.231988649574305e-07,3.035832804698657e-06,54390,13596,1.81715388858246,1.953442188879082,0.49829012686155544,0.5314062959694028,1,1,0.125,24557,2731,3435,5434,18233,5740,631,822,1328,5075
D_rep,3,3,3.035832804698657e-06,6.9196249796732445e-06,54391,13600,1.8396977441120774,1.991985294117647,0.5055431964847126,0.5401470588235294,2,2,0.25,24233,2661,3542,5502,18453,5642,612,778,1349,5219
D_rep,3,4,6.9196249796732445e-06,1.187757334264461e-05,54390,13424,1.9617760617760618,2.077100715137068,0.5339216767788196,0.5603396901072706,2,2,0.25,23103,2247,3140,5426,20474,5371,531,706,1324,5492
D_rep,3,5,1.187757334264461e-05,1.7044550872924447e-05,54391,13798,2.134709786545568,2.2475721119002756,0.5734956150833778,0.6003768662124945,3,3,0.5,21422,1776,2647,5145,23401,5052,462,651,1284,6349
D_rep,3,6,1.7044550872924447e-05,2.0715625851153163e-05,54390,12728,2.347894833609119,2.329038340666248,0.6226144511858798,0.6219358893777498,3,3,0.5,19096,1430,2240,4704,26920,4489,323,574,1195,6147
D_rep,3,7,2.0715625851153163e-05,2.189333099522628e-05,41245,8993,2.4177233604073223,2.404203269209385,0.6352527579100496,0.6331591237629267,4,4,1.0,14043,1001,1487,3112,21602,3047,252,350,707,4637
D_rep,3,8,2.189333099522628e-05,inf,67537,20136,2.727423486385241,2.57419547079857,0.7068125620030502,0.6715832340087405,4,4,1.0,18526,1275,1908,4201,41627,6184,429,653,1381,11489
D_rep,4,0,-inf,0.0,0,0,nan,nan,nan,nan,0,0,0.0,0,0,0,0,0,0,0,0,0,0
D_rep,4,1,0.0,6.841665936008212e-07,488114,126185,0.08502931692186662,0.08636525736022507,0.0233142257751263,0.02381424099536395,0,0,0.0,475660,1074,1454,2182,7744,122831,349,404,663,1938
D_rep,4,2,6.841665936008212e-07,3.230296499623364e-06,55433,14102,1.8754171702776326,1.7415260246773507,0.5118972453231829,0.48213019429868104,2,2,0.25,24355,2702,3371,5504,19501,6574,729,968,1430,4401
D_rep,4,3,3.230296499623364e-06,7.24117899153498e-06,54354,14235,1.9056187217132134,1.7511064278187567,0.5197593553372337,0.4873902353354408,2,2,0.25,23564,2539,3294,5377,19580,6537,760,1054,1477,4407
D_rep,4,4,7.24117899153498e-06,1.2295967280806508e-05,54355,14011,2.0147180572164474,1.9091428163585753,0.5463710790175696,0.5212333166797516,2,2,0.25,22531,2126,3007,5394,21297,6081,627,830,1430,5043
D_rep,4,5,1.2295967280806508e-05,1.7341714965368737e-05,54355,12926,2.173065955293901,2.1691938728144824,0.5824487167693865,0.5820826241683429,3,3,0.5,20931,1765,2599,5086,23974,5011,391,609,1230,5685
D_rep,4,6,1.7341714965368737e-05,2.0867080820607953e-05,53374,12600,2.3396972308614683,2.415793650793651,0.6205455839922059,0.6409523809523809,3,3,0.5,18846,1407,2196,4620,26305,4224,300,527,1111,6438
D_rep,4,7,2.0867080820607953e-05,2.189333099522628e-05,37943,9015,2.4271143557441426,2.3789240155296727,0.6368236565374378,0.6301719356627843,4,4,1.0,12832,948,1357,2794,20012,3109,225,367,769,4545
D_rep,4,8,2.189333099522628e-05,inf,71747,15926,2.711960081954646,2.6033530076604294,0.7033882949809748,0.6776968479216375,4,4,1.0,19890,1391,2071,4538,43857,4820,313,490,1044,9259
