operator_label,holdout_fold,train_block_count,heldout_block_count,heldout_image_count,bin_count,raw_map,monotone_map,train_map_non_decreasing,heldout_mean_action_spearman,heldout_positive_rate_spearman,heldout_mean_action_monotonic_violations,heldout_positive_rate_monotonic_violations,block_fixed_ordinal_mae,block_calibrated_ordinal_mae,block_ordinal_mae_improvement,block_exact_action_accuracy,block_oracle_positive_fraction,block_predicted_positive_fraction,block_escalation_precision,block_escalation_recall,block_escalation_f1,image_ordinal_mae_improvement_mean,image_escalation_auroc_mean,image_escalation_ap_lift_mean
D_ref,0,870250,218425,240,9,0 0 2 2 2 3 3 4 4,0 0 2 2 2 3 3 4 4,True,1.0,1.0,0,0,1.4457777269085499,0.7663637404143299,0.67941398649422,0.6453748426233261,0.2724779672656518,0.44032047613597347,0.5922621832662694,0.9570871698366826,0.7317220427379523,0.6978022222222222,0.8552317158347444,0.33245133624077017
D_ref,1,873700,214975,240,9,0 0 2 2 2 3 3 4 4,0 0 2 2 2 3 3 4 4,True,1.0,1.0,0,0,1.4383207349691824,0.7400162809629026,0.6983044540062798,0.6550156994999419,0.2702546807768345,0.43332015350622166,0.5926593883181432,0.9502564632173225,0.730018313928503,0.7193050000000001,0.8616369300538227,0.32957565700611385
D_ref,2,870825,217850,240,9,0 0 2 2 2 3 3 4 4,0 0 2 2 2 3 3 4 4,True,1.0,1.0,0,0,1.436336929079642,0.7583245352306633,0.6780123938489786,0.6374982786320863,0.27074133578150106,0.4472067936653661,0.5796415667597307,0.9574439226191486,0.7221124644352802,0.6927852777777778,0.8608730735071244,0.3183686774368784
D_ref,3,870250,218425,240,9,0 0 2 2 2 3 3 4 4,0 0 2 2 2 3 3 4 4,True,1.0,1.0,0,0,1.45036053565297,0.7681492503147533,0.6822112853382167,0.6350051505093282,0.2760352523749571,0.4407187821906833,0.5981259868694424,0.9549698970029689,0.7355531851019118,0.7009683333333333,0.8574575243477808,0.32452374151068925
D_ref,4,869675,219000,240,9,0 0 2 2 2 3 3 4 4,0 0 2 2 2 3 3 4 4,True,0.9761904761904762,0.9761904761904762,1,1,1.4146255707762556,0.7477260273972602,0.6668995433789954,0.6446803652968036,0.25811415525114156,0.42797260273972604,0.5741309775302478,0.9519521644523856,0.7162718880821015,0.6871859722222223,0.858404191160082,0.311579392116495
D_rep,0,870250,218425,240,9,0 0 1 2 2 3 3 4 4,0 0 1 2 2 3 3 4 4,True,1.0,1.0,0,0,1.4401373469154173,0.7662813322650796,0.6738560146503377,0.6424264621723704,0.271246423257411,0.37830376559459766,0.6004163086492963,0.8373926105963171,0.6993755198127969,0.68944375,0.8542997319812923,0.33202365005555956
D_rep,1,873700,214975,240,9,0 0 2 2 2 3 3 4 4,0 0 2 2 2 3 3 4 4,True,1.0,1.0,0,0,1.4413722525875101,0.743035236655425,0.6983370159320851,0.6444237702058379,0.27058960344226074,0.4351482730550064,0.5925427062621598,0.9528966821385594,0.7307073743046218,0.7188693055555556,0.8624057857972546,0.32748792895475526
D_rep,2,870825,217850,240,9,0 0 2 2 2 3 3 4 4,0 0 2 2 2 3 3 4 4,True,0.9761904761904762,0.9761904761904762,1,1,1.4449759008492082,0.7600826256598577,0.6848932751893505,0.6413311911865963,0.2732614184071609,0.4489419325223778,0.5842416310504898,0.9598521753737611,0.7263620878143036,0.7034462499999999,0.8599688333969291,0.3143230925360658
D_rep,3,870250,218425,240,9,0 0 1 2 2 3 3 4 4,0 0 1 2 2 3 3 4 4,True,1.0,1.0,0,0,1.4492342909465492,0.7713128075998626,0.6779214833466866,0.6407874556483919,0.2754583953302049,0.3785235206592652,0.6081955514701436,0.8357571426197085,0.7040449155034092,0.6956097222222223,0.8587269032103316,0.32929047806993234
D_rep,4,869675,219000,240,9,0 0 2 2 2 3 3 4 4,0 0 2 2 2 3 3 4 4,True,0.9761904761904762,0.9761904761904762,1,1,1.4058995433789954,0.7426484018264841,0.6632511415525113,0.6476164383561643,0.25625114155251144,0.42381278538812783,0.5722566395517966,0.9464530729343004,0.7132555360092391,0.6801151388888889,0.8566419806838484,0.31422919712942926
