count,mean_policy_lift_vs_fixed,p10_policy_lift_vs_fixed,p05_policy_lift_vs_fixed,worst_policy_lift_vs_fixed,mean_policy_psnr_delta,p10_policy_psnr_delta,p05_policy_psnr_delta,worst_policy_psnr_delta,policy_severe_le_minus_0p2_count,policy_hard_le_minus_0p5_count,fixed_severe_le_minus_0p2_count,fixed_hard_le_minus_0p5_count,negative_lift_vs_fixed_count,mean_fixed_psnr_delta,mean_oracle_block16_lift_vs_fixed,mean_retention_vs_oracle,mean_selected_alpha,mean_frac_alpha_1,mean_frac_alpha_ge_0p5,operator_label,sort_metric,decile,metric_min,metric_max
120,0.00488394585054411,-0.319123487712092,-0.5158874520150611,-1.0802524397779578,0.02587773961663702,-0.3694814965083886,-0.5912939830587579,-1.2659528313503756,27,8,0,0,51,0.020993793766092908,0.35995177984437843,0.01356833366029093,0.22702888888888892,0.08197499999999999,0.2509355555555555,D_rep,selected_alpha_mean,5,0.196,0.2616
120,0.08251435422897707,-0.370384157274384,-0.49096863583826295,-0.7243691923061988,0.12314352813510432,-0.38250481453028157,-0.5794680038071351,-0.7909148953648213,26,9,0,0,45,0.04062917390612724,0.48927960662195963,0.16864458095579596,0.2986399305555556,0.14234972222222222,0.3376044444444442,D_rep,selected_alpha_mean,6,0.2629166666666667,0.3336
120,0.1529193680103718,-0.31535057177239945,-0.42464382490397157,-0.8827647682580491,0.21088764356127848,-0.32335043589196355,-0.47965878327538647,-1.0146451540811583,22,6,0,0,35,0.05796827555090669,0.6106993658378158,0.250400404134336,0.38249572916666674,0.21447250000000004,0.4447552777777778,D_rep,selected_alpha_mean,7,0.334,0.4256
120,0.29599104007298743,-0.17311691216742736,-0.27935749835407614,-0.457696015656218,0.36913240431597505,-0.18961256581038696,-0.2855070010463365,-0.5383481154779304,11,2,0,0,28,0.07314136424298766,0.6893234513802132,0.42939354446788774,0.48758284722222217,0.3106461111111111,0.5648252777777775,D_rep,selected_alpha_mean,8,0.4268,0.5590625
120,0.3053326128774082,-0.25300508110864894,-0.46628529949413017,-0.8189487455467983,0.37789180788378113,-0.20712194216977192,-0.5382739464273281,-0.92707951222026,12,7,0,0,26,0.07255919500637302,0.7247375893875907,0.4213009195996261,0.6684178472222224,0.5150113888888889,0.7560480555555554,D_rep,selected_alpha_mean,9,0.5592,0.8976
120,-0.002800606625186634,-0.032034402196543965,-0.049390362119200046,-0.07154726630715658,-0.001587264802031226,-0.04184600644095582,-0.056015835756498336,-0.11116693207161887,0,0,0,0,64,0.001213341823155408,0.04345058555249555,-0.06445498005551696,0.035242916666666686,0.0,0.013842499999999999,D_ref,frac_alpha_1,0,0.0,0.0
120,-0.002840669055405698,-0.017721451176382883,-0.02767302207578872,-0.1348160143180337,-0.0022100013455512565,-0.02732186717864593,-0.03611168551835142,-0.19072453888210106,0,0,0,0,69,0.0006306677098544415,0.034208995131634064,-0.08303865823813246,0.03465638888888888,0.0,0.012514166666666668,D_ref,frac_alpha_1,1,0.0,0.0
120,-0.001748652827542981,-0.0485611867123815,-0.07675471669301608,-0.1533542574631781,0.002594027018559686,-0.07067222300211143,-0.09936165564410863,-0.20716619757307342,1,0,0,0,66,0.0043426798461026666,0.0900592611416139,-0.019416690803106942,0.06171972222222225,0.0014755555555555553,0.03666972222222222,D_ref,frac_alpha_1,2,0.0,0.0048
120,-0.02422745415800988,-0.2479818063224549,-0.2870249361387739,-0.4249736741094594,-0.018811554567612958,-0.29458097514986437,-0.3552394524116796,-0.5348458090601298,21,1,0,0,59,0.005415899590396922,0.1960840562111206,-0.12355647178128834,0.11378555555555557,0.013585277777777778,0.10386194444444441,D_ref,frac_alpha_1,3,0.0048,0.025833333333333333
120,0.005993360949934345,-0.2743774661749477,-0.37989403023731544,-0.5172923498573567,0.02685930271438218,-0.3287592490186178,-0.4358021395579371,-0.5706510977046548,21,3,0,0,54,0.020865941764447834,0.2987166795734834,0.020063697007116726,0.17731298611111115,0.042104444444444465,0.19249416666666666,D_ref,frac_alpha_1,4,0.025833333333333333,0.0576
120,0.009534674940799685,-0.35582022680822123,-0.4756567246828244,-0.6425628316902134,0.03200015766485726,-0.4010477320453042,-0.5766978649080979,-0.7353099378629295,29,8,0,0,55,0.022465482724057573,0.37195769924556266,0.025633761473787885,0.22288666666666665,0.0794233333333333,0.24564249999999993,D_ref,frac_alpha_1,5,0.0576,0.10333333333333333
120,0.05461707909341961,-0.4647630667749631,-0.668510364804547,-1.0642238998453593,0.08907332118626841,-0.5206299712954929,-0.7965882218145218,-1.2449352329866628,27,13,0,0,49,0.0344562420928488,0.4881592125087587,0.11188374139807851,0.2947870833333333,0.13683555555555552,0.3341819444444445,D_ref,frac_alpha_1,6,0.104,0.1744
120,0.15956642004758428,-0.299865196080276,-0.3852205527420857,-0.6088446028282419,0.21695899271835414,-0.341510324190461,-0.417107807246412,-0.6689805276452603,22,3,0,0,33,0.057392572670769845,0.5924214605091489,0.2693461170539754,0.38411312499999994,0.21263055555555552,0.4471913888888888,D_ref,frac_alpha_1,7,0.17583333333333334,0.2575
120,0.3067104169217592,-0.20835016613540844,-0.2960346001420081,-0.735801763113173,0.38273923099910323,-0.21503537599940473,-0.30048370542194897,-0.7751183658230616,14,4,0,0,30,0.07602881407734403,0.710830399316092,0.43148185167214725,0.4830781250000001,0.32043805555555566,0.5455705555555557,D_ref,frac_alpha_1,8,0.2576,0.3984
120,0.3236261511360905,-0.25533779315116123,-0.47540864894126394,-0.8533604208251404,0.3977046046805548,-0.20773510472520726,-0.5194007357062421,-0.9623858243408279,13,7,0,0,25,0.07407845354446424,0.7459365309968843,0.4338521277454935,0.6688222916666665,0.5317122222222223,0.738493611111111,D_ref,frac_alpha_1,9,0.39916666666666667,0.8352
120,-0.005678079641138082,-0.036016916367157134,-0.061014107113759763,-0.12313773149357132,-0.005934324557664183,-0.046741363394001915,-0.08536309027991536,-0.18081089240695292,0,0,0,0,66,-0.00025624491652610125,0.04060847716434728,-0.13982498329494666,0.0327053472222222,0.0,0.012883333333333325,D_rep,frac_alpha_1,0,0.0,0.0
120,-0.001198042476614051,-0.014714758554099915,-0.024467342483837126,-0.059199518391956474,-8.256423990011067e-05,-0.02100623447578087,-0.03920316302415827,-0.09261902072376671,0,0,0,0,61,0.0011154782367139404,0.03545974902568408,-0.03378598296751309,0.030695173611111095,0.0,0.010405000000000003,D_rep,frac_alpha_1,1,0.0,0.0
120,-0.0027108215075219394,-0.0538279450657285,-0.08231570545657832,-0.20349205037295803,0.0013219540991345664,-0.0758383940259904,-0.10015268243247455,-0.2731843749666041,2,0,0,0,64,0.004032775606656506,0.09003034384866097,-0.030110087239906255,0.06198288194444445,0.001580555555555555,0.04167861111111112,D_rep,frac_alpha_1,2,0.0,0.0048
120,-0.021029923985200406,-0.24797862478547258,-0.29713650859846014,-0.4002099697087331,-0.016160611874946263,-0.3096988166661916,-0.3521990041085687,-0.5074130080293386,21,1,0,0,57,0.004869312110254142,0.18884596784073976,-0.11136019596105784,0.10578815972222225,0.012844166666666663,0.09981777777777777,D_rep,frac_alpha_1,3,0.0048,0.023333333333333334
120,0.007481868365308338,-0.2803352855052843,-0.4117376549084284,-0.5653966519935807,0.029959404262816788,-0.32557270223607876,-0.48622586146904895,-0.6526021367864843,22,6,0,0,53,0.02247753589750845,0.30624062041449407,0.024431338844538956,0.17202475694444444,0.04184527777777779,0.1869486111111111,D_rep,frac_alpha_1,4,0.024,0.06
120,0.03308595617669354,-0.2672398316462171,-0.35729527198218386,-0.563226560905008,0.062035369194552784,-0.2972425264080598,-0.4415901957845524,-0.6529080223485622,25,4,0,0,51,0.028949413017859242,0.38403487868554487,0.0861535188937486,0.2241607986111111,0.08495583333333331,0.25144833333333333,D_rep,frac_alpha_1,5,0.06,0.11
120,0.046727730290165595,-0.4914330894539461,-0.6963989625281012,-1.0802524397779578,0.0784128972464222,-0.5797952752962878,-0.7924608825577621,-1.2659528313503756,30,14,0,0,47,0.0316851669562566,0.4700081209260136,0.09941898492754182,0.29361145833333335,0.1400425,0.3377388888888888,D_rep,frac_alpha_1,6,0.1104,0.1728
120,0.1602410550302951,-0.3390899018235743,-0.39188846939921335,-0.8827647682580491,0.21834062924610412,-0.3536077267716642,-0.439328096170949,-1.0146451540811583,20,5,0,0,36,0.058099574215809024,0.6032610531281485,0.2656247311166227,0.37967322916666674,0.21571138888888888,0.4405158333333333,D_rep,frac_alpha_1,7,0.1728,0.2576
120,0.2979111725353741,-0.20774316740000917,-0.3451871001369778,-0.746711993755774,0.3734535782260272,-0.20755805030157146,-0.3735401103640228,-0.7509276712962247,14,4,0,0,27,0.07554240569065304,0.7089187104062401,0.4202331919898947,0.4809350694444448,0.3180580555555555,0.5500591666666669,D_rep,frac_alpha_1,8,0.2576,0.3908333333333333
120,0.3112233323226492,-0.25300508110864894,-0.46628529949413017,-0.8189487455467983,0.3837437011945386,-0.20644596862175457,-0.5382739464273281,-0.92707951222026,12,7,0,0,26,0.07252036887188927,0.7277242131867484,0.42766658946221314,0.6626259375,0.5210866666666667,0.7403169444444444,D_rep,frac_alpha_1,9,0.3936,0.8336
120,-0.0008007212118399091,-0.003538681825269662,-0.008532691433847717,-0.022961087919057377,-0.0007562211579548617,-0.005904015864312839,-0.01100889668668259,-0.03605939505755629,0,0,0,0,71,4.450005388504744e-05,0.01058671594001345,-0.07563452314929041,0.01351472222222222,0.0,0.0003833333333333333,D_ref,frac_alpha_ge_0p5,0,0.0,0.0025
120,-0.004606642780470604,-0.030935237335098266,-0.04574491618221295,-0.07780996910133098,-0.005027722656357477,-0.045749288914203136,-0.06971419025101327,-0.11168947551205122,0,0,0,0,70,-0.0004210798758868724,0.048546185765222946,-0.09489196129123427,0.03607138888888891,0.00017194444444444446,0.008310555555555555,D_ref,frac_alpha_ge_0p5,1,0.0025,0.018333333333333333
120,-0.003684384335160799,-0.06843361285743156,-0.11740364065923074,-0.37534806223874995,0.0023956312500479507,-0.09417776423946975,-0.14692121507900247,-0.4473622963047674,5,0,0,0,60,0.00608001558520875,0.12355735797987372,-0.029819222387071024,0.06567298611111111,0.004040833333333334,0.038814166666666663,D_ref,frac_alpha_ge_0p5,2,0.018333333333333333,0.06666666666666667
120,-0.018673251402770614,-0.25698627592212586,-0.28739174286876656,-0.4709241622059466,-0.012071652609360495,-0.27545382352387476,-0.3639997997128752,-0.5451977026096131,18,2,0,0,57,0.00660159879341012,0.19265885990885515,-0.0969239172888531,0.11530187499999997,0.02119833333333333,0.09722361111111112,D_ref,frac_alpha_ge_0p5,3,0.0672,0.12916666666666668
120,0.009716218931256885,-0.24330413291448633,-0.42963991370890503,-0.7762511205159441,0.029270307439056578,-0.2831312728634224,-0.4943412409948518,-0.9062358178631342,24,6,0,0,57,0.019554088507799695,0.3129330545310573,0.031048873842416638,0.1673453472222223,0.050278055555555576,0.1683666666666666,D_ref,frac_alpha_ge_0p5,4,0.12916666666666668,0.2075
120,0.021164776080768572,-0.30228307200167637,-0.49356241099206455,-1.0642238998453593,0.044238292171589026,-0.3639653409310675,-0.5841702702216004,-1.2449352329866628,22,8,0,0,51,0.023073516090820454,0.35471421655325563,0.059667121003567,0.23061381944444442,0.08528888888888889,0.2488205555555556,D_ref,frac_alpha_ge_0p5,5,0.208,0.296
120,0.05106401565461756,-0.39680139622395527,-0.5072996671826637,-0.8798857257816692,0.08676439726896792,-0.4901483269157147,-0.6058134973528593,-1.0136951848809161,33,11,0,0,48,0.035700381614350366,0.4952281016452904,0.10311211234776094,0.30013180555555574,0.13899527777777776,0.33867916666666686,D_ref,frac_alpha_ge_0p5,6,0.2975,0.3825
120,0.18604564752456249,-0.2851099955821141,-0.36729584264114656,-0.7035593376142799,0.2481871434867549,-0.3054960013948133,-0.3992540408846963,-0.7751183658230616,21,3,0,0,38,0.062141495962192414,0.6343059222245127,0.29330586552321614,0.3881199305555556,0.22140194444444436,0.4415311111111112,D_ref,frac_alpha_ge_0p5,7,0.39,0.5008
120,0.2806972044791104,-0.19379510321963805,-0.2743610399709778,-0.7174082760916676,0.35183218823279133,-0.18851964110031857,-0.30016871659084415,-0.8208356653436084,11,3,0,0,22,0.07113498375368087,0.6583029338138701,0.4263951899058,0.4916414583333331,0.3110261111111112,0.5668480555555557,D_ref,frac_alpha_ge_0p5,8,0.5008,0.6416666666666667
120,0.30750785748336845,-0.2456644457077154,-0.4240681321800586,-0.8533604208251404,0.38048845284134936,-0.21316977903074344,-0.44390909731607553,-0.9623858243408279,14,6,0,0,30,0.07298059535798093,0.7409915318248427,0.41499510355545854,0.6679915277777776,0.505803611111111,0.7614852777777777,D_ref,frac_alpha_ge_0p5,9,0.6432,0.9808
120,-0.0006279669582927324,-0.004165329353269698,-0.006552551520566397,-0.023459851194687076,-0.00045670215929109287,-0.007636963153249354,-0.010436207249312445,-0.038462681901641815,0,0,0,0,67,0.00017126479900163953,0.01014850221604672,-0.06187779683388123,0.012489930555555554,0.0,0.00029194444444444445,D_rep,frac_alpha_ge_0p5,0,0.0,0.0016666666666666668
120,-0.004955092973758409,-0.032962949639026816,-0.04629980205653901,-0.11537905659132264,-0.005911191092601757,-0.05302388083909761,-0.06445470765282017,-0.16170628548713495,0,0,0,0,65,-0.0009560981188433478,0.04548363370818524,-0.10894232869672174,0.03275777777777776,0.00025527777777777777,0.008156111111111112,D_rep,frac_alpha_ge_0p5,1,0.0016666666666666668,0.0176
120,-0.0004268596521704637,-0.07217888131900169,-0.08915193575410675,-0.37855950281548445,0.007230028361802798,-0.0847340376402876,-0.12645121081090202,-0.45188326601402906,5,0,0,0,57,0.007656888013973262,0.12782119431993563,-0.003339506053292201,0.06210663194444442,0.003982222222222222,0.038418333333333346,D_rep,frac_alpha_ge_0p5,2,0.0176,0.06666666666666667
120,-0.021355019738556535,-0.23514341692918989,-0.2964093182834205,-0.4626348628729531,-0.015505875352032383,-0.27589978256137326,-0.3458130127585086,-0.5361020701609149,19,2,0,0,57,0.005849144386524152,0.19145254037764833,-0.11154210697038987,0.1112279166666666,0.019677777777777787,0.09795194444444442,D_rep,frac_alpha_ge_0p5,3,0.0672,0.12833333333333333
120,0.005979453859780974,-0.2741753524005013,-0.4405548531404115,-0.7574229750490602,0.025053125930038847,-0.3253804268429505,-0.5086902410903462,-0.8845217260144125,25,7,0,0,57,0.019073672070257876,0.3165391581720733,0.018890092127339563,0.16468624999999995,0.051840555555555556,0.1695055555555554,D_rep,frac_alpha_ge_0p5,4,0.12916666666666668,0.20833333333333334
120,0.017463016385815332,-0.31633200739064266,-0.5158874520150611,-1.0802524397779578,0.04064318206148165,-0.366870832990012,-0.5912939830587579,-1.2659528313503756,25,9,0,0,50,0.02318016567566632,0.35758568482113967,0.048835893401465824,0.22692253472222224,0.0856305555555556,0.2500127777777777,D_rep,frac_alpha_ge_0p5,5,0.2096,0.2975
120,0.06184145855221145,-0.38020459125922557,-0.5879596953910898,-0.8827647682580491,0.10031734177890504,-0.42448394858329763,-0.6559648105140599,-1.0146451540811583,29,11,0,0,46,0.0384758832266936,0.49456544849894024,0.12504201160818448,0.2980326041666668,0.14334388888888885,0.3392213888888888,D_rep,frac_alpha_ge_0p5,6,0.2976,0.3792
120,0.20233712154822656,-0.24342952749637875,-0.3676362267583265,-0.6799557760672101,0.26743815539454124,-0.2585113994288612,-0.388618909451991,-0.7498985389252724,19,3,0,0,35,0.06510103384631473,0.6376585734007172,0.3173126340466749,0.38554,0.2245016666666667,0.44059972222222216,D_rep,frac_alpha_ge_0p5,7,0.3808,0.5
120,0.256057758928916,-0.20671577471644545,-0.36249907859695724,-0.698326784888053,0.32266496836054587,-0.1944790253981132,-0.4341097912023404,-0.8003366069639455,12,4,0,0,26,0.0666072094316298,0.6358069473703712,0.40272878424487685,0.4856986458333335,0.3042880555555555,0.5667252777777779,D_rep,frac_alpha_ge_0p5,8,0.5016666666666667,0.6425
120,0.3097403771578392,-0.2494156475213906,-0.35818078118410596,-0.8189487455467983,0.38361699951369543,-0.20178918803158083,-0.3685715861266793,-0.92707951222026,12,5,0,0,28,0.0738766223558561,0.7380704517415645,0.41966234581938644,0.6647405208333332,0.5026044444444444,0.7609294444444445,D_rep,frac_alpha_ge_0p5,9,0.6448,0.9808
120,-0.0018415095372608548,-0.005719717169534988,-0.010471696472979275,-0.029576193079734026,-0.002651716718894696,-0.00990389154249982,-0.017010984947958007,-0.04209201734826706,0,0,0,0,81,-0.0008102071816338412,0.005632539334955755,-0.3269412653423255,0.017717847222222218,0.00010666666666666667,0.003382222222222222,D_ref,oracle_block16_lift_vs_fixed,0,0.0,0.015906572755582715
120,-0.015979131742274846,-0.06369839410260666,-0.07933243555134126,-0.15759486386279065,-0.020148740626004122,-0.09110113404441264,-0.10543260965002439,-0.19888184960176147,0,0,0,0,74,-0.004169608883729274,0.031656373734731395,-0.5047682301255985,0.06318236111111114,0.009539166666666665,0.04593666666666664,D_ref,oracle_block16_lift_vs_fixed,1,0.016067554994158684,0.048198640379972346
120,-0.05712606723983713,-0.21507303122095747,-0.27376331115605734,-0.35349456568843607,-0.06883692133632456,-0.2802170810224389,-0.33680735966686726,-0.43850819404373453,20,0,0,0,78,-0.011710854096487438,0.07095456683034247,-0.805107687802953,0.1101578472222222,0.0314625,0.09444972222222217,D_ref,oracle_block16_lift_vs_fixed,2,0.04832128133771363,0.09991288892243944
120,-0.1284715751900164,-0.45616798597382413,-0.520935039028822,-0.7762511205159441,-0.14522408852835036,-0.5383429350255838,-0.6071948712994601,-0.9062358178631342,38,15,0,0,77,-0.016752513338333972,0.13291561586372985,-0.9665649469038337,0.16130354166666672,0.05660166666666664,0.15977583333333337,D_ref,oracle_block16_lift_vs_fixed,3,0.1006133900463837,0.17102347184034983
120,-0.06838070222351572,-0.36769569028825444,-0.5153731425508035,-0.931274319014797,-0.06609718970874583,-0.4139413535707547,-0.5841702702216004,-1.0955691767855527,25,10,0,0,59,0.002283512514769903,0.21222223783709518,-0.3222127092826423,0.20808597222222222,0.0871425,0.21616277777777768,D_ref,oracle_block16_lift_vs_fixed,4,0.1719184117215491,0.25468607170217084
120,-0.01335420551821113,-0.3312542593551058,-0.43801308001113914,-1.0642238998453593,0.0046789261869042715,-0.3811633374121165,-0.48545075859242565,-1.2449352329866628,23,6,0,0,39,0.0180331317051154,0.3095939317498442,-0.04313458420432315,0.2397111111111111,0.10197805555555559,0.26227361111111125,D_ref,oracle_block16_lift_vs_fixed,5,0.2552705968927853,0.37529763989800813
120,0.016309464582723622,-0.27076149204475825,-0.4305564242516329,-0.8533604208251404,0.04615734896150041,-0.2864701080196156,-0.4917853811334531,-0.9623858243408279,23,5,0,0,48,0.02984788437877679,0.442159731309556,0.03688591119417287,0.33932499999999993,0.18782527777777772,0.37684694444444455,D_ref,oracle_block16_lift_vs_fixed,6,0.3765400039984854,0.5139881735449805
120,0.14650978123999503,-0.23567759327926224,-0.3316477487964626,-0.6088446028282419,0.2033725714706543,-0.20404331573875467,-0.3378053389649637,-0.6124525315092413,13,2,0,0,31,0.05686279023065926,0.5862446262461017,0.24991236538600042,0.38069631944444454,0.21778361111111105,0.4327852777777778,D_ref,oracle_block16_lift_vs_fixed,7,0.515038107641395,0.6586097527883297
120,0.3238884317435398,-0.0392499795969769,-0.208063000371914,-0.735801763113173,0.4103323864211356,-0.0009028989893401689,-0.18817903603161418,-0.7383541300501051,6,1,0,0,15,0.08644395467759587,0.7403046770804756,0.4375069370368589,0.45128840277777793,0.2916616666666666,0.508988888888889,D_ref,oracle_block16_lift_vs_fixed,8,0.6620907580159994,0.8344750425023761
120,0.6268762343083,0.2799939715034078,0.17001342827354726,-0.2548864903138863,0.7637382401450092,0.3918958021418263,0.2483831676422792,-0.1972619614403328,0,0,0,0,2,0.13686200583670907,1.0401405801999615,0.6026841431259093,0.5049364583333332,0.35410388888888894,0.5698605555555557,D_ref,oracle_block16_lift_vs_fixed,9,0.8379293519507982,1.7928494638327876
120,-0.0018290427175889393,-0.006424372851085281,-0.011397980785125482,-0.025212591495623826,-0.002735448124939814,-0.010482010746747506,-0.016890728174296755,-0.03417177377475866,0,0,0,0,78,-0.0009064054073508743,0.005101750199929504,-0.35851279382793244,0.01577413194444444,0.00012,0.0037133333333333332,D_rep,oracle_block16_lift_vs_fixed,0,0.0,0.014636912011191328
120,-0.016673387973949055,-0.0601146207137198,-0.09497506092472215,-0.17861180820624867,-0.021262563850010352,-0.08668242161413388,-0.1259756856692867,-0.2172093743693111,1,0,0,0,70,-0.004589175876061298,0.0312452425562508,-0.5336296539843454,0.060128784722222196,0.01142388888888889,0.045640000000000014,D_rep,oracle_block16_lift_vs_fixed,1,0.01508700763405102,0.046970014469259525
120,-0.05206272934336296,-0.2068493503260136,-0.2635792715352997,-0.4041903018446291,-0.06259515952339129,-0.2693482639432986,-0.3196965732673794,-0.4727671652095822,17,0,0,0,76,-0.010532430180028326,0.06922638490924446,-0.7520648292066242,0.10556920138888891,0.030031944444444438,0.0931475,D_rep,oracle_block16_lift_vs_fixed,2,0.047139398880631234,0.098806027707802
120,-0.12447651645534087,-0.4314881660055732,-0.539942722156217,-0.7574229750490602,-0.14059629710604737,-0.512066340795645,-0.6217455220362502,-0.8845217260144125,39,14,0,0,76,-0.016119780650706517,0.1342052826869251,-0.9275083213059536,0.15746333333333348,0.05074472222222219,0.1632038888888888,D_rep,oracle_block16_lift_vs_fixed,3,0.09905500547364454,0.17150675317649444
120,-0.09459669305999704,-0.4578805416298408,-0.5672915183486285,-1.0802524397779578,-0.09656555851269075,-0.5287128439556703,-0.6534586648866529,-1.2659528313503756,30,13,0,0,61,-0.001968865452693702,0.2125035228059897,-0.4451535288022562,0.19632020833333336,0.08017805555555554,0.20643250000000013,D_rep,oracle_block16_lift_vs_fixed,4,0.17158072352245313,0.2535011493497237
