count,mean_policy_lift_vs_fixed,p10_policy_lift_vs_fixed,p05_policy_lift_vs_fixed,worst_policy_lift_vs_fixed,mean_policy_psnr_delta,p10_policy_psnr_delta,p05_policy_psnr_delta,worst_policy_psnr_delta,policy_severe_le_minus_0p2_count,policy_hard_le_minus_0p5_count,fixed_severe_le_minus_0p2_count,fixed_hard_le_minus_0p5_count,negative_lift_vs_fixed_count,mean_fixed_psnr_delta,mean_oracle_block16_lift_vs_fixed,mean_retention_vs_oracle,mean_selected_alpha,mean_frac_alpha_1,mean_frac_alpha_ge_0p5,operator_label,sort_metric,decile,metric_min,metric_max
120,0.0012742355243818319,-0.005142938047242041,-0.009819512179337053,-0.02644000771614685,0.0018701214434943955,-0.008013504800508997,-0.015668117847610574,-0.04162209926795413,0,0,0,0,69,0.0005958859191125635,0.014584536059559857,0.08736894469444555,0.010996458333333329,9.722222222222223e-05,0.0011791666666666665,D_ref,selected_alpha_mean,0,0.0,0.023125
120,-0.005817182243671197,-0.03366510982922648,-0.06497713718110347,-0.3169368106611543,-0.005422668983746259,-0.04891053825514078,-0.10128374956299524,-0.3737884123089046,3,0,0,0,70,0.0003945132599249372,0.05603440015402373,-0.10381448231231713,0.034494583333333335,0.001184166666666667,0.010116944444444448,D_ref,selected_alpha_mean,1,0.023125,0.04666666666666667
120,-0.0003781974641965095,-0.057437111239534745,-0.07193060266203731,-0.37534806223874995,0.0055766907862146555,-0.07094201795024872,-0.0999550936064157,-0.4473622963047674,2,0,0,0,60,0.005954888250411165,0.11285881841559832,-0.003351067019006097,0.06726062499999999,0.0037883333333333332,0.03796472222222222,D_ref,selected_alpha_mean,2,0.0476,0.0888
120,-0.016363252328230025,-0.2388220472974183,-0.28739174286876656,-0.5172923498573567,-0.009153141689609996,-0.2699467133272158,-0.3639997997128752,-0.5706510977046548,19,3,0,0,57,0.007210110638620026,0.19527379745369625,-0.08379645677813029,0.1152077083333334,0.020790277777777786,0.09881138888888892,D_ref,selected_alpha_mean,3,0.08958333333333333,0.14104166666666668
120,0.0029807781144905714,-0.25680371102191085,-0.3844358243108836,-0.7762511205159441,0.020796980465605023,-0.2899371621272607,-0.4358780316137651,-0.9062358178631342,23,4,0,0,60,0.017816202351114453,0.2970642658493112,0.010034118731744734,0.1679656944444445,0.04703861111111114,0.16756888888888885,D_ref,selected_alpha_mean,4,0.142,0.19666666666666666
120,0.012675620557947138,-0.3433582873298846,-0.5173577170485377,-1.0642238998453593,0.03483113392797099,-0.3869276674133672,-0.5955336188048971,-1.2449352329866628,25,10,0,0,49,0.022155513370023854,0.3642264710058551,0.03480148085596824,0.2298575694444444,0.07909388888888895,0.2522344444444445,D_ref,selected_alpha_mean,5,0.1968,0.2652083333333333
120,0.08640726680870804,-0.30472678780899826,-0.4139452490144105,-0.729974303691769,0.12604181678386958,-0.366223498983053,-0.4963758616241993,-0.8000693456246353,25,6,0,0,47,0.03963454997516154,0.4865235487417795,0.17760140702781968,0.30015055555555564,0.13942888888888888,0.3357930555555555,D_ref,selected_alpha_mean,6,0.265625,0.3324
120,0.12761769329460415,-0.34169402900593226,-0.5703981027147449,-0.8798857257816692,0.18217452752144192,-0.38799203774164465,-0.613116068520613,-1.0136951848809161,26,7,0,0,39,0.054556834226837776,0.6080571340741301,0.20987779954086666,0.3846602083333333,0.20931749999999996,0.44510833333333333,D_ref,selected_alpha_mean,7,0.3325,0.426
120,0.2921841099273518,-0.19379510321963805,-0.24936574907737885,-0.5160902648520036,0.3664124316154528,-0.18851964110031857,-0.25098732481663966,-0.5940180718546273,11,2,0,0,26,0.07422832168810099,0.6913918278005288,0.4226027820676655,0.49101652777777754,0.31254638888888897,0.565502777777778,D_ref,selected_alpha_mean,8,0.4284,0.5624
120,0.3278496482320567,-0.2607675700669411,-0.47540864894126394,-0.8533604208251404,0.4021929243961912,-0.2165557694418197,-0.5194007357062421,-0.9623858243408279,14,7,0,0,27,0.07434327616413447,0.7458100806323116,0.43958865232030614,0.6747949305555553,0.5249197222222223,0.7561827777777774,D_ref,selected_alpha_mean,9,0.5636,0.902
120,0.0018861423140252556,-0.003836102010446041,-0.006552551520566397,-0.03283435718097394,0.002675008316466728,-0.006679956992288538,-0.01021702567448024,-0.048313037602127906,0,0,0,0,62,0.0007888660024414721,0.014637387015533587,0.1288578563936057,0.009812951388888887,0.000125,0.0011108333333333332,D_rep,selected_alpha_mean,0,0.0,0.020416666666666666
120,-0.006842606422083482,-0.03430887249820884,-0.08000396995004558,-0.36741617647910374,-0.006845419591638447,-0.05515030311816389,-0.12421946759477968,-0.4367121139071841,3,0,0,0,68,-2.8131695549641716e-06,0.054549312480058273,-0.1254389122609923,0.031094062499999995,0.001060277777777778,0.009953888888888894,D_rep,selected_alpha_mean,1,0.020416666666666666,0.0436
120,0.00020884667419066952,-0.05364433903042141,-0.07373481151391274,-0.37855950281548445,0.00595235942417854,-0.0758383940259904,-0.09723110848711443,-0.45188326601402906,2,0,0,0,59,0.0057435127499878705,0.10979348973822477,0.0019021772118603061,0.0640417013888889,0.003564999999999999,0.03805166666666664,D_rep,selected_alpha_mean,2,0.044375,0.0856
120,-0.0011857002047881574,-0.1831547899143075,-0.2759430850198885,-0.4626348628729531,0.010071863438406936,-0.23542436367193104,-0.3233237342896476,-0.5361020701609149,15,2,0,0,53,0.011257563643195094,0.1983500897335296,-0.005977815318264127,0.11069968750000005,0.019922777777777772,0.10007833333333334,D_rep,selected_alpha_mean,3,0.08583333333333333,0.13479166666666667
120,-0.009653756291621374,-0.2973136553588006,-0.4405548531404115,-0.7574229750490602,0.006303097696895766,-0.3415540477303544,-0.5086902410903462,-0.8845217260144125,28,7,0,0,61,0.01595685398851714,0.303810062587317,-0.03177563050218859,0.1643891666666667,0.04699666666666667,0.16844916666666662,D_rep,selected_alpha_mean,4,0.13625,0.19552083333333334
