alpha_tolerance_agreement_fraction,alpha_tolerance_stable_region_count,baseline_psnr_db,best_global_minus_keep_psnr_db,bidirectional_scene,cross_observation_transfer_psnr_db,cross_observation_transfer_raw_psnr_db,dataset,direction_and_strength_stable_scene,edge_local_minus_global_psnr_db,global_endpoint_selection_fraction,hazy_psnr_db,interior_local_minus_global_psnr_db,joint_useful_bidirectional_scene,keep_supported_scene,local_endpoint_selection_fraction,local_minus_keep_psnr_db,material_utility_scene,maximum_full_image_padded_pixels,near_clear_cell_mitigation_fraction,near_clear_damaged_cell_count,near_clear_damaged_scene,near_clear_exposed_cell_count,near_clear_exposed_scene,near_clear_mitigated_cell_count,near_clear_mitigated_scene,negative_tail_scene,nested_variants,null_local_minus_global_psnr_db,primary_clipped_high,primary_clipped_low,primary_local_minus_global_psnr_db,primary_raw_local_minus_global_psnr_db,repeat_keep_supported_cells,repeat_strengthen_cells,repeat_weaken_cells,scene_id_sha256,selected_candidate_saturation_fraction,spatial_specificity_psnr_db,spatial_specificity_raw_psnr_db,stable_cell_count,unresolved_cell_fraction,whole_image_inference_before_scoring_crop
0.875,14,39.72209040151194,0.015379667897005045,True,0.25,2.7918877727314233,HAZE4K_TRAIN,True,3.4684823862484695,0.0,20.488425019467208,2.0049253305905133,True,False,0.0,3.363700461022658,True,173056,0.0,0,False,1,True,0,False,False,2,0.2978601027905587,True,False,0.25,3.3483207931256525,0,5,9,bf405b9fec5cc791fc28097b0934892f3691bf15bd3577629ec20953e897522b,0.0009782428205152465,0.25,7.72132139854337,14,0.03125,True
0.9375,15,31.49548096476916,3.4689287041390426,False,0.25,5.728554830261144,HAZE4K_TRAIN,True,8.0249001381984,0.0,14.095545555193837,5.599067119189386,False,False,0.0,10.828732725125803,True,173056,0.0,0,False,0,False,0,False,False,2,2.5857249883132236,True,False,0.25,7.359804020986762,0,15,0,ae448763d643b01ebea6b2ef3adabae818dad312f9f10cc643ce37f1fcb0c7c6,0.0023911110926777657,0.25,9.288924073017448,15,0.03125,True
0.4375,7,33.05646215884032,0.7961545913224677,False,0.25,0.3264833467648308,HAZE4K_TRAIN,False,5.419087230453724,0.0,11.731995378644248,2.288240409385318,False,False,0.0625,5.569469501794961,True,173056,0.0,0,False,0,False,0,False,False,2,0.1516242163507633,True,False,0.25,4.773314910472492,0,11,0,033919e41c6f22bdda9c35753ec9f7ec2922fc9c10799bde662883b47861fd0b,0.0385605942853177,0.25,7.9592414128883995,11,0.0,True
0.375,6,40.31141321934182,0.18771106320903833,True,-0.25,-1.9696556488992623,HAZE4K_TRAIN,False,2.8048403420153556,0.0,22.085215810298635,0.30091015520334136,False,False,0.0,2.3272382093870454,True,307200,0.0,0,False,0,False,0,False,True,2,-4.880904219327352,False,True,0.25,2.1395271461780068,0,4,4,8cc5598ce6f9fd3c856324cb5bfdf5d2cb3ef3ce49237cf5f5f25d0dd446895a,7.171716651732714e-05,0.25,5.101923412381609,8,0.0,True
0.5625,9,42.036524450951305,0.158297458497395,True,0.25,0.3230402753821128,HAZE4K_TRAIN,False,1.742992685796661,0.0,20.998747323222407,0.16863289629007971,True,False,0.0,1.4293413430933013,True,307200,0.0,0,False,0,False,0,False,False,2,0.7314230606069794,True,False,0.25,1.2710438845959064,0,6,5,bf8db3b11f04ae3a55ca6eb35d2c2cfbb1514bcf8f3b3eaa53f4086a46d6d9d9,0.0050893284796881336,0.25,3.777739665410105,11,0.0625,True
0.8125,13,39.983401625949334,1.0601979275131994,True,0.25,2.4756871182035094,HAZE4K_TRAIN,True,2.763367055832107,0.0,17.31749274197794,2.5039666282471646,True,False,0.0,3.783472518005147,True,307200,0.0,0,False,1,True,0,False,False,2,-1.977972214691024,True,False,0.25,2.7232745904919478,0,11,2,8e41785ecc7351eb699df3e018c1c7629d5215882760f8c3e5c608085b71ac5a,0.0010606460823299718,0.25,5.842888774321378,13,0.0625,True
0.5,8,35.7845898734914,2.0074838252701914,False,-0.25,-1.5056706882592141,HAZE4K_TRAIN,False,4.159760689435424,0.0,16.21757002479289,3.6584998127705632,False,False,0.0,6.041072765995809,True,307200,0.0,0,False,0,False,0,False,True,2,-2.3081213650475796,False,True,0.25,4.0335889407256165,0,12,0,2ee927fa0de76402cb40d96bef90c2ef706faa6889719da3294542bfb5deeefa,0.003957284372244008,0.25,5.963011264662782,12,0.0625,True
0.625,10,43.89779404213553,0.058115349055964105,True,0.01128224083089772,0.01128224083089772,HAZE4K_TRAIN,False,0.7876285765833173,0.0,19.41688144976097,0.4343317381981604,False,False,0.0,0.7653319272177003,True,307200,0.0,0,False,1,True,0,False,False,2,0.33104493218967773,False,False,0.25,0.7072165781617366,0,4,6,041760644c03fd7325ca0794b8fc418e8f6544b146f9462aa20f409992ac6a2d,0.0009647046655563423,0.25,3.334952694595761,10,0.03125,True
0.5625,9,42.258047221574024,0.6812025310016949,False,-0.25,-4.068538555722517,HAZE4K_TRAIN,False,5.824473342978376,0.0,22.660210721943603,3.4653650525893216,False,False,0.0,6.2928499387536085,True,307200,0.0,0,False,0,False,0,False,True,2,-2.817010169763621,False,True,0.25,5.611647407751914,0,10,1,034a26453c12e609818ad0acae3749e51263405b9df2ad70b9481c211ae06bb9,0.003465026320896473,0.25,8.966073043895314,11,0.0,True
0.5,8,37.09882949191589,0.5200020436460511,True,-0.25,-0.37324808528071246,HAZE4K_TRAIN,False,2.3772792152625914,0.0,14.106229724543844,1.2982872524078288,False,False,0.0,2.741048198477504,True,307200,0.0,0,False,1,True,0,False,True,2,-3.3360436254603685,False,True,0.25,2.221046154831453,0,4,6,adbc587eec5e229c7f5bfa8fddd5ad15bd14974aa7900efe0e51fd6480a56fa0,0.0008493202044463009,0.25,7.525079868622486,10,0.09375,True
