alpha,role,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,worst_dPSNR
0.0,a0_nhhaze_baseline,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
0.125,diagnostic_grid,0.08628543506969105,0.12470832237830529,0.08222726675180289,0.0002541726285761053,0.7818181818181819,0.7818181818181819,0,0.0,-0.07696914672851562
0.25,diagnostic_grid,0.03954436562278054,0.1653612576998197,0.02845133267916166,-0.0017161586067893288,0.509090909090909,0.509090909090909,8,87.27272727272727,-0.4081611633300781
0.375,inherited_fixed_alpha_diagnostic,-0.13358435197310015,0.12234834524301383,-0.15575849092923677,-0.0059857173399491745,0.3090909090909091,0.3090909090909091,26,283.6363636363636,-0.9566783905029297
0.5,diagnostic_grid,-0.416076001253995,0.0005047137920673077,-0.4540028205284706,-0.012603865970264782,0.16363636363636364,0.16363636363636364,38,414.54545454545456,-1.6437244415283203
0.75,diagnostic_grid,-1.218812387639826,-0.4457580859844501,-1.2998680701622596,-0.0327680230140686,0.05454545454545454,0.05454545454545454,48,523.6363636363636,-3.190176010131836
1.0,wdmamba_nhhaze_endpoint,-2.197750507701527,-1.0939191671518178,-2.3276060544527493,-0.06118222691796043,0.05454545454545454,0.05454545454545454,52,567.2727272727273,-4.730592727661133
