alpha,group,bin,count,A0_mean_PSNR,candidate_mean_PSNR,mean_dPSNR,mean_bootstrap_LCB,median_dPSNR,p5_dPSNR,p95_dPSNR,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,best_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
0.0,A0-PSNR_q4,q1,14,22.81343800680978,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.21531701192718142
0.125,A0-PSNR_q4,q1,14,22.81343800680978,,0.12290314265659877,0.0690629209790911,0.106109619140625,-0.03060512542724609,0.3247334480285644,0.23262977600097656,0.1287689208984375,0.1064008076985677,-0.052120208740234375,0.41197776794433594,0.0028352481978280203,0.7857142857142857,0.5241027622679172,0.7857142857142857,0,0.0,0.21531701192718142
0.25,A0-PSNR_q4,q1,14,22.81343800680978,,0.15671770913260324,0.03627470561436245,0.13285541534423828,-0.19304342269897462,0.6140822410583495,0.41447703043619794,0.1963952382405599,0.10871378580729167,-0.26031494140625,0.7813491821289062,0.0035254614693777902,0.7142857142857143,0.4535045882751561,0.7142857142857143,1,42.857142857142854,0.3146926955395781
0.375,A0-PSNR_q4,q1,14,22.81343800680978,,0.10221140725272042,-0.09812049184526715,0.07877635955810547,-0.4729790687561035,0.8583563804626464,0.5386269887288412,0.20061111450195312,0.008108774820963541,-0.6035709381103516,1.0928192138671875,0.0019262177603585379,0.5714285714285714,0.3259026690286936,0.5714285714285714,4,171.42857142857142,0.546495411724844
0.5,A0-PSNR_q4,q1,14,22.81343800680978,,-0.034721510750906806,-0.3151080404009138,-0.05316638946533203,-0.8552353858947754,1.0479705810546873,0.5996468861897787,0.14197921752929688,-0.18667984008789062,-1.0518627166748047,1.3308429718017578,-0.0020743991647447857,0.42857142857142855,0.21380509930400526,0.42857142857142855,6,257.1428571428571,0.6740973309713064
0.75,A0-PSNR_q4,q1,14,22.81343800680978,,-0.5162621906825474,-0.9729311738695416,-0.5203342437744141,-1.8151243209838868,1.231900119781494,0.521734873453776,-0.1487553914388021,-0.8007068634033203,-2.1400375366210938,1.5356292724609375,-0.017446424279894148,0.21428571428571427,0.07571248336916371,0.21428571428571427,8,342.85714285714283,0.7861949006959947
1.0,A0-PSNR_q4,q1,14,22.81343800680978,,-1.1984691619873047,-1.7986435753958565,-1.188237190246582,-2.895654773712158,1.1320440292358398,0.18759473164876303,-0.6286214192708334,-1.6083532969156902,-3.3246212005615234,1.345193862915039,-0.04221563254083906,0.21428571428571427,0.07571248336916371,0.21428571428571427,11,471.42857142857144,0.9242875166308363
0.0,A0-PSNR_q4,q2,14,25.821631159101212,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.21531701192718142
0.125,A0-PSNR_q4,q2,14,25.821631159101212,,0.06566183907645089,0.026338318416050506,0.06413936614990234,-0.05976724624633789,0.22801866531372067,0.05114555358886719,-0.016819000244140625,-0.030823389689127605,-0.07696914672851562,0.2872638702392578,-0.0011914372444152832,0.7142857142857143,0.4535045882751561,0.7142857142857143,0,0.0,0.21531701192718142
0.25,A0-PSNR_q4,q2,14,25.821631159101212,,-0.020128113882882253,-0.11069799150739397,-0.008871078491210938,-0.25512113571166994,0.3182881355285644,-0.016315460205078125,-0.14256731669108072,-0.2431354522705078,-0.26245689392089844,0.4242877960205078,-0.0055079034396580285,0.42857142857142855,0.21380509930400526,0.42857142857142855,5,214.28571428571428,0.6123599531785959
