cell,coverage,cvar5_gain_db,dimension,fold,hard_count,mean_gain_db,n,negative_selection_rate,operator,p10_gain_db,seed,severe_count,status,worst20_mean_gain_db
S_utility_risk,0.0,0.0,fold_operator,0,0,0.0,192,0.0,D_ref,0.0,ensemble_3407_3411,0,available,0.0
S_utility_risk,0.0,0.0,fold_operator,0,0,0.0,192,0.0,D_rep,0.0,ensemble_3407_3411,0,available,0.0
S_utility_risk,0.09895833333333333,-0.008683013916015624,fold_operator,1,0,0.00047830740610758465,192,0.0,D_ref,0.0,ensemble_3407_3411,0,available,-0.004341506958007812
S_utility_risk,0.09895833333333333,-0.009796905517578124,fold_operator,1,0,0.0003840923309326172,192,0.0,D_rep,0.0,ensemble_3407_3411,0,available,-0.004898452758789062
S_utility_risk,0.049479166666666664,-0.004341506958007812,operator,all,0,0.00023915370305379233,384,0.0,D_ref,0.0,ensemble_3407_3411,0,available,-0.004341506958007812
S_utility_risk,0.049479166666666664,-0.004898452758789062,operator,all,0,0.0001920461654663086,384,0.0,D_rep,0.0,ensemble_3407_3411,0,available,-0.004898452758789062
I_utility_risk,0.0859375,-0.01866626739501953,cell_operator,all,0,0.002171700199445089,384,0.0,D_ref,0.0,ensemble_3407_3411,0,available,-0.01866626739501953
I_utility_risk,0.08854166666666667,-0.0211395263671875,cell_operator,all,0,0.0019700576861699424,384,0.0,D_rep,0.0,ensemble_3407_3411,0,available,-0.0211395263671875
S_action_only,0.0,0.0,cell_operator,all,0,0.0,384,0.0,D_ref,0.0,ensemble_3407_3411,0,available,0.0
S_action_only,0.0,0.0,cell_operator,all,0,0.0,384,0.0,D_rep,0.0,ensemble_3407_3411,0,available,0.0
S_mean_only,0.0,0.0,cell_operator,all,0,0.0,384,0.0,D_ref,0.0,ensemble_3407_3411,0,available,0.0
S_mean_only,0.0,0.0,cell_operator,all,0,0.0,384,0.0,D_rep,0.0,ensemble_3407_3411,0,available,0.0
S_risk_label_shuffle,0.0625,-0.019585227966308592,cell_operator,all,0,0.007882455984751383,384,0.0,D_ref,0.0,ensemble_3407_3411,0,available,-0.019585227966308592
S_risk_label_shuffle,0.0625,-0.02042083740234375,cell_operator,all,0,0.007720510164896647,384,0.0,D_rep,0.0,ensemble_3407_3411,0,available,-0.02042083740234375
S_state_only,0.07291666666666667,-0.00701751708984375,cell_operator,all,0,0.0005510300397872925,384,0.0,D_ref,0.0,ensemble_3407_3411,0,available,-0.00701751708984375
S_state_only,0.07291666666666667,-0.008545112609863282,cell_operator,all,0,0.00042036672433217365,384,0.0,D_rep,0.0,ensemble_3407_3411,0,available,-0.008545112609863282
S_unsigned,0.0,0.0,cell_operator,all,0,0.0,384,0.0,D_ref,0.0,ensemble_3407_3411,0,available,0.0
S_unsigned,0.0,0.0,cell_operator,all,0,0.0,384,0.0,D_rep,0.0,ensemble_3407_3411,0,available,0.0
S_utility_risk,0.049479166666666664,-0.004341506958007812,cell_operator,all,0,0.00023915370305379233,384,0.0,D_ref,0.0,ensemble_3407_3411,0,available,-0.004341506958007812
S_utility_risk,0.049479166666666664,-0.004898452758789062,cell_operator,all,0,0.0001920461654663086,384,0.0,D_rep,0.0,ensemble_3407_3411,0,available,-0.004898452758789062
S_utility_risk,,,seed,not_available,,,,,not_available,,3407,,not_available_raw_ensemble_only,
S_utility_risk,,,seed,not_available,,,,,not_available,,3411,,not_available_raw_ensemble_only,
