coverage_target,cvar5_gain_db,group_hard_count,group_severe_count,group_severe_ucb95_exact,mean_gain_db,operator,selected_groups
0.05,-0.01018524169921875,0,0,0.13910834066826516,0.01138162612915039,D_ref,20
0.05,-0.011615753173828125,0,0,0.13910834066826516,0.010410785675048828,D_rep,20
0.1,-0.10389900207519531,0,0,0.07393758892668655,0.016270808684520233,D_ref,39
0.1,-0.11135101318359375,0,0,0.07393758892668655,0.014840786273662861,D_rep,39
0.2,-0.30483055114746094,0,4,0.11494169623771958,0.023173072121360085,D_ref,77
0.2,-0.3091106414794922,0,4,0.11494169623771958,0.021054973850002538,D_rep,77
0.4,-0.24591493606567383,0,5,0.06705031085654413,0.03885830222786247,D_ref,154
0.4,-0.2511477470397949,0,5,0.06705031085654413,0.03691795894077846,D_rep,154
0.6,-0.3248831431070964,2,12,0.08280939986862002,0.04657420864352932,D_ref,231
0.6,-0.33019383748372394,2,12,0.08280939986862002,0.044419656068215636,D_rep,231
0.8,-0.4547152519226074,6,25,0.11152316958242119,0.06169334634557947,D_ref,308
0.8,-0.458138108253479,6,25,0.11152316958242119,0.06092266602949663,D_rep,308
1.0,-0.4931188583374023,9,41,0.1363003502396017,0.06399457653363545,D_ref,384
1.0,-0.49678621292114256,9,41,0.1363003502396017,0.062446395556131996,D_rep,384
